Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
1,1,0,0,0,0,0,0,0,0,CAGLIARI,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,FIORENTINA,2004-05,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,FIORENTINA,away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,CAGLIARI,2004-05,0,0,0,0,0,0,0,0
1,2,3,0,0,0,0,0,0,0,ATALANTA,home,0,0,5,5,0,0,0,0,0,0,11,16,3,1,2,2,0,0,0,1,0,2,6,11,3,5,7,0,0,JUVENTUS,2004-05,16,6,6,1,10,5,0,0
2,1,0,3,0,0,0,0,0,0,JUVENTUS,away,0,0,5,5,0,0,0,0,0,0,16,11,1,3,2,0,2,0,0,0,1,6,2,3,11,7,5,0,0,ATALANTA,2004-05,6,16,1,6,5,10,0,0
2,3,0,1,0,0,0,0,0,0,REGGINA,home,0,0,2,9,0,0,0,0,0,0,21,17,2,1,2,1,1,0,0,0,0,8,6,7,9,2,4,1,0,LAZIO,2004-05,9,11,4,8,5,3,0,0
3,2,1,0,0,0,0,0,0,0,LAZIO,away,0,0,9,2,0,0,0,0,0,0,17,21,1,2,2,1,1,0,0,0,0,6,8,9,7,4,2,0,1,REGGINA,2004-05,11,9,8,4,3,5,0,0
2,3,2,3,0,0,0,0,0,0,CHIEVOVERONA,home,0,0,4,4,0,0,0,0,0,0,21,20,3,0,2,1,2,0,0,0,1,8,8,5,6,1,2,0,0,LIVORNO,2004-05,9,11,6,7,3,4,0,0
3,2,3,2,0,0,0,0,0,0,LIVORNO,away,0,0,4,4,0,0,0,0,0,0,20,21,0,3,2,2,1,0,0,1,0,8,8,6,5,2,1,0,0,CHIEVOVERONA,2004-05,11,9,7,6,4,3,0,0
5,3,2,3,0,0,0,0,0,0,ROMA,home,0,0,3,2,0,0,0,0,0,0,18,16,1,2,2,4,3,0,0,0,0,8,10,10,6,3,6,1,0,MESSINA,2004-05,13,12,3,6,10,6,0,0
3,5,3,2,0,0,0,0,0,0,MESSINA,away,0,0,2,3,0,0,0,0,0,0,16,18,2,1,2,3,4,0,0,0,0,10,8,6,10,6,3,0,1,ROMA,2004-05,12,13,6,3,6,10,0,0
