Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
2,3,1,0,0,0,0,0,0,0,LECCE,home,,,8,2,0,0,,,0,0,19,24,2,2,1,2,1,0,0,1,0,8,10,7,4,4,4,0,1,LIVORNO,2005-06,14,9,7,4,7,5,0,0
3,2,0,1,0,0,0,0,0,0,LIVORNO,away,,,2,8,0,0,,,0,0,24,19,2,2,1,1,2,0,0,0,1,10,8,4,7,4,4,1,0,LECCE,2005-06,9,14,4,7,5,7,0,0
1,4,4,3,5,6,4,6,18,10,SAMPDORIA,home,,,11,3,14,22,,,0,0,19,19,3,0,1,2,1,9,16,1,1,14,16,14,13,1,6,1,0,FIORENTINA,2005-06,11,5,3,3,8,2,0,0
4,1,3,4,6,5,6,4,10,18,FIORENTINA,away,,,3,11,22,14,,,0,0,19,19,0,3,1,1,2,16,9,1,1,16,14,13,14,6,1,0,1,SAMPDORIA,2005-06,5,11,3,3,2,8,0,0
2,1,2,1,0,0,0,0,0,0,MILAN,home,,,0,3,0,0,,,0,0,15,13,1,2,1,1,1,0,0,0,0,10,9,6,9,12,3,0,0,ASCOLI,2005-06,8,19,4,6,4,13,0,0
1,2,1,2,0,0,0,0,0,0,ASCOLI,away,,,3,0,0,0,,,0,0,13,15,2,1,1,1,1,0,0,0,0,9,10,9,6,3,12,0,0,MILAN,2005-06,19,8,6,4,13,4,0,0
1,3,2,0,0,0,0,0,0,0,TREVISO,home,,,7,0,0,0,,,0,0,19,11,5,0,1,3,0,0,0,1,0,17,16,14,9,3,6,0,0,INTER,2005-06,15,7,6,4,9,3,0,0
3,1,0,2,0,0,0,0,0,0,INTER,away,,,0,7,0,0,,,0,0,11,19,0,5,1,0,3,0,0,0,1,16,17,9,14,6,3,0,0,TREVISO,2005-06,7,15,4,6,3,9,0,0
3,1,2,0,0,0,0,0,0,0,MESSINA,home,,,6,10,0,0,,,0,0,22,14,3,1,1,1,0,0,0,0,0,17,15,20,20,7,4,0,0,LAZIO,2005-06,7,16,2,9,5,7,0,0
1,3,0,2,0,0,0,0,0,0,LAZIO,away,,,10,6,0,0,,,0,0,14,22,1,3,1,0,1,0,0,0,0,15,17,20,20,4,7,0,0,MESSINA,2005-06,16,7,9,2,7,5,0,0
3,0,8,9,0,0,0,0,0,0,PALERMO,home,,,3,7,0,0,,,0,0,10,20,4,1,1,1,1,0,0,0,1,7,7,6,7,7,1,0,0,PARMA,2005-06,6,14,4,5,2,9,0,0
0,3,9,8,0,0,0,0,0,0,PARMA,away,,,7,3,0,0,,,0,0,20,10,1,4,1,1,1,0,0,1,0,7,7,7,6,1,7,0,0,PALERMO,2005-06,14,6,5,4,9,2,0,0
0,0,0,0,0,0,0,0,0,0,ROMA,home,,,0,0,0,0,,,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,REGGINA,2005-06,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,REGGINA,away,,,0,0,0,0,,,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,ROMA,2005-06,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,CAGLIARI,home,,,0,0,0,0,,,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,SIENA,2005-06,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,SIENA,away,,,0,0,0,0,,,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,CAGLIARI,2005-06,0,0,0,0,0,0,0,0
