Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
LAZIO,home,0,0,1,1,0,BOLOGNA,1996-97
BOLOGNA,away,0,0,1,0,1,LAZIO,1996-97
NAPOLI,home,0,1,1,3,0,PARMA,1996-97
PARMA,away,1,0,1,0,3,NAPOLI,1996-97
PIACENZA,home,0,0,1,3,1,ROMA,1996-97
ROMA,away,0,0,1,1,3,PIACENZA,1996-97
INTER,home,0,0,1,0,1,UDINESE,1996-97
UDINESE,away,0,0,1,1,0,INTER,1996-97
ATALANTA,home,0,0,1,2,0,CAGLIARI,1996-97
CAGLIARI,away,0,0,1,0,2,ATALANTA,1996-97
VICENZA,home,1,0,1,2,4,FIORENTINA,1996-97
FIORENTINA,away,0,1,1,4,2,VICENZA,1996-97
HELLAS VERONA,home,0,0,1,4,1,MILAN,1996-97
MILAN,away,0,0,1,1,4,HELLAS VERONA,1996-97
SAMPDORIA,home,0,1,1,1,0,PERUGIA,1996-97
PERUGIA,away,1,0,1,0,1,SAMPDORIA,1996-97
JUVENTUS,home,0,0,1,1,1,REGGIANA,1996-97
REGGIANA,away,0,0,1,1,1,JUVENTUS,1996-97
FIORENTINA,home,,,2,2,2,ATALANTA,1996-97
ATALANTA,away,,,2,2,2,FIORENTINA,1996-97
BOLOGNA,home,,,2,0,2,HELLAS VERONA,1996-97
HELLAS VERONA,away,,,2,2,0,BOLOGNA,1996-97
PERUGIA,home,,,2,1,0,INTER,1996-97
INTER,away,,,2,0,1,PERUGIA,1996-97
CAGLIARI,home,,,2,2,1,JUVENTUS,1996-97
JUVENTUS,away,,,2,1,2,CAGLIARI,1996-97
UDINESE,home,,,2,0,1,LAZIO,1996-97
LAZIO,away,,,2,1,0,UDINESE,1996-97
REGGIANA,home,,,2,1,0,NAPOLI,1996-97
NAPOLI,away,,,2,0,1,REGGIANA,1996-97
PARMA,home,,,2,0,0,PIACENZA,1996-97
PIACENZA,away,,,2,0,0,PARMA,1996-97
MILAN,home,,,2,2,1,SAMPDORIA,1996-97
SAMPDORIA,away,,,2,1,2,MILAN,1996-97
ROMA,home,,,2,0,2,VICENZA,1996-97
VICENZA,away,,,2,2,0,ROMA,1996-97
LAZIO,home,0,0,3,1,1,INTER,1996-97
INTER,away,0,0,3,1,1,LAZIO,1996-97
REGGIANA,home,1,1,3,3,2,PARMA,1996-97
