Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Avversaria,Campo,Corner,Corner avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
2,2,2,1,PALERMO,home,4,7,0,0,0,0,13,18,1,5,2,1,0,0,0,5,7,8,7,4,4,0,0,FIORENTINA,2009-10,16,7,11,3,5,4,0,0
2,2,1,2,FIORENTINA,away,7,4,0,0,0,0,18,13,5,1,2,0,1,0,0,7,5,7,8,4,4,0,0,PALERMO,2009-10,7,16,3,11,4,5,0,0
1,1,0,0,LIVORNO,home,5,5,0,1,0,0,10,12,3,2,2,3,1,1,1,7,8,3,2,3,2,0,0,NAPOLI,2009-10,12,9,6,4,6,5,0,0
1,1,0,0,NAPOLI,away,5,5,1,0,0,0,12,10,2,3,2,1,3,1,1,8,7,2,3,2,3,0,0,LIVORNO,2009-10,9,12,4,6,5,6,0,0
1,3,2,2,CATANIA,home,8,6,0,0,0,0,19,13,2,1,2,2,1,0,0,6,6,10,6,2,7,0,0,PARMA,2009-10,12,5,3,2,9,3,0,0
3,1,2,2,PARMA,away,6,8,0,0,0,0,13,19,1,2,2,1,2,0,0,6,6,6,10,7,2,0,0,CATANIA,2009-10,5,12,2,3,3,9,0,0
1,4,4,2,UDINESE,home,8,4,0,0,0,0,19,14,1,4,2,3,1,1,0,8,13,9,8,5,3,1,0,SAMPDORIA,2009-10,12,11,7,5,5,6,0,0
4,1,2,4,SAMPDORIA,away,4,8,0,0,0,0,14,19,4,1,2,1,3,0,1,13,8,8,9,3,5,0,1,UDINESE,2009-10,11,12,5,7,6,5,0,0
3,1,0,1,MILAN,home,8,4,0,0,0,0,12,15,4,2,3,0,0,0,1,4,5,5,3,2,6,0,0,LIVORNO,2009-10,10,10,4,7,6,3,0,0
1,3,1,0,LIVORNO,away,4,8,0,0,0,0,15,12,2,4,3,0,0,1,0,5,4,3,5,6,2,0,0,MILAN,2009-10,10,10,7,4,3,6,0,0
0,4,0,2,JUVENTUS,home,6,3,0,0,0,0,20,10,4,2,3,0,2,0,0,19,14,19,19,5,6,0,0,LAZIO,2009-10,9,9,3,2,6,7,0,0
4,0,2,0,LAZIO,away,3,6,0,0,0,0,10,20,2,4,3,2,0,0,0,14,19,19,19,6,5,0,0,JUVENTUS,2009-10,9,9,2,3,7,6,0,0
