Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
INTER,home,0,0,1,1,3,ASCOLI,1988-89
ASCOLI,away,0,0,1,3,1,INTER,1988-89
LAZIO,home,0,0,1,0,0,CESENA,1988-89
CESENA,away,0,0,1,0,0,LAZIO,1988-89
JUVENTUS,home,0,0,1,0,3,COMO,1988-89
COMO,away,0,0,1,3,0,JUVENTUS,1988-89
LECCE,home,0,0,1,2,1,HELLAS VERONA,1988-89
HELLAS VERONA,away,0,0,1,1,2,LECCE,1988-89
FIORENTINA,home,0,0,1,4,0,MILAN,1988-89
MILAN,away,0,0,1,0,4,FIORENTINA,1988-89
ATALANTA,home,0,1,1,1,0,NAPOLI,1988-89
NAPOLI,away,1,0,1,0,1,ATALANTA,1988-89
ROMA,home,0,0,1,0,0,PESCARA,1988-89
PESCARA,away,0,0,1,0,0,ROMA,1988-89
BOLOGNA,home,0,0,1,0,2,PISA,1988-89
PISA,away,0,0,1,2,0,BOLOGNA,1988-89
SAMPDORIA,home,0,0,1,2,3,TORINO,1988-89
TORINO,away,0,0,1,3,2,SAMPDORIA,1988-89
HELLAS VERONA,home,0,1,2,2,2,ATALANTA,1988-89
ATALANTA,away,1,0,2,2,2,HELLAS VERONA,1988-89
ROMA,home,0,0,2,0,1,BOLOGNA,1988-89
BOLOGNA,away,0,0,2,1,0,ROMA,1988-89
ASCOLI,home,0,0,2,2,1,FIORENTINA,1988-89
FIORENTINA,away,0,0,2,1,2,ASCOLI,1988-89
PISA,home,0,0,2,4,1,INTER,1988-89
INTER,away,0,0,2,1,4,PISA,1988-89
CESENA,home,0,0,2,2,2,JUVENTUS,1988-89
JUVENTUS,away,0,0,2,2,2,CESENA,1988-89
TORINO,home,0,0,2,1,1,LAZIO,1988-89
LAZIO,away,0,0,2,1,1,TORINO,1988-89
NAPOLI,home,0,0,2,1,0,LECCE,1988-89
LECCE,away,0,0,2,0,1,NAPOLI,1988-89
MILAN,home,0,0,2,1,3,PESCARA,1988-89
PESCARA,away,0,0,2,3,1,MILAN,1988-89
COMO,home,0,0,2,2,0,SAMPDORIA,1988-89
SAMPDORIA,away,0,0,2,0,2,COMO,1988-89
JUVENTUS,home,0,0,3,1,1,ASCOLI,1988-89
ASCOLI,away,0,0,3,1,1,JUVENTUS,1988-89
FIORENTINA,home,0,0,3,0,3,CESENA,1988-89
CESENA,away,0,0,3,3,0,FIORENTINA,1988-89
BOLOGNA,home,0,0,3,1,0,COMO,1988-89
COMO,away,0,0,3,0,1,BOLOGNA,1988-89
INTER,home,0,0,3,0,0,HELLAS VERONA,1988-89
HELLAS VERONA,away,0,0,3,0,0,INTER,1988-89
LAZIO,home,0,0,3,0,0,MILAN,1988-89
MILAN,away,0,0,3,0,0,LAZIO,1988-89
PESCARA,home,0,0,3,8,2,NAPOLI,1988-89
NAPOLI,away,0,0,3,2,8,PESCARA,1988-89
SAMPDORIA,home,1,1,3,1,1,PISA,1988-89
PISA,away,1,1,3,1,1,SAMPDORIA,1988-89
LECCE,home,0,0,3,1,1,ROMA,1988-89
ROMA,away,0,0,3,1,1,LECCE,1988-89
ATALANTA,home,1,0,3,1,1,TORINO,1988-89
TORINO,away,0,1,3,1,1,ATALANTA,1988-89
BOLOGNA,home,0,1,4,2,0,ATALANTA,1988-89
ATALANTA,away,1,0,4,0,2,BOLOGNA,1988-89
NAPOLI,home,0,0,4,0,1,CESENA,1988-89
CESENA,away,0,0,4,1,0,NAPOLI,1988-89
TORINO,home,0,1,4,2,1,FIORENTINA,1988-89
FIORENTINA,away,1,0,4,1,2,TORINO,1988-89
ROMA,home,0,1,4,2,0,INTER,1988-89
INTER,away,1,0,4,0,2,ROMA,1988-89
MILAN,home,0,0,4,0,0,JUVENTUS,1988-89
JUVENTUS,away,0,0,4,0,0,MILAN,1988-89
COMO,home,0,0,4,1,1,LAZIO,1988-89
LAZIO,away,0,0,4,1,1,COMO,1988-89
PISA,home,0,0,4,1,0,LECCE,1988-89
LECCE,away,0,0,4,0,1,PISA,1988-89
HELLAS VERONA,home,0,0,4,0,0,PESCARA,1988-89
PESCARA,away,0,0,4,0,0,HELLAS VERONA,1988-89
ASCOLI,home,0,0,4,1,0,SAMPDORIA,1988-89
SAMPDORIA,away,0,0,4,0,1,ASCOLI,1988-89
PESCARA,home,,,5,0,1,ASCOLI,1988-89
ASCOLI,away,,,5,1,0,PESCARA,1988-89
JUVENTUS,home,,,5,3,4,BOLOGNA,1988-89
BOLOGNA,away,,,5,4,3,JUVENTUS,1988-89
