Ammonizioni,Ammonizioni avversario,Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
1,5,TORINO,home,0,1,1,0,0,BOLOGNA,1999-00
5,1,BOLOGNA,away,1,0,1,0,0,TORINO,1999-00
1,4,BARI,home,0,0,1,1,0,FIORENTINA,1999-00
4,1,FIORENTINA,away,0,0,1,0,1,BARI,1999-00
1,3,HELLAS VERONA,home,0,0,1,3,0,INTER,1999-00
3,1,INTER,away,0,0,1,0,3,HELLAS VERONA,1999-00
2,3,REGGINA,home,0,1,1,1,1,JUVENTUS,1999-00
3,2,JUVENTUS,away,1,0,1,1,1,REGGINA,1999-00
1,4,MILAN,home,0,0,1,2,2,LECCE,1999-00
4,1,LECCE,away,0,0,1,2,2,MILAN,1999-00
3,2,PARMA,home,0,0,1,1,1,PERUGIA,1999-00
2,3,PERUGIA,away,0,0,1,1,1,PARMA,1999-00
2,3,ROMA,home,0,1,1,1,1,PIACENZA,1999-00
3,2,PIACENZA,away,1,0,1,1,1,ROMA,1999-00
3,1,UDINESE,home,1,0,1,1,1,UNIONE VENEZIA,1999-00
1,3,UNIONE VENEZIA,away,0,1,1,1,1,UDINESE,1999-00
0,2,CAGLIARI,home,0,0,1,2,1,LAZIO,1999-00
2,0,LAZIO,away,0,0,1,1,2,CAGLIARI,1999-00
1,4,LAZIO,home,0,0,2,0,0,BARI,1999-00
4,1,BARI,away,0,0,2,0,0,LAZIO,1999-00
3,2,FIORENTINA,home,0,0,2,2,2,REGGINA,1999-00
2,3,REGGINA,away,0,0,2,2,2,FIORENTINA,1999-00
3,3,PIACENZA,home,0,0,2,3,0,UDINESE,1999-00
3,3,UDINESE,away,0,0,2,0,3,PIACENZA,1999-00
3,2,JUVENTUS,home,0,0,2,0,1,CAGLIARI,1999-00
2,3,CAGLIARI,away,0,0,2,1,0,JUVENTUS,1999-00
2,5,LECCE,home,0,0,2,2,0,HELLAS VERONA,1999-00
5,2,HELLAS VERONA,away,0,0,2,0,2,LECCE,1999-00
2,1,PERUGIA,home,0,0,2,3,1,MILAN,1999-00
1,2,MILAN,away,0,0,2,1,3,PERUGIA,1999-00
1,3,BOLOGNA,home,1,0,2,1,1,PARMA,1999-00
3,1,PARMA,away,0,1,2,1,1,BOLOGNA,1999-00
2,2,INTER,home,0,0,2,0,0,ROMA,1999-00
2,2,ROMA,away,0,0,2,0,0,INTER,1999-00
4,3,UNIONE VENEZIA,home,0,1,2,2,1,TORINO,1999-00
3,4,TORINO,away,1,0,2,1,2,UNIONE VENEZIA,1999-00
2,1,MILAN,home,,,3,1,1,BARI,1999-00
1,2,BARI,away,,,3,1,1,MILAN,1999-00
1,3,CAGLIARI,home,,,3,3,0,PERUGIA,1999-00
3,1,PERUGIA,away,,,3,0,3,CAGLIARI,1999-00
6,3,REGGINA,home,,,3,0,1,BOLOGNA,1999-00
3,6,BOLOGNA,away,,,3,1,0,REGGINA,1999-00
1,1,HELLAS VERONA,home,,,3,4,1,FIORENTINA,1999-00
1,1,FIORENTINA,away,,,3,1,4,HELLAS VERONA,1999-00
1,2,PARMA,home,,,3,3,1,INTER,1999-00
2,1,INTER,away,,,3,1,3,PARMA,1999-00
1,4,UDINESE,home,,,3,4,1,JUVENTUS,1999-00
4,1,JUVENTUS,away,,,3,1,4,UDINESE,1999-00
1,1,TORINO,home,,,3,3,0,LAZIO,1999-00
1,1,LAZIO,away,,,3,0,3,TORINO,1999-00
5,2,LECCE,home,,,3,1,1,PIACENZA,1999-00
2,5,PIACENZA,away,,,3,1,1,LECCE,1999-00
4,3,ROMA,home,,,3,1,3,UNIONE VENEZIA,1999-00
3,4,UNIONE VENEZIA,away,,,3,3,1,ROMA,1999-00
4,2,JUVENTUS,home,0,0,4,2,0,LECCE,1999-00
2,4,LECCE,away,0,0,4,0,2,JUVENTUS,1999-00
1,2,BOLOGNA,home,0,0,4,4,0,MILAN,1999-00
2,1,MILAN,away,0,0,4,0,4,BOLOGNA,1999-00
1,2,UNIONE VENEZIA,home,0,1,4,1,1,CAGLIARI,1999-00
2,1,CAGLIARI,away,1,0,4,1,1,UNIONE VENEZIA,1999-00
1,4,BARI,home,0,0,4,0,1,HELLAS VERONA,1999-00
4,1,HELLAS VERONA,away,0,0,4,1,0,BARI,1999-00
0,2,LAZIO,home,0,0,4,1,2,PARMA,1999-00
2,0,PARMA,away,0,0,4,2,1,LAZIO,1999-00
1,4,PIACENZA,home,0,0,4,1,0,REGGINA,1999-00
4,1,REGGINA,away,0,0,4,0,1,PIACENZA,1999-00
2,3,PERUGIA,home,0,2,4,3,1,ROMA,1999-00
3,2,ROMA,away,2,0,4,1,3,PERUGIA,1999-00
3,3,INTER,home,0,0,4,0,1,TORINO,1999-00
3,3,TORINO,away,0,0,4,1,0,INTER,1999-00
3,3,FIORENTINA,home,0,0,4,1,1,UDINESE,1999-00
3,3,UDINESE,away,0,0,4,1,1,FIORENTINA,1999-00
2,5,TORINO,home,2,1,5,1,1,CAGLIARI,1999-00
5,2,CAGLIARI,away,1,2,5,1,1,TORINO,1999-00
4,3,PIACENZA,home,0,0,5,2,1,INTER,1999-00
3,4,INTER,away,0,0,5,1,2,PIACENZA,1999-00
0,4,UDINESE,home,0,0,5,1,1,BARI,1999-00
4,0,BARI,away,0,0,5,1,1,UDINESE,1999-00
1,2,LECCE,home,0,0,5,2,0,BOLOGNA,1999-00
2,1,BOLOGNA,away,0,0,5,0,2,LECCE,1999-00
2,4,ROMA,home,1,1,5,1,3,FIORENTINA,1999-00
4,2,FIORENTINA,away,1,1,5,3,1,ROMA,1999-00
3,3,UNIONE VENEZIA,home,0,0,5,1,0,JUVENTUS,1999-00
3,3,JUVENTUS,away,0,0,5,0,1,UNIONE VENEZIA,1999-00
2,2,MILAN,home,0,0,5,4,4,LAZIO,1999-00
2,2,LAZIO,away,0,0,5,4,4,MILAN,1999-00
0,0,HELLAS VERONA,home,0,1,5,3,0,PARMA,1999-00
0,0,PARMA,away,1,0,5,0,3,HELLAS VERONA,1999-00
3,2,REGGINA,home,0,1,5,2,1,PERUGIA,1999-00
2,3,PERUGIA,away,1,0,5,1,2,REGGINA,1999-00
2,4,PARMA,home,0,0,6,0,2,FIORENTINA,1999-00
4,2,FIORENTINA,away,0,0,6,2,0,PARMA,1999-00
3,2,LAZIO,home,0,0,6,0,3,UDINESE,1999-00
2,3,UDINESE,away,0,0,6,3,0,LAZIO,1999-00
4,1,PERUGIA,home,0,1,6,2,0,HELLAS VERONA,1999-00
1,4,HELLAS VERONA,away,1,0,6,0,2,PERUGIA,1999-00
2,7,REGGINA,home,2,0,6,2,1,LECCE,1999-00
7,2,LECCE,away,0,2,6,1,2,REGGINA,1999-00
1,3,CAGLIARI,home,0,0,6,2,2,MILAN,1999-00
3,1,MILAN,away,0,0,6,2,2,CAGLIARI,1999-00
2,1,BOLOGNA,home,1,0,6,0,0,PIACENZA,1999-00
1,2,PIACENZA,away,0,1,6,0,0,BOLOGNA,1999-00
1,4,JUVENTUS,home,0,1,6,0,1,ROMA,1999-00
4,1,ROMA,away,1,0,6,1,0,JUVENTUS,1999-00
4,2,BARI,home,0,0,6,3,1,TORINO,1999-00
2,4,TORINO,away,0,0,6,1,3,BARI,1999-00
1,3,INTER,home,0,0,6,1,0,UNIONE VENEZIA,1999-00
3,1,UNIONE VENEZIA,away,0,0,6,0,1,INTER,1999-00
1,3,MILAN,home,1,1,7,1,2,INTER,1999-00
3,1,INTER,away,1,1,7,2,1,MILAN,1999-00
1,5,UNIONE VENEZIA,home,0,0,7,2,1,PERUGIA,1999-00
5,1,PERUGIA,away,0,0,7,1,2,UNIONE VENEZIA,1999-00
3,2,JUVENTUS,home,0,1,7,1,1,BARI,1999-00
2,3,BARI,away,1,0,7,1,1,JUVENTUS,1999-00
2,2,HELLAS VERONA,home,0,1,7,0,0,BOLOGNA,1999-00
2,2,BOLOGNA,away,1,0,7,0,0,HELLAS VERONA,1999-00
2,2,UDINESE,home,0,0,7,0,3,CAGLIARI,1999-00
2,2,CAGLIARI,away,0,0,7,3,0,UDINESE,1999-00
2,4,LECCE,home,0,0,7,4,2,LAZIO,1999-00
4,2,LAZIO,away,0,0,7,2,4,LECCE,1999-00
2,1,FIORENTINA,home,0,1,7,2,0,PIACENZA,1999-00
1,2,PIACENZA,away,1,0,7,0,2,FIORENTINA,1999-00
2,4,PARMA,home,0,0,7,2,2,REGGINA,1999-00
4,2,REGGINA,away,0,0,7,2,2,PARMA,1999-00
4,2,ROMA,home,1,0,7,1,1,TORINO,1999-00
