Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Occasioni da gol,Occasioni da gol avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri fuori da punizione,Tiri fuori da punizione avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario,Tiri in porta da punizione,Tiri in porta da punizione avversario
1,1,3,3,0,0,0,0,0,0,TORINO,home,0,0,8,7,0,0,0,1,0,0,14,7,4,0,1,2,2,0,0,0,0,0,0,8,6,10,12,3,9,0,0,LAZIO,2007-08,14,12,3,7,,,11,5,0,0,0,0
1,1,3,3,0,0,0,0,0,0,LAZIO,away,0,0,7,8,0,0,1,0,0,0,7,14,0,4,1,2,2,0,0,0,0,0,0,6,8,12,10,9,3,0,0,TORINO,2007-08,12,14,7,3,,,5,11,0,0,0,0
3,3,4,0,12,4,7,7,9,2,LIVORNO,home,0,0,5,5,12,5,0,0,0,0,11,21,4,5,1,5,1,16,5,0,0,0,0,10,14,17,8,0,1,1,0,JUVENTUS,2007-08,6,3,1,3,,,5,0,0,0,1,3
3,3,0,4,4,12,7,7,2,9,JUVENTUS,away,0,0,5,5,5,12,0,0,0,0,21,11,5,4,1,1,5,5,16,0,0,0,0,14,10,8,17,1,0,0,1,LIVORNO,2007-08,3,6,3,1,,,0,5,0,0,3,1
0,1,2,3,0,0,0,0,0,0,EMPOLI,home,0,0,5,4,0,0,0,0,0,0,14,15,0,1,1,3,1,0,0,0,0,0,0,7,4,4,6,3,5,0,0,FIORENTINA,2007-08,9,11,1,7,,,8,4,0,0,0,0
1,0,3,2,0,0,0,0,0,0,FIORENTINA,away,0,0,4,5,0,0,0,0,0,0,15,14,1,0,1,1,3,0,0,0,0,0,0,4,7,6,4,5,3,0,0,EMPOLI,2007-08,11,9,7,1,,,4,8,0,0,0,0
1,2,0,2,0,0,0,0,0,0,MILAN,home,0,0,7,3,0,0,0,0,0,0,12,18,1,4,1,0,3,0,0,0,0,0,0,11,10,6,8,2,4,0,1,GENOA,2007-08,14,10,10,5,,,4,5,0,0,0,0
2,1,2,0,0,0,0,0,0,0,GENOA,away,0,0,3,7,0,0,0,0,0,0,18,12,4,1,1,3,0,0,0,0,0,0,0,10,11,8,6,4,2,1,0,MILAN,2007-08,10,14,5,10,,,5,4,0,0,0,0
2,2,1,0,0,0,0,0,0,0,UDINESE,home,0,0,6,6,0,0,0,0,1,0,17,10,1,0,1,1,1,0,0,0,0,0,0,16,15,9,9,3,1,0,0,INTER,2007-08,6,15,4,12,,,2,3,0,0,0,0
2,2,0,1,0,0,0,0,0,0,INTER,away,0,0,6,6,0,0,0,0,0,1,10,17,0,1,1,1,1,0,0,0,0,0,0,15,16,9,9,1,3,0,0,UDINESE,2007-08,15,6,12,4,,,3,2,0,0,0,0
