Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Avversaria,Campo,Corner,Corner avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
0,0,1,0,LAZIO,away,4,7,,,0,0,9,9,4,1,1,0,0,1,0,8,13,13,9,1,5,0,0,CHIEVOVERONA,2011-12,8,4,2,3,6,1,0,0
1,1,4,1,GENOA,home,4,3,,,0,0,8,5,1,4,1,6,1,0,0,12,4,4,10,6,2,0,0,NAPOLI,2011-12,13,10,5,3,8,7,0,0
1,1,1,4,NAPOLI,away,3,4,,,0,0,5,8,4,1,1,1,6,0,0,4,12,10,4,2,6,0,0,GENOA,2011-12,10,13,3,5,7,8,0,0
2,2,4,0,PALERMO,home,5,5,,,0,1,12,16,3,3,1,2,2,1,0,13,9,9,8,3,3,0,0,NOVARA,2011-12,17,14,11,9,6,5,0,0
2,2,0,4,NOVARA,away,5,5,,,1,0,16,12,3,3,1,2,2,0,1,9,13,8,9,3,3,0,0,PALERMO,2011-12,14,17,9,11,5,6,0,0
1,3,3,2,CATANIA,home,3,6,,,0,0,11,14,1,0,1,3,3,0,0,15,13,8,8,2,2,0,1,PARMA,2011-12,10,10,5,5,5,5,0,0
3,1,2,3,PARMA,away,6,3,,,0,0,14,11,0,1,1,3,3,0,0,13,15,8,8,2,2,1,0,CATANIA,2011-12,10,10,5,5,5,5,0,0
2,2,4,3,LAZIO,home,3,1,0,0,0,0,12,18,6,0,2,2,2,1,0,7,7,5,8,2,6,0,0,MILAN,2011-12,15,10,6,6,9,4,0,0
2,2,3,4,MILAN,away,1,3,0,0,0,0,18,12,0,6,2,2,2,0,1,7,7,8,5,6,2,0,0,LAZIO,2011-12,10,15,6,6,4,9,0,0
2,3,2,0,NAPOLI,home,4,7,1,0,0,0,9,12,1,3,2,1,3,0,1,7,4,2,5,5,5,0,0,CESENA,2011-12,11,16,5,7,6,9,0,0
3,2,0,2,CESENA,away,7,4,0,1,0,0,12,9,3,1,2,3,1,1,0,4,7,5,2,5,5,0,0,NAPOLI,2011-12,16,11,7,5,9,6,0,0
1,1,3,0,PARMA,home,4,1,0,0,1,0,11,15,5,1,2,4,1,1,0,13,14,12,6,0,2,0,1,JUVENTUS,2011-12,8,1,1,0,7,1,0,0
1,1,0,3,JUVENTUS,away,1,4,0,0,0,1,15,11,1,5,2,1,4,0,1,14,13,6,12,2,0,1,0,PARMA,2011-12,1,8,0,1,1,7,0,0
2,4,1,0,SIENA,home,4,5,0,0,0,0,21,13,1,3,2,0,0,0,0,10,10,6,8,2,0,0,0,CATANIA,2011-12,5,3,5,1,0,2,0,0
4,2,0,1,CATANIA,away,5,4,0,0,0,0,13,21,3,1,2,0,0,0,0,10,10,8,6,0,2,0,0,SIENA,2011-12,3,5,1,5,2,0,0,0
1,1,2,0,NOVARA,home,0,6,1,0,0,0,17,21,4,5,2,2,2,0,0,8,8,4,3,2,2,0,0,CHIEVOVERONA,2011-12,9,11,5,7,4,4,0,0
1,1,0,2,CHIEVOVERONA,away,6,0,0,1,0,0,21,17,5,4,2,2,2,0,0,8,8,3,4,2,2,0,0,NOVARA,2011-12,11,9,7,5,4,4,0,0
1,1,2,0,BOLOGNA,home,12,1,0,0,0,0,9,14,4,1,2,2,0,0,2,3,3,6,6,2,7,0,0,FIORENTINA,2011-12,16,12,7,8,9,4,0,0
1,1,0,2,FIORENTINA,away,1,12,0,0,0,0,14,9,1,4,2,0,2,2,0,3,3,6,6,7,2,0,0,BOLOGNA,2011-12,12,16,8,7,4,9,0,0
2,4,1,2,ATALANTA,home,7,3,0,0,1,0,15,18,2,2,2,2,2,0,0,8,12,16,14,3,3,0,0,GENOA,2011-12,10,11,5,6,5,5,0,0
4,2,2,1,GENOA,away,3,7,0,0,0,1,18,15,2,2,2,2,2,0,0,12,8,14,16,3,3,0,0,ATALANTA,2011-12,11,10,6,5,5,5,0,0
2,1,0,2,UDINESE,home,8,5,0,0,0,0,9,17,3,6,2,0,2,0,0,14,8,4,9,2,3,0,0,LECCE,2011-12,13,12,10,8,3,4,0,0
1,2,2,0,LECCE,away,5,8,0,0,0,0,17,9,6,3,2,2,0,0,0,8,14,9,4,3,2,0,0,UDINESE,2011-12,12,13,8,10,4,3,0,0
0,5,2,0,CAGLIARI,home,5,3,0,0,1,0,15,12,4,1,2,1,2,0,1,12,10,8,9,1,7,0,0,ROMA,2011-12,10,7,2,3,8,4,0,0
5,0,0,2,ROMA,away,3,5,0,0,0,1,12,15,1,4,2,2,1,1,0,10,12,9,8,7,1,0,0,CAGLIARI,2011-12,7,10,3,2,4,8,0,0
2,3,2,1,INTER,home,5,6,0,0,0,0,19,9,3,1,2,4,3,0,0,11,19,14,7,3,7,0,1,PALERMO,2011-12,13,16,2,10,11,6,0,0
3,2,1,2,PALERMO,away,6,5,0,0,0,0,9,19,1,3,2,3,4,0,0,19,11,7,14,7,3,1,0,INTER,2011-12,16,13,10,2,6,11,0,0
2,3,2,0,NOVARA,home,4,5,0,0,0,0,16,15,4,5,3,2,1,0,0,8,13,11,5,3,3,0,0,CAGLIARI,2011-12,13,7,7,3,6,4,0,0
3,2,0,2,CAGLIARI,away,5,4,0,0,0,0,15,16,5,4,3,1,2,0,0,13,8,5,11,3,3,0,0,NOVARA,2011-12,7,13,3,7,4,6,0,0
1,1,0,0,ROMA,home,5,6,0,0,0,0,15,11,0,1,3,0,0,0,0,22,16,15,20,3,5,0,0,INTER,2011-12,14,8,9,5,5,3,0,0
1,1,0,0,INTER,away,6,5,0,0,0,0,11,15,1,0,3,0,0,0,0,16,22,20,15,5,3,0,0,ROMA,2011-12,8,14,5,9,3,5,0,0
4,3,2,0,PALERMO,home,1,8,0,0,0,0,10,14,2,2,3,1,0,0,0,8,8,3,4,0,0,0,0,ATALANTA,2011-12,6,7,5,7,1,0,0,0
3,4,0,2,ATALANTA,away,8,1,0,0,0,0,14,10,2,2,3,0,1,0,0,8,8,4,3,0,0,0,0,PALERMO,2011-12,7,6,7,5,0,1,0,0
3,2,0,2,LECCE,home,8,3,0,0,0,0,13,12,2,2,3,0,2,0,0,4,4,2,3,5,2,0,0,BOLOGNA,2011-12,4,14,2,7,2,7,0,0
2,3,2,0,BOLOGNA,away,3,8,0,0,0,0,12,13,2,2,3,2,0,0,0,4,4,3,2,2,5,0,0,LECCE,2011-12,14,4,7,2,7,2,0,0
5,1,0,1,CESENA,home,9,1,0,0,0,0,13,13,5,3,3,1,0,0,0,19,24,17,14,2,5,1,0,CATANIA,2011-12,10,3,4,1,6,2,0,0
1,5,1,0,CATANIA,away,1,9,0,0,0,0,13,13,3,5,3,0,1,0,0,24,19,14,17,5,2,0,1,CESENA,2011-12,3,10,1,4,2,6,0,0
1,2,3,3,GENOA,home,6,2,0,0,0,0,15,14,3,7,3,1,2,0,0,14,16,14,11,2,1,0,0,LAZIO,2011-12,10,9,8,5,2,4,0,0
2,1,3,3,LAZIO,away,2,6,0,0,0,0,14,15,7,3,3,2,1,0,0,16,14,11,14,1,2,0,0,GENOA,2011-12,9,10,5,8,4,2,0,0
1,3,3,0,CHIEVOVERONA,home,0,2,1,0,0,0,15,17,1,7,3,2,1,0,1,15,9,13,13,0,2,0,0,PARMA,2011-12,7,8,3,6,4,2,0,0
3,1,0,3,PARMA,away,2,0,0,1,0,0,17,15,7,1,3,1,2,1,0,9,15,13,13,2,0,0,0,CHIEVOVERONA,2011-12,8,7,6,3,2,4,0,0
2,0,0,3,JUVENTUS,home,1,4,0,0,0,0,16,11,2,2,3,0,1,0,0,21,25,13,14,4,1,0,0,SIENA,2011-12,3,11,2,6,1,5,0,0
0,2,3,0,SIENA,away,4,1,0,0,0,0,11,16,2,2,3,1,0,0,0,25,21,14,13,1,4,0,0,JUVENTUS,2011-12,11,3,6,2,5,1,0,0
1,4,0,0,FIORENTINA,home,4,3,0,0,0,0,17,13,4,2,3,2,0,0,0,8,13,14,12,2,4,1,0,UDINESE,2011-12,10,6,4,4,6,2,0,0
4,1,0,0,UDINESE,away,3,4,0,0,0,0,13,17,2,4,3,0,2,0,0,13,8,12,14,4,2,0,1,FIORENTINA,2011-12,6,10,4,4,2,6,0,0
4,4,2,1,MILAN,home,2,3,0,0,0,0,8,14,0,0,3,3,1,0,0,11,8,7,5,3,1,0,0,NAPOLI,2011-12,11,8,7,4,4,4,0,0
4,4,1,2,NAPOLI,away,3,2,0,0,0,0,14,8,0,0,3,1,3,0,0,8,11,5,7,1,3,0,0,MILAN,2011-12,8,11,4,7,4,4,0,0
1,4,1,0,INTER,home,5,5,0,0,0,1,13,10,3,3,4,3,1,0,0,13,23,16,9,1,6,1,0,NOVARA,2011-12,11,8,2,6,9,2,0,0
4,1,0,1,NOVARA,away,5,5,0,0,1,0,10,13,3,3,4,1,3,0,0,23,13,9,16,6,1,0,1,INTER,2011-12,8,11,6,2,2,9,0,0
3,1,3,3,LAZIO,home,5,4,0,0,0,0,14,11,2,7,4,1,2,0,0,6,4,7,4,5,0,0,1,CESENA,2011-12,6,11,5,4,1,7,0,0
1,3,3,3,CESENA,away,4,5,0,0,0,0,11,14,7,2,4,2,1,0,0,4,6,4,7,0,5,1,0,LAZIO,2011-12,11,6,4,5,7,1,0,0
2,2,0,1,NAPOLI,home,4,3,0,0,0,0,5,13,4,1,4,1,0,0,0,16,11,7,5,3,2,0,0,CHIEVOVERONA,2011-12,9,10,6,7,3,3,0,0
2,2,1,0,CHIEVOVERONA,away,3,4,0,0,0,0,13,5,1,4,4,0,1,0,0,11,16,5,7,2,3,0,0,NAPOLI,2011-12,10,9,7,6,3,3,0,0
0,4,4,0,PARMA,home,5,5,0,0,0,0,13,11,0,3,4,3,0,0,0,5,2,8,4,1,3,0,0,FIORENTINA,2011-12,12,4,6,3,6,1,0,0
4,0,0,4,FIORENTINA,away,5,5,0,0,0,0,11,13,3,0,4,0,3,0,0,2,5,4,8,3,1,0,0,PARMA,2011-12,4,12,3,6,1,6,0,0
2,1,1,0,CATANIA,home,6,5,0,0,0,0,15,14,2,3,4,3,0,1,0,14,12,13,6,4,5,0,0,GENOA,2011-12,15,10,6,6,9,4,0,0
1,2,0,1,GENOA,away,5,6,0,0,0,0,14,15,3,2,4,0,3,0,1,12,14,6,13,5,4,0,0,CATANIA,2011-12,10,15,6,6,4,9,0,0
2,5,2,0,BOLOGNA,home,11,5,1,0,0,0,15,16,4,1,4,1,1,0,0,14,22,10,9,3,4,0,0,JUVENTUS,2011-12,12,10,7,6,5,4,0,0
5,2,0,2,JUVENTUS,away,5,11,0,1,0,0,16,15,1,4,4,1,1,0,0,22,14,9,10,4,3,0,0,BOLOGNA,2011-12,10,12,6,7,4,5,0,0
2,5,3,2,ATALANTA,home,5,3,0,0,1,0,14,16,4,1,4,1,2,0,0,26,24,19,16,4,5,0,1,LECCE,2011-12,8,10,2,4,6,6,0,0
5,2,2,3,LECCE,away,3,5,0,0,0,1,16,14,1,4,4,2,1,0,0,24,26,16,19,5,4,1,0,ATALANTA,2011-12,10,8,4,2,6,6,0,0
3,1,4,2,UDINESE,home,2,3,0,0,0,0,14,13,1,4,4,1,1,1,1,8,7,6,7,4,4,0,0,MILAN,2011-12,16,8,10,2,6,6,0,0
1,3,2,4,MILAN,away,3,2,0,0,0,0,13,14,4,1,4,1,1,1,1,7,8,7,6,4,4,0,0,UDINESE,2011-12,8,16,2,10,6,6,0,0
4,2,3,1,CAGLIARI,home,1,5,0,0,0,0,13,13,2,1,4,3,2,0,0,25,28,21,15,3,1,0,0,PALERMO,2011-12,8,12,4,7,4,5,0,0
2,4,1,3,PALERMO,away,5,1,0,0,0,0,13,13,1,2,4,2,3,0,0,28,25,15,21,1,3,0,0,CAGLIARI,2011-12,12,8,7,4,5,4,0,0
1,1,1,0,SIENA,home,6,4,0,0,0,0,7,10,0,7,4,1,1,0,1,2,2,2,3,4,4,0,0,ROMA,2011-12,12,12,7,6,5,6,0,0
1,1,0,1,ROMA,away,4,6,0,0,0,0,10,7,7,0,4,1,1,1,0,2,2,3,2,4,4,0,0,SIENA,2011-12,12,12,6,7,6,5,0,0
2,1,0,3,INTER,home,9,1,0,0,1,0,19,13,3,3,5,1,3,0,1,4,4,11,5,5,6,1,1,BOLOGNA,2011-12,10,10,3,3,7,7,0,0
1,2,3,0,BOLOGNA,away,1,9,0,0,0,1,13,19,3,3,5,3,1,1,0,4,4,5,11,6,5,1,1,INTER,2011-12,10,10,3,3,7,7,0,0
3,1,4,0,CESENA,home,11,3,0,0,0,0,13,15,8,1,5,1,0,0,0,8,10,16,7,4,3,0,0,MILAN,2011-12,7,6,3,2,4,4,0,0
1,3,0,4,MILAN,away,3,11,0,0,0,0,15,13,1,8,5,0,1,0,0,10,8,7,16,3,4,0,0,CESENA,2011-12,6,7,2,3,4,4,0,0
2,3,0,0,FIORENTINA,home,6,6,0,0,0,0,12,6,1,1,5,0,0,0,0,14,3,5,10,4,2,0,0,NAPOLI,2011-12,6,12,4,8,2,4,0,0
3,2,0,0,NAPOLI,away,6,6,0,0,0,0,6,12,1,1,5,0,0,0,0,3,14,10,5,2,4,0,0,FIORENTINA,2011-12,12,6,8,4,4,2,0,0
0,2,1,0,GENOA,home,8,4,0,0,0,1,15,11,2,0,5,2,1,0,0,8,6,5,6,3,5,1,0,CHIEVOVERONA,2011-12,14,4,6,0,8,4,0,0
2,0,0,1,CHIEVOVERONA,away,4,8,0,0,1,0,11,15,0,2,5,1,2,0,0,6,8,6,5,5,3,0,1,GENOA,2011-12,4,14,0,6,4,8,0,0
4,1,1,0,NOVARA,home,4,3,0,0,0,0,23,18,2,1,5,2,1,1,0,15,19,10,10,3,2,0,0,ATALANTA,2011-12,7,9,2,5,5,4,0,0
1,4,0,1,ATALANTA,away,3,4,0,0,0,0,18,23,1,2,5,1,2,0,1,19,15,10,10,2,3,0,0,NOVARA,2011-12,9,7,5,2,4,5,0,0
1,5,2,0,UDINESE,home,6,3,0,0,0,0,14,13,0,2,5,0,0,0,0,12,9,7,7,3,7,0,0,CAGLIARI,2011-12,14,9,7,5,7,4,0,0
5,1,0,2,CAGLIARI,away,3,6,0,0,0,0,13,14,2,0,5,0,0,0,0,9,12,7,7,7,3,0,0,UDINESE,2011-12,9,14,5,7,4,7,0,0
2,3,2,3,JUVENTUS,home,3,10,0,0,0,0,15,21,1,4,5,1,1,0,0,17,25,7,12,7,3,0,0,CATANIA,2011-12,13,16,9,9,4,7,0,0
3,2,3,2,CATANIA,away,10,3,0,0,0,0,21,15,4,1,5,1,1,0,0,25,17,12,7,3,7,0,0,JUVENTUS,2011-12,16,13,9,9,7,4,0,0
2,1,1,0,PALERMO,home,7,3,0,0,0,0,11,14,1,4,5,0,0,0,0,12,12,11,14,4,7,0,0,LAZIO,2011-12,11,5,4,1,7,4,0,0
1,2,0,1,LAZIO,away,3,7,0,0,0,0,14,11,4,1,5,0,0,0,0,12,12,14,11,7,4,0,0,PALERMO,2011-12,5,11,1,4,4,7,0,0
2,1,1,0,LECCE,home,1,2,0,1,0,0,10,13,1,0,5,3,0,1,0,6,4,11,7,4,1,0,0,SIENA,2011-12,7,8,2,4,5,4,0,0
1,2,0,1,SIENA,away,2,1,1,0,0,0,13,10,0,1,5,0,3,0,1,4,6,7,11,1,4,0,0,LECCE,2011-12,8,7,4,2,4,5,0,0
2,3,1,1,ROMA,home,7,5,0,0,0,0,14,12,2,1,5,0,1,0,1,4,3,3,4,1,4,0,0,PARMA,2011-12,10,15,6,12,4,3,0,0
3,2,1,1,PARMA,away,5,7,0,0,0,0,12,14,1,2,5,1,0,1,0,3,4,4,3,4,1,0,0,ROMA,2011-12,15,10,12,6,3,4,0,0
1,3,2,0,ATALANTA,home,5,10,0,0,0,0,10,7,1,1,6,3,1,0,0,12,8,14,9,2,3,0,0,ROMA,2011-12,13,6,7,3,6,3,0,0
3,1,0,2,ROMA,away,10,5,0,0,0,0,7,10,1,1,6,1,3,0,0,8,12,9,14,3,2,0,0,ATALANTA,2011-12,6,13,3,7,3,6,0,0
3,2,0,2,NAPOLI,home,2,6,1,0,0,0,8,16,3,1,6,0,3,0,0,9,6,7,9,1,2,0,1,INTER,2011-12,7,11,5,7,2,4,0,0
2,3,2,0,INTER,away,6,2,0,1,0,0,16,8,1,3,6,3,0,0,0,6,9,9,7,2,1,1,0,NAPOLI,2011-12,11,7,7,5,4,2,0,0
5,1,3,1,CATANIA,home,8,4,0,0,0,0,26,20,1,2,6,3,3,0,0,6,4,6,6,4,4,1,0,NOVARA,2011-12,11,14,4,5,7,9,0,0
1,5,1,3,NOVARA,away,4,8,0,0,0,0,20,26,2,1,6,3,3,0,0,4,6,6,6,4,4,0,1,CATANIA,2011-12,14,11,5,4,9,7,0,0
5,3,4,1,CHIEVOVERONA,home,3,2,0,0,0,0,14,12,2,3,6,0,0,0,0,18,16,10,9,2,4,1,0,CESENA,2011-12,11,6,7,5,4,1,0,0
3,5,1,4,CESENA,away,2,3,0,0,0,0,12,14,3,2,6,0,0,0,0,16,18,9,10,4,2,0,1,CHIEVOVERONA,2011-12,6,11,5,7,1,4,0,0
3,1,2,1,LAZIO,home,6,2,0,0,0,0,8,7,4,1,6,1,2,0,0,12,9,8,8,4,9,0,0,FIORENTINA,2011-12,13,10,4,4,9,6,0,0
1,3,1,2,FIORENTINA,away,2,6,0,0,0,0,7,8,1,4,6,2,1,0,0,9,12,8,8,9,4,0,0,LAZIO,2011-12,10,13,4,4,6,9,0,0
6,2,3,1,CAGLIARI,home,4,6,0,0,0,0,18,23,5,3,6,0,2,0,0,28,17,14,21,1,5,0,0,LECCE,2011-12,9,8,4,5,5,3,0,0
2,6,1,3,LECCE,away,6,4,0,0,0,0,23,18,3,5,6,2,0,0,0,17,28,21,14,5,1,0,0,CAGLIARI,2011-12,8,9,5,4,3,5,0,0
3,4,0,1,SIENA,home,9,1,1,0,0,0,22,13,1,2,6,2,0,0,0,23,25,15,15,1,5,1,0,PALERMO,2011-12,11,4,4,3,7,1,0,0
4,3,1,0,PALERMO,away,1,9,0,1,0,0,13,22,2,1,6,0,2,0,0,25,23,15,15,5,1,0,1,SIENA,2011-12,4,11,3,4,1,7,0,0
1,1,0,1,GENOA,home,3,5,0,0,0,0,14,19,1,2,6,3,1,1,1,9,11,6,5,6,5,1,1,PARMA,2011-12,14,13,5,5,9,8,0,0
1,1,1,0,PARMA,away,5,3,0,0,0,0,19,14,2,1,6,1,3,1,1,11,9,5,6,5,6,1,1,GENOA,2011-12,13,14,5,5,8,9,0,0
1,3,2,0,BOLOGNA,home,4,3,0,0,0,0,18,22,3,2,6,2,0,1,0,13,18,18,15,2,8,1,0,UDINESE,2011-12,19,8,8,6,11,2,0,0
3,1,0,2,UDINESE,away,3,4,0,0,0,0,22,18,2,3,6,0,2,0,1,18,13,15,18,8,2,0,1,BOLOGNA,2011-12,8,19,6,8,2,11,0,0
1,1,2,1,MILAN,home,5,5,0,1,0,0,14,13,2,1,6,2,0,1,0,12,18,12,6,1,5,0,0,JUVENTUS,2011-12,17,2,9,1,8,1,0,0
1,1,1,2,JUVENTUS,away,5,5,1,0,0,0,13,14,1,2,6,0,2,0,1,18,12,6,12,5,1,0,0,MILAN,2011-12,2,17,1,9,1,8,0,0
3,2,1,1,INTER,home,6,5,0,0,0,0,10,14,7,4,7,2,1,0,0,28,14,10,19,1,3,1,0,CATANIA,2011-12,9,4,4,2,5,2,0,0
2,3,1,1,CATANIA,away,5,6,0,0,0,0,14,10,4,7,7,1,2,0,0,14,28,19,10,3,1,0,1,INTER,2011-12,4,9,2,4,2,5,0,0
2,1,6,0,PALERMO,home,10,4,0,0,0,0,12,10,7,1,7,3,0,0,0,4,13,12,3,0,7,0,0,MILAN,2011-12,13,4,3,4,10,0,0,0
1,2,0,6,MILAN,away,4,10,0,0,0,0,10,12,1,7,7,0,3,0,0,13,4,3,12,7,0,0,0,PALERMO,2011-12,4,13,4,3,0,10,0,0
1,1,1,2,PARMA,home,8,0,0,0,0,0,15,10,2,3,7,1,2,1,0,14,4,7,4,3,4,0,0,NAPOLI,2011-12,12,5,6,0,6,5,0,0
1,1,2,1,NAPOLI,away,0,8,0,0,0,0,10,15,3,2,7,2,1,0,1,4,14,4,7,4,3,0,0,PARMA,2011-12,5,12,0,6,5,6,0,0
2,4,0,1,FIORENTINA,home,9,5,0,0,1,0,7,10,2,4,7,0,0,2,0,2,3,3,6,5,5,0,0,CESENA,2011-12,15,11,9,6,6,5,0,0
4,2,1,0,CESENA,away,5,9,0,0,0,1,10,7,4,2,7,0,0,0,2,3,2,6,3,5,5,0,0,FIORENTINA,2011-12,11,15,6,9,5,6,0,0
3,1,0,0,UDINESE,home,3,3,0,1,0,0,22,18,1,3,7,0,0,0,0,4,1,1,4,2,3,0,0,ATALANTA,2011-12,8,5,5,3,3,2,0,0
1,3,0,0,ATALANTA,away,3,3,1,0,0,0,18,22,3,1,7,0,0,0,0,1,4,4,1,3,2,0,0,UDINESE,2011-12,5,8,3,5,2,3,0,0
1,3,0,0,SIENA,home,4,3,0,0,0,0,15,13,0,5,7,0,0,0,0,12,11,8,8,2,5,0,0,CAGLIARI,2011-12,10,5,4,3,6,2,0,0
3,1,0,0,CAGLIARI,away,3,4,0,0,0,0,13,15,5,0,7,0,0,0,0,11,12,8,8,5,2,0,0,SIENA,2011-12,5,10,3,4,2,6,0,0
7,2,0,0,JUVENTUS,home,3,4,0,0,0,0,10,21,3,4,7,0,0,0,1,7,11,7,10,3,1,0,0,CHIEVOVERONA,2011-12,2,9,1,5,1,4,0,0
2,7,0,0,CHIEVOVERONA,away,4,3,0,0,0,0,21,10,4,3,7,0,0,1,0,11,7,10,7,1,3,0,0,JUVENTUS,2011-12,9,2,5,1,4,1,0,0
2,4,1,0,LECCE,home,11,2,1,0,0,0,21,20,4,0,7,0,0,1,0,13,13,8,7,1,7,0,0,GENOA,2011-12,15,6,6,5,9,1,0,0
4,2,0,1,GENOA,away,2,11,0,1,0,0,20,21,0,4,7,0,0,0,1,13,13,7,8,7,1,0,0,LECCE,2011-12,6,15,5,6,1,9,0,0
1,2,0,2,BOLOGNA,home,8,1,0,0,0,0,22,9,4,6,7,0,2,0,1,6,7,5,6,4,2,0,0,NOVARA,2011-12,9,8,6,1,3,7,0,0
2,1,2,0,NOVARA,away,1,8,0,0,0,0,9,22,6,4,7,2,0,1,0,7,6,6,5,2,4,0,0,BOLOGNA,2011-12,8,9,1,6,7,3,0,0
2,4,2,1,ROMA,home,8,2,0,0,0,1,11,14,3,1,7,2,1,2,0,9,13,7,7,0,3,1,0,LAZIO,2011-12,13,3,6,2,7,1,0,0
4,2,1,2,LAZIO,away,2,8,0,0,1,0,14,11,1,3,7,1,2,0,2,13,9,7,7,3,0,0,1,ROMA,2011-12,3,13,2,6,1,7,0,0
1,1,1,0,CATANIA,home,6,10,,,,,12,14,0,2,8,2,2,0,0,4,3,5,4,0,4,0,0,FIORENTINA,2011-12,10,7,4,5,6,2,0,0
1,1,0,1,FIORENTINA,away,10,6,,,,,14,12,2,0,8,2,2,0,0,3,4,4,5,4,0,0,0,CATANIA,2011-12,7,10,5,4,2,6,0,0
2,5,1,2,GENOA,home,8,8,,,,,10,9,3,1,8,2,2,0,1,12,14,12,7,3,5,0,0,JUVENTUS,2011-12,15,9,8,3,7,6,0,0
5,2,2,1,JUVENTUS,away,8,8,,,,,9,10,1,3,8,2,2,1,0,14,12,7,12,5,3,0,0,GENOA,2011-12,9,15,3,8,6,7,0,0
4,0,1,6,MILAN,home,3,6,,,,,17,19,4,4,8,3,4,0,0,10,20,17,9,2,3,1,0,LECCE,2011-12,11,14,5,8,6,6,0,0
0,4,6,1,LECCE,away,6,3,,,,,19,17,4,4,8,4,3,0,0,20,10,9,17,3,2,0,1,MILAN,2011-12,14,11,8,5,6,6,0,0
3,2,3,2,NAPOLI,home,7,4,,,,,13,18,1,3,8,0,0,2,1,9,12,10,4,4,4,0,0,CAGLIARI,2011-12,10,11,4,5,6,6,0,0
2,3,2,3,CAGLIARI,away,4,7,,,,,18,13,3,1,8,0,0,1,2,12,9,4,10,4,4,0,0,NAPOLI,2011-12,11,10,5,4,6,6,0,0
2,2,1,0,CHIEVOVERONA,home,10,4,,,,,14,10,0,2,8,1,0,1,0,16,10,13,12,3,6,0,0,INTER,2011-12,17,5,10,2,7,3,0,0
2,2,0,1,INTER,away,4,10,,,,,10,14,2,0,8,0,1,0,1,10,16,12,13,6,3,0,0,CHIEVOVERONA,2011-12,5,17,2,10,3,7,0,0
