Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Avversaria,Campo,Corner,Corner avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
5,5,2,2,FIORENTINA,home,1,9,,,0,0,12,9,5,0,1,0,0,1,0,7,4,5,4,5,3,0,0,SIENA,2011-12,7,10,3,5,4,5,0,0
5,5,2,2,SIENA,away,9,1,,,0,0,9,12,0,5,1,0,0,0,1,4,7,4,5,3,5,0,0,FIORENTINA,2011-12,10,7,5,3,5,4,0,0
2,2,2,3,MILAN,home,7,1,,,0,0,16,9,4,1,1,0,2,1,0,14,13,7,5,2,5,0,0,CAGLIARI,2011-12,12,5,6,2,6,3,0,0
2,2,3,2,CAGLIARI,away,1,7,,,0,0,9,16,1,4,1,2,0,0,1,13,14,5,7,5,2,0,0,MILAN,2011-12,5,12,2,6,3,6,0,0
3,1,0,1,JUVENTUS,home,3,6,,,0,0,14,19,5,0,1,0,0,0,0,9,13,14,10,6,6,0,0,UDINESE,2011-12,11,14,5,8,6,6,0,0
1,3,1,0,UDINESE,away,6,3,,,0,0,19,14,0,5,1,0,0,0,0,13,9,10,14,6,6,0,0,JUVENTUS,2011-12,14,11,8,5,6,6,0,0
1,3,0,0,CESENA,home,5,4,,,0,0,13,15,1,3,1,4,1,0,0,7,9,8,7,3,4,1,0,ATALANTA,2011-12,8,10,1,6,7,4,0,0
3,1,0,0,ATALANTA,away,4,5,,,0,0,15,13,3,1,1,1,4,0,0,9,7,7,8,4,3,0,1,CESENA,2011-12,10,8,6,1,4,7,0,0
4,2,0,5,ROMA,home,4,2,,,1,0,9,18,3,4,1,0,2,0,0,6,5,6,8,4,5,0,0,BOLOGNA,2011-12,8,15,3,9,5,6,0,0
2,4,5,0,BOLOGNA,away,2,4,,,0,1,18,9,4,3,1,2,0,0,0,5,6,8,6,5,4,0,0,ROMA,2011-12,15,8,9,3,6,5,0,0
1,2,3,3,LECCE,home,12,2,,,0,0,11,5,1,2,1,4,1,4,0,18,12,18,16,2,4,0,0,INTER,2011-12,23,9,11,6,12,3,0,0
2,1,3,3,INTER,away,2,12,,,0,0,5,11,2,1,1,1,4,0,4,12,18,16,18,4,2,0,0,LECCE,2011-12,9,23,6,11,3,12,0,0
0,0,0,1,CHIEVOVERONA,home,7,4,,,0,0,9,9,1,4,1,0,0,0,1,13,8,9,13,5,1,0,0,LAZIO,2011-12,4,8,3,2,1,6,0,0
