Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
BARI,home,0,2,1,2,0,ATALANTA,1990-91
ATALANTA,away,2,0,1,0,2,BARI,1990-91
PISA,home,0,0,1,0,1,BOLOGNA,1990-91
BOLOGNA,away,0,0,1,1,0,PISA,1990-91
INTER,home,1,0,1,0,3,CAGLIARI,1990-91
CAGLIARI,away,0,1,1,3,0,INTER,1990-91
NAPOLI,home,0,0,1,0,0,LECCE,1990-91
LECCE,away,0,0,1,0,0,NAPOLI,1990-91
GENOA,home,0,1,1,1,0,MILAN,1990-91
MILAN,away,1,0,1,0,1,GENOA,1990-91
JUVENTUS,home,0,0,1,1,2,PARMA,1990-91
PARMA,away,0,0,1,2,1,JUVENTUS,1990-91
FIORENTINA,home,0,0,1,4,0,ROMA,1990-91
ROMA,away,0,0,1,0,4,FIORENTINA,1990-91
CESENA,home,0,0,1,1,0,SAMPDORIA,1990-91
SAMPDORIA,away,0,0,1,0,1,CESENA,1990-91
LAZIO,home,1,0,1,0,0,TORINO,1990-91
TORINO,away,0,1,1,0,0,LAZIO,1990-91
TORINO,home,0,0,2,2,1,BARI,1990-91
BARI,away,0,0,2,1,2,TORINO,1990-91
MILAN,home,0,0,2,0,1,CESENA,1990-91
CESENA,away,0,0,2,1,0,MILAN,1990-91
SAMPDORIA,home,0,0,2,0,0,FIORENTINA,1990-91
FIORENTINA,away,0,0,2,0,0,SAMPDORIA,1990-91
ROMA,home,0,0,2,3,0,GENOA,1990-91
GENOA,away,0,0,2,0,3,ROMA,1990-91
BOLOGNA,home,0,0,2,1,0,INTER,1990-91
INTER,away,0,0,2,0,1,BOLOGNA,1990-91
ATALANTA,home,0,0,2,1,1,JUVENTUS,1990-91
JUVENTUS,away,0,0,2,1,1,ATALANTA,1990-91
PARMA,home,0,0,2,0,0,LAZIO,1990-91
LAZIO,away,0,0,2,0,0,PARMA,1990-91
CAGLIARI,home,1,0,2,1,2,NAPOLI,1990-91
NAPOLI,away,0,1,2,2,1,CAGLIARI,1990-91
LECCE,home,1,1,2,4,0,PISA,1990-91
PISA,away,1,1,2,0,4,LECCE,1990-91
CAGLIARI,home,0,0,3,2,1,ATALANTA,1990-91
ATALANTA,away,0,0,3,1,2,CAGLIARI,1990-91
JUVENTUS,home,0,1,3,1,1,CESENA,1990-91
CESENA,away,1,0,3,1,1,JUVENTUS,1990-91
LAZIO,home,0,0,3,1,0,LECCE,1990-91
LECCE,away,0,0,3,0,1,LAZIO,1990-91
FIORENTINA,home,0,0,3,2,1,MILAN,1990-91
MILAN,away,0,0,3,1,2,FIORENTINA,1990-91
NAPOLI,home,0,0,3,1,0,PARMA,1990-91
PARMA,away,0,0,3,0,1,NAPOLI,1990-91
GENOA,home,0,0,3,0,0,PISA,1990-91
PISA,away,0,0,3,0,0,GENOA,1990-91
BARI,home,0,0,3,1,0,ROMA,1990-91
ROMA,away,0,0,3,0,1,BARI,1990-91
BOLOGNA,home,0,0,3,2,1,SAMPDORIA,1990-91
SAMPDORIA,away,0,0,3,1,2,BOLOGNA,1990-91
INTER,home,0,0,3,2,0,TORINO,1990-91
TORINO,away,0,0,3,0,2,INTER,1990-91
PARMA,home,0,0,4,2,2,BARI,1990-91
BARI,away,0,0,4,2,2,PARMA,1990-91
TORINO,home,0,0,4,1,0,BOLOGNA,1990-91
BOLOGNA,away,0,0,4,0,1,TORINO,1990-91
CESENA,home,0,0,4,0,0,CAGLIARI,1990-91
CAGLIARI,away,0,0,4,0,0,CESENA,1990-91
ATALANTA,home,0,1,4,3,1,FIORENTINA,1990-91
FIORENTINA,away,1,0,4,1,3,ATALANTA,1990-91
LECCE,home,0,0,4,0,0,GENOA,1990-91
GENOA,away,0,0,4,0,0,LECCE,1990-91
ROMA,home,0,0,4,2,1,INTER,1990-91
INTER,away,0,0,4,1,2,ROMA,1990-91
SAMPDORIA,home,0,0,4,0,0,JUVENTUS,1990-91
JUVENTUS,away,0,0,4,0,0,SAMPDORIA,1990-91
MILAN,home,0,0,4,1,1,LAZIO,1990-91
LAZIO,away,0,0,4,1,1,MILAN,1990-91
PISA,home,0,0,4,2,1,NAPOLI,1990-91
NAPOLI,away,0,0,4,1,2,PISA,1990-91
INTER,home,2,1,5,1,1,ATALANTA,1990-91
ATALANTA,away,1,2,5,1,1,INTER,1990-91
BARI,home,0,0,5,4,2,CESENA,1990-91
CESENA,away,0,0,5,2,4,BARI,1990-91
NAPOLI,home,0,0,5,1,1,GENOA,1990-91
GENOA,away,0,0,5,1,1,NAPOLI,1990-91
BOLOGNA,home,0,0,5,3,1,LAZIO,1990-91
LAZIO,away,0,0,5,1,3,BOLOGNA,1990-91
JUVENTUS,home,0,0,5,0,1,LECCE,1990-91
LECCE,away,0,0,5,1,0,JUVENTUS,1990-91
CAGLIARI,home,0,1,5,2,0,MILAN,1990-91
MILAN,away,1,0,5,0,2,CAGLIARI,1990-91
SAMPDORIA,home,0,0,5,0,0,PARMA,1990-91
PARMA,away,0,0,5,0,0,SAMPDORIA,1990-91
FIORENTINA,home,0,0,5,0,4,PISA,1990-91
PISA,away,0,0,5,4,0,FIORENTINA,1990-91
ROMA,home,0,1,5,1,0,TORINO,1990-91
TORINO,away,1,0,5,0,1,ROMA,1990-91
GENOA,home,0,0,6,4,0,BARI,1990-91
BARI,away,0,0,6,0,4,GENOA,1990-91
CESENA,home,1,0,6,0,1,BOLOGNA,1990-91
BOLOGNA,away,0,1,6,1,0,CESENA,1990-91
TORINO,home,0,0,6,1,2,CAGLIARI,1990-91
CAGLIARI,away,0,0,6,2,1,TORINO,1990-91
PARMA,home,0,0,6,2,3,FIORENTINA,1990-91
FIORENTINA,away,0,0,6,3,2,PARMA,1990-91
PISA,home,0,0,6,6,3,INTER,1990-91
INTER,away,0,0,6,3,6,PISA,1990-91
LAZIO,home,0,0,6,0,0,JUVENTUS,1990-91
JUVENTUS,away,0,0,6,0,0,LAZIO,1990-91
MILAN,home,0,0,6,1,1,NAPOLI,1990-91
NAPOLI,away,0,0,6,1,1,MILAN,1990-91
LECCE,home,0,0,6,3,0,ROMA,1990-91
ROMA,away,0,0,6,0,3,LECCE,1990-91
ATALANTA,home,0,0,6,4,1,SAMPDORIA,1990-91
SAMPDORIA,away,0,0,6,1,4,ATALANTA,1990-91
TORINO,home,0,0,7,2,2,CESENA,1990-91
CESENA,away,0,0,7,2,2,TORINO,1990-91
BOLOGNA,home,0,1,7,0,0,GENOA,1990-91
GENOA,away,1,0,7,0,0,BOLOGNA,1990-91
INTER,home,0,0,7,4,2,JUVENTUS,1990-91
JUVENTUS,away,0,0,7,2,4,INTER,1990-91
BARI,home,0,0,7,1,1,LAZIO,1990-91
LAZIO,away,0,0,7,1,1,BARI,1990-91
ATALANTA,home,0,0,7,0,0,LECCE,1990-91
LECCE,away,0,0,7,0,0,ATALANTA,1990-91
SAMPDORIA,home,0,0,7,0,1,MILAN,1990-91
MILAN,away,0,0,7,1,0,SAMPDORIA,1990-91
FIORENTINA,home,0,0,7,1,0,NAPOLI,1990-91
NAPOLI,away,0,0,7,0,1,FIORENTINA,1990-91
ROMA,home,0,0,7,2,1,PARMA,1990-91
PARMA,away,0,0,7,1,2,ROMA,1990-91
CAGLIARI,home,0,0,7,1,0,PISA,1990-91
PISA,away,0,0,7,0,1,CAGLIARI,1990-91
MILAN,home,1,0,8,0,2,ATALANTA,1990-91
ATALANTA,away,0,1,8,2,0,MILAN,1990-91
NAPOLI,home,0,0,8,0,0,BARI,1990-91
BARI,away,0,0,8,0,0,NAPOLI,1990-91
JUVENTUS,home,0,0,8,0,1,BOLOGNA,1990-91
BOLOGNA,away,0,0,8,1,0,JUVENTUS,1990-91
LAZIO,home,0,0,8,0,1,CAGLIARI,1990-91
CAGLIARI,away,0,0,8,1,0,LAZIO,1990-91
GENOA,home,0,0,8,2,2,FIORENTINA,1990-91
FIORENTINA,away,0,0,8,2,2,GENOA,1990-91
PARMA,home,0,0,8,2,1,INTER,1990-91
INTER,away,0,0,8,1,2,PARMA,1990-91
CESENA,home,0,0,8,4,1,ROMA,1990-91
ROMA,away,0,0,8,1,4,CESENA,1990-91
PISA,home,0,0,8,4,2,SAMPDORIA,1990-91
SAMPDORIA,away,0,0,8,2,4,PISA,1990-91
LECCE,home,0,0,8,2,0,TORINO,1990-91
TORINO,away,0,0,8,0,2,LECCE,1990-91
BARI,home,0,2,9,3,0,BOLOGNA,1990-91
BOLOGNA,away,2,0,9,0,3,BARI,1990-91
FIORENTINA,home,0,0,9,1,1,CAGLIARI,1990-91
CAGLIARI,away,0,0,9,1,1,FIORENTINA,1990-91
TORINO,home,0,0,9,0,0,GENOA,1990-91
GENOA,away,0,0,9,0,0,TORINO,1990-91
ROMA,home,2,1,9,5,0,JUVENTUS,1990-91
JUVENTUS,away,1,2,9,0,5,ROMA,1990-91
ATALANTA,home,1,0,9,2,2,LAZIO,1990-91
LAZIO,away,0,1,9,2,2,ATALANTA,1990-91
CESENA,home,1,0,9,2,0,LECCE,1990-91
LECCE,away,0,1,9,0,2,CESENA,1990-91
INTER,home,0,0,9,0,1,MILAN,1990-91
MILAN,away,0,0,9,1,0,INTER,1990-91
SAMPDORIA,home,0,0,9,1,4,NAPOLI,1990-91
NAPOLI,away,0,0,9,4,1,SAMPDORIA,1990-91
PARMA,home,0,0,9,0,2,PISA,1990-91
PISA,away,0,0,9,2,0,PARMA,1990-91
PISA,home,,,10,1,0,ATALANTA,1990-91
ATALANTA,away,,,10,0,1,PISA,1990-91
JUVENTUS,home,,,10,2,0,BARI,1990-91
BARI,away,,,10,0,2,JUVENTUS,1990-91
LAZIO,home,,,10,1,1,CESENA,1990-91
CESENA,away,,,10,1,1,LAZIO,1990-91
LECCE,home,,,10,0,0,FIORENTINA,1990-91
FIORENTINA,away,,,10,0,0,LECCE,1990-91
NAPOLI,home,,,10,2,1,INTER,1990-91
INTER,away,,,10,1,2,NAPOLI,1990-91
CAGLIARI,home,,,10,2,0,PARMA,1990-91
PARMA,away,,,10,0,2,CAGLIARI,1990-91
BOLOGNA,home,,,10,4,1,ROMA,1990-91
ROMA,away,,,10,1,4,BOLOGNA,1990-91
GENOA,home,,,10,1,2,SAMPDORIA,1990-91
SAMPDORIA,away,,,10,2,1,GENOA,1990-91
MILAN,home,,,10,1,1,TORINO,1990-91
TORINO,away,,,10,1,1,MILAN,1990-91
INTER,home,0,0,11,1,1,BARI,1990-91
BARI,away,0,0,11,1,1,INTER,1990-91
ATALANTA,home,0,0,11,1,1,BOLOGNA,1990-91
BOLOGNA,away,0,0,11,1,1,ATALANTA,1990-91
SAMPDORIA,home,0,0,11,0,0,CAGLIARI,1990-91
CAGLIARI,away,0,0,11,0,0,SAMPDORIA,1990-91
PARMA,home,0,0,11,2,1,GENOA,1990-91
GENOA,away,0,0,11,1,2,PARMA,1990-91
FIORENTINA,home,0,0,11,2,1,JUVENTUS,1990-91
JUVENTUS,away,0,0,11,1,2,FIORENTINA,1990-91
ROMA,home,0,0,11,1,1,LAZIO,1990-91
LAZIO,away,0,0,11,1,1,ROMA,1990-91
LECCE,home,0,2,11,1,0,MILAN,1990-91
MILAN,away,2,0,11,0,1,LECCE,1990-91
TORINO,home,0,0,11,2,1,NAPOLI,1990-91
NAPOLI,away,0,0,11,1,2,TORINO,1990-91
CESENA,home,0,0,11,3,2,PISA,1990-91
PISA,away,0,0,11,2,3,CESENA,1990-91
NAPOLI,home,0,0,12,0,0,ATALANTA,1990-91
ATALANTA,away,0,0,12,0,0,NAPOLI,1990-91
INTER,home,0,0,12,1,5,CESENA,1990-91
CESENA,away,0,0,12,5,1,INTER,1990-91
BARI,home,0,0,12,1,1,FIORENTINA,1990-91
FIORENTINA,away,0,0,12,1,1,BARI,1990-91
GENOA,home,0,0,12,1,1,LAZIO,1990-91
LAZIO,away,0,0,12,1,1,GENOA,1990-91
CAGLIARI,home,0,1,12,2,0,LECCE,1990-91
LECCE,away,1,0,12,0,2,CAGLIARI,1990-91
BOLOGNA,home,1,1,12,1,1,PARMA,1990-91
PARMA,away,1,1,12,1,1,BOLOGNA,1990-91
JUVENTUS,home,1,1,12,1,1,TORINO,1990-91
TORINO,away,1,1,12,1,1,JUVENTUS,1990-91
PISA,home,0,1,12,1,0,MILAN,1990-91
MILAN,away,1,0,12,0,1,PISA,1990-91
ROMA,home,0,0,12,2,1,SAMPDORIA,1990-91
SAMPDORIA,away,0,0,12,1,2,ROMA,1990-91
SAMPDORIA,home,0,0,13,1,1,BARI,1990-91
BARI,away,0,0,13,1,1,SAMPDORIA,1990-91
LECCE,home,0,0,13,1,1,BOLOGNA,1990-91
BOLOGNA,away,0,0,13,1,1,LECCE,1990-91
CESENA,home,0,0,13,4,1,GENOA,1990-91
GENOA,away,0,0,13,1,4,CESENA,1990-91
FIORENTINA,home,0,2,13,1,1,INTER,1990-91
INTER,away,2,0,13,1,1,FIORENTINA,1990-91
CAGLIARI,home,0,0,13,2,2,JUVENTUS,1990-91
JUVENTUS,away,0,0,13,2,2,CAGLIARI,1990-91
LAZIO,home,0,0,13,2,1,NAPOLI,1990-91
NAPOLI,away,0,0,13,1,2,LAZIO,1990-91
ATALANTA,home,0,0,13,1,0,PARMA,1990-91
PARMA,away,0,0,13,0,1,ATALANTA,1990-91
TORINO,home,0,0,13,2,0,PISA,1990-91
PISA,away,0,0,13,0,2,TORINO,1990-91
MILAN,home,0,0,13,0,0,ROMA,1990-91
ROMA,away,0,0,13,0,0,MILAN,1990-91
ROMA,home,0,1,14,2,2,ATALANTA,1990-91
ATALANTA,away,1,0,14,2,2,ROMA,1990-91
GENOA,home,0,0,14,1,0,CAGLIARI,1990-91
CAGLIARI,away,0,0,14,0,1,GENOA,1990-91
NAPOLI,home,0,1,14,0,0,CESENA,1990-91
CESENA,away,1,0,14,0,0,NAPOLI,1990-91
BOLOGNA,home,0,0,14,1,0,FIORENTINA,1990-91
FIORENTINA,away,0,0,14,0,1,BOLOGNA,1990-91
PISA,home,1,1,14,0,0,LAZIO,1990-91
LAZIO,away,1,1,14,0,0,PISA,1990-91
BARI,home,0,0,14,1,1,LECCE,1990-91
LECCE,away,0,0,14,1,1,BARI,1990-91
JUVENTUS,home,0,0,14,2,0,MILAN,1990-91
MILAN,away,0,0,14,0,2,JUVENTUS,1990-91
INTER,home,1,0,14,3,1,SAMPDORIA,1990-91
SAMPDORIA,away,0,1,14,1,3,INTER,1990-91
PARMA,home,1,0,14,0,0,TORINO,1990-91
TORINO,away,0,1,14,0,0,PARMA,1990-91
CESENA,home,0,0,15,3,0,ATALANTA,1990-91
ATALANTA,away,0,0,15,0,3,CESENA,1990-91
PISA,home,0,0,15,2,0,BARI,1990-91
BARI,away,0,0,15,0,2,PISA,1990-91
MILAN,home,0,0,15,1,1,BOLOGNA,1990-91
BOLOGNA,away,0,0,15,1,1,MILAN,1990-91
LAZIO,home,0,0,15,1,1,FIORENTINA,1990-91
FIORENTINA,away,0,0,15,1,1,LAZIO,1990-91
GENOA,home,0,0,15,2,1,INTER,1990-91
INTER,away,0,0,15,1,2,GENOA,1990-91
NAPOLI,home,0,2,15,1,0,JUVENTUS,1990-91
JUVENTUS,away,2,0,15,0,1,NAPOLI,1990-91
LECCE,home,0,0,15,0,0,PARMA,1990-91
PARMA,away,0,0,15,0,0,LECCE,1990-91
CAGLIARI,home,0,0,15,0,0,ROMA,1990-91
ROMA,away,0,0,15,0,0,CAGLIARI,1990-91
TORINO,home,1,1,15,1,2,SAMPDORIA,1990-91
