Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Occasioni da gol,Occasioni da gol avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Possesso palla,Possesso palla avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri fuori da punizione,Tiri fuori da punizione avversario,Tiri fuori su azione da palla inattiva,Tiri fuori su azione da palla inattiva avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario,Tiri in porta da punizione,Tiri in porta da punizione avversario,Tiri in porta su azione da palla inattiva,Tiri in porta su azione da palla inattiva avversario
3,3,0,3,3,6,0,3,4,15,NAPOLI,home,0,0,4,4,2,4,0,0,0,0,14,15,2,4,5,0,0,26,5,5,6,0,0,33,27,30,25,2,1,35%,65%,0,0,CARPI,2015-16,6,13,5,11,1,0,2,1,1,2,0,2,0,0,0,1
3,3,3,0,6,3,3,0,15,4,CARPI,away,0,0,4,4,4,2,0,0,0,0,15,14,4,2,5,0,0,5,26,6,5,0,0,27,33,25,30,1,2,65%,35%,0,0,NAPOLI,2015-16,13,6,11,5,0,1,1,2,2,1,2,0,0,0,1,0
3,3,6,0,1,10,5,5,14,4,TORINO,home,0,1,0,4,7,3,0,0,0,0,12,11,0,3,5,1,0,14,22,7,4,0,0,17,15,10,14,2,5,41%,59%,0,0,CHIEVOVERONA,2015-16,11,5,5,3,0,0,1,0,6,2,4,1,0,0,0,1
3,3,0,6,10,1,5,5,4,14,CHIEVOVERONA,away,1,0,4,0,3,7,0,0,0,0,11,12,3,0,5,0,1,22,14,4,7,0,0,15,17,14,10,5,2,59%,41%,0,0,TORINO,2015-16,5,11,3,5,0,0,0,1,2,6,1,4,0,0,1,0
1,2,2,0,8,1,6,2,13,4,BOLOGNA,home,0,0,6,0,12,1,0,0,0,0,13,13,1,3,5,2,0,4,8,6,3,0,0,10,4,11,7,1,2,64%,36%,0,0,FIORENTINA,2015-16,8,3,4,2,2,0,0,0,4,1,2,1,0,0,0,0
2,1,0,2,1,8,2,6,4,13,FIORENTINA,away,0,0,0,6,1,12,0,0,0,0,13,13,3,1,5,0,2,8,4,3,6,0,0,4,10,7,11,2,1,36%,64%,0,0,BOLOGNA,2015-16,3,8,2,4,0,2,0,0,1,4,1,2,0,0,0,0
4,4,2,1,11,4,10,2,23,18,HELLAS VERONA,home,1,0,11,2,14,3,0,0,0,0,8,12,0,4,5,1,0,12,13,7,7,0,1,35,22,16,12,1,3,59%,41%,0,0,INTER,2015-16,9,6,5,4,0,0,1,0,4,2,3,0,0,0,1,0
4,4,1,2,4,11,2,10,18,23,INTER,away,0,1,2,11,3,14,0,0,0,0,12,8,4,0,5,0,1,13,12,7,7,1,0,22,35,12,16,3,1,41%,59%,0,0,HELLAS VERONA,2015-16,6,9,4,5,0,0,0,1,2,4,0,3,0,0,0,1
2,3,4,0,15,1,15,5,7,3,FROSINONE,home,3,1,10,5,9,0,0,0,0,0,9,15,1,2,5,1,1,5,19,13,2,2,1,23,28,22,17,1,7,66%,34%,0,0,JUVENTUS,2015-16,24,5,14,2,0,1,0,0,10,3,3,2,0,1,0,2
3,2,0,4,1,15,5,15,3,7,JUVENTUS,away,1,3,5,10,0,9,0,0,0,0,15,9,2,1,5,1,1,19,5,2,13,1,2,28,23,17,22,7,1,34%,66%,0,0,FROSINONE,2015-16,5,24,2,14,1,0,0,0,3,10,2,3,1,0,2,0
4,2,3,0,8,3,8,2,11,5,GENOA,home,2,4,10,3,10,2,0,1,0,1,11,17,2,2,5,2,0,20,20,4,4,0,1,22,27,29,23,3,1,60%,40%,0,0,LAZIO,2015-16,7,8,4,4,2,1,1,0,3,4,2,1,1,2,0,0
2,4,0,3,3,8,2,8,5,11,LAZIO,away,4,2,3,10,2,10,1,0,1,0,17,11,2,2,5,0,2,20,20,4,4,1,0,27,22,23,29,1,3,40%,60%,0,0,GENOA,2015-16,8,7,4,4,1,2,0,1,4,3,1,2,2,1,0,0
0,6,1,4,2,3,4,4,10,10,SASSUOLO,home,0,0,2,5,18,7,1,0,0,0,12,17,3,1,5,0,1,12,14,7,4,0,0,21,13,15,30,3,2,48%,52%,0,0,PALERMO,2015-16,8,10,6,6,0,0,0,0,2,4,1,1,1,0,0,0
6,0,4,1,3,2,4,4,10,10,PALERMO,away,0,0,5,2,7,18,0,1,0,0,17,12,1,3,5,1,0,14,12,4,7,0,0,13,21,30,15,2,3,52%,48%,0,0,SASSUOLO,2015-16,10,8,6,6,0,0,0,0,4,2,1,1,0,1,0,0
6,3,0,3,2,6,3,11,4,11,ROMA,home,1,0,4,17,6,19,0,0,0,0,14,13,1,1,5,2,1,7,2,2,8,0,0,5,5,9,6,7,2,37%,63%,0,0,SAMPDORIA,2015-16,5,14,1,6,0,0,0,0,4,8,1,5,0,1,0,0
3,6,3,0,6,2,11,3,11,4,SAMPDORIA,away,0,1,17,4,19,6,0,0,0,0,13,14,1,1,5,1,2,2,7,8,2,0,0,5,5,6,9,2,7,63%,37%,0,0,ROMA,2015-16,14,5,6,1,0,0,0,0,8,4,5,1,1,0,0,0
2,4,0,2,6,4,9,8,6,4,ATALANTA,home,3,1,4,5,6,7,0,0,0,0,16,8,2,3,5,0,1,5,28,2,3,0,0,31,23,21,31,2,1,47%,53%,0,0,EMPOLI,2015-16,7,9,6,6,0,0,0,0,1,3,1,2,0,0,0,0
4,2,2,0,4,6,8,9,4,6,EMPOLI,away,1,3,5,4,7,6,0,0,0,0,8,16,3,2,5,1,0,28,5,3,2,0,0,23,31,31,21,1,2,53%,47%,0,0,ATALANTA,2015-16,9,7,6,6,0,0,0,0,3,1,2,1,0,0,0,0
1,1,4,1,20,8,9,3,16,9,CARPI,home,0,6,6,6,7,6,0,0,0,0,14,13,0,3,6,5,1,6,14,14,6,1,0,17,17,19,19,6,6,68%,32%,0,1,ROMA,2015-16,16,10,4,3,0,1,1,1,12,7,9,6,1,1,0,1
1,1,1,4,8,20,3,9,9,16,ROMA,away,6,0,6,6,6,7,0,0,0,0,13,14,3,0,6,1,5,14,6,6,14,0,1,17,17,19,19,6,6,32%,68%,1,0,CARPI,2015-16,10,16,3,4,1,0,1,1,7,12,6,9,1,1,1,0
2,4,2,3,2,6,13,5,5,5,JUVENTUS,home,1,2,4,4,6,7,0,0,0,0,14,17,0,4,6,2,1,15,16,8,5,0,0,26,34,27,23,2,3,50%,50%,0,0,NAPOLI,2015-16,12,8,7,5,0,0,0,1,5,3,1,2,0,0,0,0
4,2,3,2,6,2,5,13,5,5,NAPOLI,away,2,1,4,4,7,6,0,0,0,0,17,14,4,0,6,1,2,16,15,5,8,0,0,34,26,23,27,3,2,50%,50%,0,0,JUVENTUS,2015-16,8,12,5,7,0,0,1,0,3,5,2,1,0,0,0,0
4,4,1,3,8,5,8,7,5,5,MILAN,home,4,0,7,4,6,7,0,1,0,0,27,24,6,1,6,1,0,14,22,4,6,0,0,24,18,19,25,3,1,60%,40%,0,0,GENOA,2015-16,9,8,7,5,0,1,2,2,2,3,1,2,0,0,0,0
4,4,3,1,5,8,7,8,5,5,GENOA,away,0,4,4,7,7,6,1,0,0,0,24,27,1,6,6,0,1,22,14,6,4,0,0,18,24,25,19,1,3,40%,60%,0,0,MILAN,2015-16,8,9,5,7,1,0,2,2,3,2,2,1,0,0,0,0
4,3,2,3,2,5,3,3,10,7,UDINESE,home,0,0,6,4,4,8,0,0,0,0,10,11,1,3,6,1,2,15,21,4,6,0,0,25,25,23,26,2,2,51%,49%,0,0,BOLOGNA,2015-16,6,7,3,3,0,0,0,0,3,4,2,4,0,0,0,0
3,4,3,2,5,2,3,3,7,10,BOLOGNA,away,0,0,4,6,8,4,0,0,0,0,11,10,3,1,6,2,1,21,15,6,4,0,0,25,25,26,23,2,2,49%,51%,0,0,UDINESE,2015-16,7,6,3,3,0,0,0,0,4,3,4,2,0,0,0,0
2,2,1,3,9,10,4,16,2,7,LAZIO,home,3,1,3,10,5,14,0,1,0,0,14,18,1,5,6,1,2,25,14,2,8,1,0,22,21,18,20,0,0,37%,63%,0,1,HELLAS VERONA,2015-16,4,9,2,7,1,1,0,0,2,2,2,1,0,1,1,1
2,2,3,1,10,9,16,4,7,2,HELLAS VERONA,away,1,3,10,3,14,5,1,0,0,0,18,14,5,1,6,2,1,14,25,8,2,0,1,21,22,20,18,0,0,63%,37%,1,0,LAZIO,2015-16,9,4,7,2,1,1,0,0,2,2,1,2,1,0,1,1
3,1,2,2,5,11,4,5,13,7,CHIEVOVERONA,home,0,0,4,2,5,11,0,0,0,0,23,12,2,3,6,1,1,17,14,3,1,0,0,7,5,10,15,1,7,59%,41%,0,0,SASSUOLO,2015-16,14,9,6,6,1,0,0,0,8,3,5,3,0,0,0,0
1,3,2,2,11,5,5,4,7,13,SASSUOLO,away,0,0,2,4,11,5,0,0,0,0,12,23,3,2,6,1,1,14,17,1,3,0,0,5,7,15,10,7,1,41%,59%,0,0,CHIEVOVERONA,2015-16,9,14,6,6,0,1,0,0,3,8,3,5,0,0,0,0
2,5,3,2,7,8,2,7,9,7,PALERMO,home,0,0,5,1,5,11,1,0,1,0,19,15,3,0,6,2,1,6,7,5,6,0,2,6,3,23,10,3,3,52%,48%,0,0,TORINO,2015-16,9,12,4,6,0,0,1,0,5,6,4,4,0,0,0,0
5,2,2,3,8,7,7,2,7,9,TORINO,away,0,0,1,5,11,5,0,1,0,1,15,19,0,3,6,1,2,7,6,6,5,2,0,3,6,10,23,3,3,48%,52%,0,0,PALERMO,2015-16,12,9,6,4,0,0,0,1,6,5,4,4,0,0,0,0
4,2,0,2,5,5,5,4,3,17,FIORENTINA,home,0,0,2,3,3,3,0,0,1,0,14,10,4,1,6,1,4,18,8,2,7,1,0,22,32,19,8,4,1,32%,68%,0,1,INTER,2015-16,5,9,2,1,1,0,1,0,3,8,3,5,0,1,2,0
2,4,2,0,5,5,4,5,17,3,INTER,away,0,0,3,2,3,3,0,0,0,1,10,14,1,4,6,4,1,8,18,7,2,0,1,32,22,8,19,1,4,68%,32%,1,0,FIORENTINA,2015-16,9,5,1,2,0,1,0,1,8,3,5,3,1,0,0,2
3,4,0,0,6,4,5,4,4,5,EMPOLI,home,1,1,4,5,10,3,0,0,0,1,18,27,7,1,6,2,0,22,12,6,2,0,0,22,30,21,17,4,2,44%,56%,0,0,FROSINONE,2015-16,6,8,2,4,0,1,0,0,4,4,4,1,0,3,0,0
4,3,0,0,4,6,4,5,5,4,FROSINONE,away,1,1,5,4,3,10,0,0,1,0,27,18,1,7,6,0,2,12,22,2,6,0,0,30,22,17,21,2,4,56%,44%,0,0,EMPOLI,2015-16,8,6,4,2,1,0,0,0,4,4,1,4,3,0,0,0
3,3,2,2,7,10,21,5,14,14,SAMPDORIA,home,0,0,5,4,17,5,0,0,0,0,15,19,1,2,6,2,1,25,15,15,5,0,0,27,38,16,12,3,5,48%,52%,0,0,ATALANTA,2015-16,15,7,9,3,0,0,0,0,6,4,4,3,0,0,0,0
3,3,2,2,10,7,5,21,14,14,ATALANTA,away,0,0,4,5,5,17,0,0,0,0,19,15,2,1,6,1,2,15,25,5,15,0,0,38,27,12,16,5,3,52%,48%,0,0,SAMPDORIA,2015-16,7,15,3,9,0,0,0,0,4,6,3,4,0,0,0,0
2,1,1,0,8,11,5,7,12,22,TORINO,home,1,0,2,5,4,8,0,0,0,0,16,9,1,1,7,2,1,15,14,6,9,1,0,22,24,9,13,2,2,41%,59%,0,1,CARPI,2015-16,5,11,1,8,0,1,0,0,4,3,3,3,0,1,1,0
1,2,0,1,11,8,7,5,22,12,CARPI,away,0,1,5,2,8,4,0,0,0,0,9,16,1,1,7,1,2,14,15,9,6,0,1,24,22,13,9,2,2,59%,41%,1,0,TORINO,2015-16,11,5,8,1,1,0,0,0,3,4,3,3,1,0,0,1
3,0,4,3,8,5,11,6,10,8,HELLAS VERONA,home,1,2,5,5,6,6,0,0,0,0,13,19,1,3,7,1,1,15,21,13,9,1,0,21,20,21,19,3,6,45%,55%,0,0,CHIEVOVERONA,2015-16,16,8,8,4,0,0,1,1,8,4,3,2,0,0,0,0
0,3,3,4,5,8,6,11,8,10,CHIEVOVERONA,away,2,1,5,5,6,6,0,0,0,0,19,13,3,1,7,1,1,21,15,9,13,0,1,20,21,19,21,6,3,55%,45%,0,0,HELLAS VERONA,2015-16,8,16,4,8,0,0,1,1,4,8,2,3,0,0,0,0
2,3,1,0,4,5,2,5,10,4,SASSUOLO,home,0,0,5,2,4,7,1,0,0,0,22,14,4,0,7,1,0,9,22,4,1,0,0,23,24,24,21,1,3,61%,39%,0,0,EMPOLI,2015-16,10,4,6,3,0,0,1,0,4,1,2,1,0,0,1,0
3,2,0,1,5,4,5,2,4,10,EMPOLI,away,0,0,2,5,7,4,0,1,0,0,14,22,0,4,7,0,1,22,9,1,4,0,0,24,23,21,24,3,1,39%,61%,0,0,SASSUOLO,2015-16,4,10,3,6,0,0,0,1,1,4,1,2,0,0,0,1
4,3,1,6,1,1,8,6,13,10,ROMA,home,0,0,6,3,8,4,0,0,0,0,14,11,6,3,7,2,4,17,14,9,9,1,0,27,32,34,27,6,4,39%,61%,0,0,PALERMO,2015-16,16,11,9,1,1,0,0,0,7,10,5,8,1,0,1,1
3,4,6,1,1,1,6,8,10,13,PALERMO,away,0,0,3,6,4,8,0,0,0,0,11,14,3,6,7,4,2,14,17,9,9,0,1,32,27,27,34,4,6,61%,39%,0,0,ROMA,2015-16,11,16,1,9,0,1,0,0,10,7,8,5,0,1,1,1
2,4,2,2,10,11,4,12,8,24,INTER,home,1,0,9,8,4,20,0,0,0,0,13,13,1,1,7,1,1,18,3,9,12,0,0,23,26,9,11,6,4,35%,65%,0,0,SAMPDORIA,2015-16,13,13,8,6,0,0,2,1,5,7,3,5,0,0,0,0
4,2,2,2,11,10,12,4,24,8,SAMPDORIA,away,0,1,8,9,20,4,0,0,0,0,13,13,1,1,7,1,1,3,18,12,9,0,0,26,23,11,9,4,6,65%,35%,0,0,INTER,2015-16,13,13,6,8,0,0,1,2,7,5,5,3,0,0,0,0
2,1,2,2,8,10,7,16,4,7,GENOA,home,1,1,2,10,4,5,0,0,0,0,12,11,1,1,7,1,1,27,6,5,4,1,0,15,22,21,14,7,3,35%,65%,0,1,UDINESE,2015-16,8,10,3,2,0,0,0,0,5,8,4,5,0,2,2,1
1,2,2,2,10,8,16,7,7,4,UDINESE,away,1,1,10,2,5,4,0,0,0,0,11,12,1,1,7,1,1,6,27,4,5,0,1,22,15,14,21,3,7,65%,35%,1,0,GENOA,2015-16,10,8,2,3,0,0,0,0,8,5,5,4,2,0,1,2
1,5,3,1,12,4,10,4,9,1,BOLOGNA,home,2,0,4,2,11,4,0,0,0,0,8,8,4,2,7,3,1,7,24,9,2,0,0,28,22,21,28,0,5,65%,35%,1,0,JUVENTUS,2015-16,14,2,6,1,1,1,1,0,8,1,7,1,1,0,0,0
5,1,1,3,4,12,4,10,1,9,JUVENTUS,away,0,2,2,4,4,11,0,0,0,0,8,8,2,4,7,1,3,24,7,2,9,0,0,22,28,28,21,5,0,35%,65%,0,1,BOLOGNA,2015-16,2,14,1,6,1,1,0,1,1,8,1,7,0,1,0,0
4,1,2,2,3,2,4,1,15,6,FROSINONE,home,0,1,9,6,5,0,0,0,0,0,13,14,1,2,7,2,0,5,9,11,5,0,1,7,5,7,18,3,7,64%,36%,0,0,LAZIO,2015-16,18,8,9,4,0,0,1,0,9,4,7,1,0,0,1,1
1,4,2,2,2,3,1,4,6,15,LAZIO,away,1,0,6,9,0,5,0,0,0,0,14,13,2,1,7,0,2,9,5,5,11,1,0,5,7,18,7,7,3,36%,64%,0,0,FROSINONE,2015-16,8,18,4,9,0,0,0,1,4,9,1,7,0,0,1,1
0,2,3,1,11,5,11,7,13,1,ATALANTA,home,0,1,8,4,7,7,0,0,0,1,10,9,2,1,7,3,0,6,26,11,1,1,0,19,23,18,19,1,5,59%,41%,1,0,FIORENTINA,2015-16,25,2,16,1,2,0,1,0,9,1,4,1,1,0,0,0
2,0,1,3,5,11,7,11,1,13,FIORENTINA,away,1,0,4,8,7,7,0,0,1,0,9,10,1,2,7,0,3,26,6,1,11,0,1,23,19,19,18,5,1,41%,59%,0,1,ATALANTA,2015-16,2,25,1,16,0,2,0,1,1,9,1,4,0,1,0,0
3,3,0,4,13,5,8,11,13,10,NAPOLI,home,2,3,5,1,5,2,0,0,0,0,11,11,2,5,7,0,4,15,14,4,7,0,0,22,26,25,18,3,2,42%,58%,0,0,MILAN,2015-16,7,10,5,4,0,0,1,1,2,6,1,4,2,1,0,0
3,3,4,0,5,13,11,8,10,13,MILAN,away,3,2,1,5,2,5,0,0,0,0,11,11,5,2,7,4,0,14,15,7,4,0,0,26,22,18,25,2,3,58%,42%,0,0,NAPOLI,2015-16,10,7,4,5,0,0,1,1,6,2,4,1,1,2,0,0
1,1,4,3,11,6,10,6,11,14,EMPOLI,home,3,1,6,4,5,2,0,0,0,0,8,14,4,4,8,3,1,25,32,7,6,0,0,34,32,22,23,5,3,59%,41%,0,0,ROMA,2015-16,8,11,2,5,0,0,0,1,6,6,4,3,1,0,1,0
1,1,3,4,6,11,6,10,14,11,ROMA,away,1,3,4,6,2,5,0,0,0,0,14,8,4,4,8,1,3,32,25,6,7,0,0,32,34,23,22,3,5,41%,59%,0,0,EMPOLI,2015-16,11,8,5,2,0,0,1,0,6,6,3,4,0,1,0,1
3,4,2,1,4,3,8,6,3,6,MILAN,home,2,2,7,1,8,2,0,0,0,0,9,23,2,2,8,1,1,20,7,2,3,0,0,28,27,21,20,1,2,52%,48%,0,0,TORINO,2015-16,5,6,2,4,0,2,0,0,3,2,2,1,0,0,0,0
4,3,1,2,3,4,6,8,6,3,TORINO,away,2,2,1,7,2,8,0,0,0,0,23,9,2,2,8,1,1,7,20,3,2,0,0,27,28,20,21,2,1,48%,52%,0,0,MILAN,2015-16,6,5,4,2,2,0,0,0,2,3,1,2,0,0,0,0
1,4,2,3,10,6,11,6,15,8,PALERMO,home,0,1,6,6,4,6,0,0,0,0,15,8,2,2,8,0,1,10,20,7,5,0,0,24,29,20,19,2,4,55%,45%,0,0,BOLOGNA,2015-16,12,4,8,1,0,0,0,0,4,3,3,2,0,0,0,0
4,1,3,2,6,10,6,11,8,15,BOLOGNA,away,1,0,6,6,6,4,0,0,0,0,8,15,2,2,8,1,0,20,10,5,7,0,0,29,24,19,20,4,2,45%,55%,0,0,PALERMO,2015-16,4,12,1,8,0,0,0,0,3,4,2,3,0,0,0,0
1,3,1,1,4,0,3,0,11,9,CARPI,home,0,0,8,7,8,4,0,0,0,0,13,17,4,0,8,3,0,25,13,5,4,0,0,25,46,36,22,5,6,61%,39%,1,0,ATALANTA,2015-16,13,9,4,4,0,0,0,0,9,5,4,3,1,0,1,1
3,1,1,1,0,4,0,3,9,11,ATALANTA,away,0,0,7,8,4,8,0,0,0,0,17,13,0,4,8,0,3,13,25,4,5,0,0,46,25,22,36,6,5,39%,61%,0,1,CARPI,2015-16,9,13,4,4,0,0,0,0,5,9,3,4,0,1,1,1
2,4,3,5,1,2,4,4,7,7,SAMPDORIA,home,1,1,8,12,4,5,0,0,0,0,16,11,0,1,8,2,0,7,4,5,3,0,1,10,21,10,13,3,3,37%,63%,0,0,FROSINONE,2015-16,8,15,3,11,0,0,0,0,5,4,2,2,1,0,1,0
4,2,5,3,2,1,4,4,7,7,FROSINONE,away,1,1,12,8,5,4,0,0,0,0,11,16,1,0,8,0,2,4,7,3,5,1,0,21,10,13,10,3,3,63%,37%,0,0,SAMPDORIA,2015-16,15,8,11,3,0,0,0,0,4,5,2,2,0,1,0,1
2,2,2,2,5,5,10,4,7,11,CHIEVOVERONA,home,1,0,7,7,5,11,1,0,0,0,15,14,0,2,8,3,2,21,18,7,6,0,0,30,22,22,22,2,4,49%,51%,0,0,GENOA,2015-16,10,8,3,4,0,0,1,1,7,4,5,4,1,0,0,0
2,2,2,2,5,5,4,10,11,7,GENOA,away,0,1,7,7,11,5,0,1,0,0,14,15,2,0,8,2,3,18,21,6,7,0,0,22,30,22,22,4,2,51%,49%,0,0,CHIEVOVERONA,2015-16,8,10,4,3,0,0,1,1,4,7,4,5,0,1,0,0
2,2,0,1,11,6,8,6,8,17,UDINESE,home,0,0,8,8,9,6,0,0,0,0,9,13,1,3,8,1,1,9,15,5,10,0,0,31,32,16,13,4,1,42%,58%,1,0,HELLAS VERONA,2015-16,4,12,2,7,0,0,0,0,2,5,1,2,1,1,0,0
2,2,1,0,6,11,6,8,17,8,HELLAS VERONA,away,0,0,8,8,6,9,0,0,0,0,13,9,3,1,8,1,1,15,9,10,5,0,0,32,31,13,16,1,4,58%,42%,0,1,UDINESE,2015-16,12,4,7,2,0,0,0,0,5,2,2,1,1,1,0,0
3,4,4,2,10,5,5,4,6,4,FIORENTINA,home,3,1,4,5,4,4,0,0,0,0,19,11,4,3,8,2,1,9,14,6,3,0,0,32,33,28,27,2,3,48%,52%,0,0,NAPOLI,2015-16,9,6,4,3,0,0,0,1,5,3,2,2,1,0,0,0
4,3,2,4,5,10,4,5,4,6,NAPOLI,away,1,3,5,4,4,4,0,0,0,0,11,19,3,4,8,1,2,14,9,3,6,0,0,33,32,27,28,3,2,52%,48%,0,0,FIORENTINA,2015-16,6,9,3,4,0,0,1,0,3,5,2,2,0,1,0,0
1,3,2,1,1,5,2,1,10,12,LAZIO,home,5,0,3,9,7,17,0,1,0,0,20,6,1,2,8,2,1,13,11,4,5,1,1,19,26,8,18,5,2,46%,54%,1,0,SASSUOLO,2015-16,9,13,4,6,0,0,0,0,5,7,5,7,1,0,0,0
3,1,1,2,5,1,1,2,12,10,SASSUOLO,away,0,5,9,3,17,7,1,0,0,0,6,20,2,1,8,1,2,11,13,5,4,1,1,26,19,18,8,2,5,54%,46%,0,1,LAZIO,2015-16,13,9,6,4,0,0,0,0,7,5,7,5,0,1,0,0
3,5,1,1,2,3,5,3,10,14,JUVENTUS,home,0,0,4,9,4,3,0,0,0,0,14,14,0,1,8,0,0,20,9,4,7,0,1,26,33,17,17,4,2,50%,50%,0,0,INTER,2015-16,5,10,3,5,3,0,0,0,2,5,0,4,0,0,0,1
5,3,1,1,3,2,3,5,14,10,INTER,away,0,0,9,4,3,4,0,0,0,0,14,14,1,0,8,0,0,9,20,7,4,1,0,33,26,17,17,2,4,50%,50%,0,0,JUVENTUS,2015-16,10,5,5,3,0,3,0,0,5,2,4,0,0,0,1,0
3,3,2,0,5,10,3,4,5,4,GENOA,home,1,0,3,8,5,7,0,0,0,0,21,11,0,5,9,2,0,14,21,7,4,1,0,28,24,20,19,3,3,41%,59%,0,0,EMPOLI,2015-16,12,9,6,6,1,0,0,0,6,3,4,1,1,0,0,0
3,3,0,2,10,5,4,3,4,5,EMPOLI,away,0,1,8,3,7,5,0,0,0,0,11,21,5,0,9,0,2,21,14,4,7,0,1,24,28,19,20,3,3,59%,41%,0,0,GENOA,2015-16,9,12,6,6,0,1,0,0,3,6,1,4,0,1,0,0
2,2,1,2,5,11,11,13,4,8,BOLOGNA,home,3,1,3,8,9,7,1,0,0,0,7,14,1,3,9,1,2,30,12,4,6,0,1,27,29,25,17,2,1,44%,56%,0,0,CARPI,2015-16,5,11,3,6,0,3,0,0,2,5,2,3,0,1,0,0
2,2,2,1,11,5,13,11,8,4,CARPI,away,1,3,8,3,7,9,0,1,0,0,14,7,3,1,9,2,1,12,30,6,4,1,0,29,27,17,25,1,2,56%,44%,0,0,BOLOGNA,2015-16,11,5,6,3,3,0,0,0,5,2,3,2,1,0,0,0
3,1,0,2,2,8,3,6,12,20,INTER,home,0,0,3,10,6,10,0,1,0,0,11,8,3,3,9,1,1,15,8,7,11,0,0,25,39,14,21,6,2,46%,54%,0,0,PALERMO,2015-16,10,13,7,6,0,0,0,0,3,7,3,3,0,0,0,1
1,3,2,0,8,2,6,3,20,12,PALERMO,away,0,0,10,3,10,6,1,0,0,0,8,11,3,3,9,1,1,8,15,11,7,0,0,39,25,21,14,2,6,54%,46%,0,0,INTER,2015-16,13,10,6,7,0,0,0,0,7,3,3,3,0,0,1,0
2,2,3,1,5,7,2,2,5,3,HELLAS VERONA,home,4,1,2,8,7,15,0,0,0,0,11,16,3,2,9,4,1,22,10,6,3,0,0,21,25,20,20,1,2,49%,51%,0,0,SAMPDORIA,2015-16,9,9,3,7,0,0,0,2,6,2,5,1,0,0,0,1
2,2,1,3,7,5,2,2,3,5,SAMPDORIA,away,1,4,8,2,15,7,0,0,0,0,16,11,2,3,9,1,4,10,22,3,6,0,0,25,21,20,20,2,1,51%,49%,0,0,HELLAS VERONA,2015-16,9,9,7,3,0,0,2,0,2,6,1,5,0,0,1,0
2,2,6,0,2,0,3,2,20,4,ATALANTA,home,0,0,4,3,5,5,0,1,0,0,16,9,2,1,9,2,0,6,14,9,0,0,0,32,31,38,29,0,8,63%,37%,1,0,JUVENTUS,2015-16,16,5,6,5,0,0,0,1,10,0,7,0,2,0,2,0
2,2,0,6,0,2,2,3,4,20,JUVENTUS,away,0,0,3,4,5,5,1,0,0,0,9,16,1,2,9,0,2,14,6,0,9,0,0,31,32,29,38,8,0,37%,63%,0,1,ATALANTA,2015-16,5,16,5,6,0,0,1,0,0,10,0,7,0,2,0,2
1,3,2,0,11,4,6,1,7,2,SASSUOLO,home,0,1,7,2,5,6,0,0,0,1,13,20,6,0,9,2,1,12,29,6,1,0,0,38,33,32,21,1,3,57%,43%,1,0,MILAN,2015-16,15,3,10,1,0,0,0,0,5,2,4,0,1,1,1,0
3,1,0,2,4,11,1,6,2,7,MILAN,away,1,0,2,7,6,5,0,0,1,0,20,13,0,6,9,1,2,29,12,1,6,0,0,33,38,21,32,3,1,43%,57%,0,1,SASSUOLO,2015-16,3,15,1,10,0,0,0,0,2,5,0,4,1,1,0,1
4,2,3,1,2,1,4,3,7,4,FROSINONE,home,1,0,6,3,3,2,0,0,0,0,19,10,4,1,9,1,0,5,6,7,2,0,0,17,18,11,14,2,9,52%,48%,0,0,UDINESE,2015-16,18,9,8,7,1,1,1,0,10,2,5,1,1,0,0,0
2,4,1,3,1,2,3,4,4,7,UDINESE,away,0,1,3,6,2,3,0,0,0,0,10,19,1,4,9,0,1,6,5,2,7,0,0,18,17,14,11,9,2,48%,52%,0,0,FROSINONE,2015-16,9,18,7,8,1,1,0,1,2,10,1,5,0,1,0,0
2,4,4,2,5,3,4,2,14,7,ROMA,home,0,1,8,1,3,3,0,1,0,0,13,8,4,0,9,1,2,11,29,12,4,0,0,26,25,10,14,1,3,72%,28%,0,0,FIORENTINA,2015-16,17,5,13,2,0,1,0,0,4,3,3,1,0,0,1,0
4,2,2,4,3,5,2,4,7,14,FIORENTINA,away,1,0,1,8,3,3,1,0,0,0,8,13,0,4,9,2,1,29,11,4,12,0,0,25,26,14,10,3,1,28%,72%,0,0,ROMA,2015-16,5,17,2,13,1,0,0,0,3,4,1,3,0,0,0,1
2,3,3,1,5,7,7,6,7,9,TORINO,home,0,1,0,7,8,9,0,0,0,0,22,10,2,1,9,3,0,11,13,7,4,0,0,25,28,13,13,3,0,55%,45%,0,0,LAZIO,2015-16,8,6,5,3,0,0,0,0,3,3,2,2,0,0,0,0
