Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Occasioni da gol,Occasioni da gol avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri fuori da punizione,Tiri fuori da punizione avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario,Tiri in porta da punizione,Tiri in porta da punizione avversario
2,1,4,1,,,,,,,UDINESE,home,,,10,0,,,,,0,0,12,9,2,1,1,2,1,,,,,1,0,4,4,6,3,1,8,0,0,FIORENTINA,2012-13,18,2,7,0,,,11,2,0,0,,
1,2,1,4,,,,,,,FIORENTINA,away,,,0,10,,,,,0,0,9,12,1,2,1,1,2,,,,,0,1,4,4,3,6,8,1,0,0,UDINESE,2012-13,2,18,0,7,,,2,11,0,0,,
2,6,1,0,,,,,,,PARMA,home,,,5,7,,,,,0,0,14,6,6,1,1,2,0,,,,,0,0,10,10,12,7,7,4,1,0,JUVENTUS,2012-13,14,10,7,3,,,7,7,0,0,,
6,2,0,1,,,,,,,JUVENTUS,away,,,7,5,,,,,0,0,6,14,1,6,1,0,2,,,,,0,0,10,10,7,12,4,7,0,1,PARMA,2012-13,10,14,3,7,,,7,7,0,0,,
2,5,0,0,,,,,,,SAMPDORIA,home,,,7,2,,,,,0,0,11,13,2,0,1,0,1,,,,,2,0,20,16,15,11,2,5,0,0,MILAN,2012-13,16,7,9,4,,,7,3,0,0,,
5,2,0,0,,,,,,,MILAN,away,,,2,7,,,,,0,0,13,11,0,2,1,1,0,,,,,0,2,16,20,11,15,5,2,0,0,SAMPDORIA,2012-13,7,16,4,9,,,3,7,0,0,,
1,4,0,1,,,,,,,LAZIO,home,,,8,5,,,,,0,0,14,13,3,1,1,0,1,,,,,1,0,7,5,8,8,3,3,0,0,ATALANTA,2012-13,5,8,1,4,,,4,4,0,0,,
4,1,1,0,,,,,,,ATALANTA,away,,,5,8,,,,,0,0,13,14,1,3,1,1,0,,,,,0,1,5,7,8,8,3,3,0,0,LAZIO,2012-13,8,5,4,1,,,4,4,0,0,,
3,3,1,0,,,,,,,BOLOGNA,home,,,1,1,,,,,0,1,19,15,1,0,1,2,0,,,,,0,0,8,7,6,3,1,1,0,0,CHIEVOVERONA,2012-13,6,2,3,1,,,3,1,0,0,,
3,3,0,1,,,,,,,CHIEVOVERONA,away,,,1,1,,,,,1,0,15,19,0,1,1,0,2,,,,,0,0,7,8,3,6,1,1,0,0,BOLOGNA,2012-13,2,6,1,3,,,1,3,0,0,,
0,3,1,1,,,,,,,CAGLIARI,home,,,3,6,,,,,0,0,12,14,2,2,1,2,0,,,,,0,0,5,2,7,2,5,1,1,0,GENOA,2012-13,9,13,6,8,,,3,5,0,0,,
3,0,1,1,,,,,,,GENOA,away,,,6,3,,,,,0,0,14,12,2,2,1,0,2,,,,,0,0,2,5,2,7,1,5,0,1,CAGLIARI,2012-13,13,9,8,6,,,5,3,0,0,,
3,3,0,1,,,,,,,NAPOLI,home,,,6,5,,,,,0,0,10,7,3,2,1,0,3,,,,,0,1,24,16,18,11,1,7,0,0,PALERMO,2012-13,13,8,6,3,,,7,5,0,0,,
3,3,1,0,,,,,,,PALERMO,away,,,5,6,,,,,0,0,7,10,2,3,1,3,0,,,,,1,0,16,24,11,18,7,1,0,0,NAPOLI,2012-13,8,13,3,6,,,5,7,0,0,,
3,1,0,4,,,,,,,INTER,home,,,10,2,,,,,0,0,12,5,1,1,1,0,3,,,,,0,0,25,32,24,18,3,7,0,0,PESCARA,2012-13,12,12,5,6,,,7,6,0,0,,
1,3,4,0,,,,,,,PESCARA,away,,,2,10,,,,,0,0,5,12,1,1,1,3,0,,,,,0,0,32,25,18,24,7,3,0,0,INTER,2012-13,12,12,6,5,,,6,7,0,0,,
0,1,2,1,,,,,,,TORINO,home,,,4,5,,,,,0,0,12,10,3,2,1,0,0,,,,,1,0,3,3,6,2,1,1,0,0,SIENA,2012-13,6,7,5,6,,,1,1,0,0,,
1,0,1,2,,,,,,,SIENA,away,,,5,4,,,,,0,0,10,12,2,3,1,0,0,,,,,0,1,3,3,2,6,1,1,0,0,TORINO,2012-13,7,6,6,5,,,1,1,0,0,,
3,2,2,2,,,,,,,CATANIA,home,,,10,2,,,,,0,0,13,14,3,3,1,2,2,,,,,1,1,15,11,16,9,2,3,0,0,ROMA,2012-13,8,7,2,2,,,6,5,0,0,,
2,3,2,2,,,,,,,ROMA,away,,,2,10,,,,,0,0,14,13,3,3,1,2,2,,,,,1,1,11,15,9,16,3,2,0,0,CATANIA,2012-13,7,8,2,2,,,5,6,0,0,,
1,2,6,0,,,,,,,PESCARA,home,,,5,0,,,0,0,0,1,19,12,3,0,2,3,0,,,,,0,0,11,16,15,8,0,7,1,0,TORINO,2012-13,15,0,5,0,,,10,0,0,0,,
2,1,0,6,,,,,,,TORINO,away,,,0,5,,,0,0,1,0,12,19,0,3,2,0,3,,,,,0,0,16,11,8,15,7,0,0,1,PESCARA,2012-13,0,15,0,5,,,0,10,0,0,,
2,5,1,0,,,,,,,MILAN,home,,,1,7,,,0,0,0,0,18,15,0,0,2,1,3,,,,,0,0,9,11,6,8,2,1,1,1,BOLOGNA,2012-13,13,13,11,8,,,2,5,0,0,,
5,2,0,1,,,,,,,BOLOGNA,away,,,7,1,,,0,0,0,0,15,18,0,0,2,3,1,,,,,0,0,11,9,8,6,1,2,1,1,MILAN,2012-13,13,13,8,11,,,5,2,0,0,,
3,3,0,0,,,,,,,JUVENTUS,home,,,3,5,,,0,0,1,0,18,11,4,2,2,1,4,,,,,0,0,13,9,7,10,8,1,0,1,UDINESE,2012-13,8,18,6,6,,,2,12,0,0,,
3,3,0,0,,,,,,,UDINESE,away,,,5,3,,,0,0,0,1,11,18,2,4,2,4,1,,,,,0,0,9,13,10,7,1,8,1,0,JUVENTUS,2012-13,18,8,6,6,,,12,2,0,0,,
3,2,1,0,,,,,,,ATALANTA,home,,,12,2,,,0,1,0,0,15,21,1,1,2,1,1,,,,,0,0,14,11,10,11,5,5,2,0,CAGLIARI,2012-13,17,9,10,3,,,7,6,0,0,,
2,3,0,1,,,,,,,CAGLIARI,away,,,2,12,,,1,0,0,0,21,15,1,1,2,1,1,,,,,0,0,11,14,11,10,5,5,0,2,ATALANTA,2012-13,9,17,3,10,,,6,7,0,0,,
3,2,3,1,,,,,,,GENOA,home,,,9,5,,,0,0,0,0,20,21,3,2,2,3,2,,,,,0,1,21,28,19,13,3,4,0,0,CATANIA,2012-13,16,15,10,9,,,6,6,0,0,,
2,3,1,3,,,,,,,CATANIA,away,,,5,9,,,0,0,0,0,21,20,2,3,2,2,3,,,,,1,0,28,21,13,19,4,3,0,0,GENOA,2012-13,15,16,9,10,,,6,6,0,0,,
2,2,0,4,,,,,,,ROMA,home,,,10,2,,,0,1,0,0,16,18,5,3,2,1,3,,,,,0,0,12,10,4,5,0,5,0,0,INTER,2012-13,12,10,6,7,,,6,3,0,0,,
2,2,4,0,,,,,,,INTER,away,,,2,10,,,1,0,0,0,18,16,3,5,2,3,1,,,,,0,0,10,12,5,4,5,0,0,0,ROMA,2012-13,10,12,7,6,,,3,6,0,0,,
3,2,2,0,,,,,,,PALERMO,home,,,7,4,,,0,0,0,0,8,12,0,0,2,3,0,,,,,0,0,16,13,16,10,2,4,0,0,LAZIO,2012-13,11,5,4,3,,,7,2,0,0,,
2,3,0,2,,,,,,,LAZIO,away,,,4,7,,,0,0,0,0,12,8,0,0,2,0,3,,,,,0,0,13,16,10,16,4,2,0,0,PALERMO,2012-13,5,11,3,4,,,2,7,0,0,,
2,2,2,0,,,,,,,FIORENTINA,home,,,7,9,,,0,0,0,0,10,16,2,1,2,2,1,,,,,0,0,8,4,7,6,4,0,0,0,NAPOLI,2012-13,4,13,2,8,,,2,5,0,0,,
2,2,0,2,,,,,,,NAPOLI,away,,,9,7,,,0,0,0,0,16,10,1,2,2,1,2,,,,,0,0,4,8,6,7,0,4,0,0,FIORENTINA,2012-13,13,4,8,2,,,5,2,0,0,,
3,3,2,1,,,,,,,CHIEVOVERONA,home,,,3,4,,,0,0,0,0,17,22,1,5,2,2,0,,,,,0,0,10,8,4,4,1,1,0,0,PARMA,2012-13,10,6,7,5,,,3,1,0,0,,
3,3,1,2,,,,,,,PARMA,away,,,4,3,,,0,0,0,0,22,17,5,1,2,0,2,,,,,0,0,8,10,4,4,1,1,0,0,CHIEVOVERONA,2012-13,6,10,5,7,,,1,3,0,0,,
3,3,1,1,,,,,,,SIENA,home,,,11,1,,,0,1,0,0,18,13,1,7,2,2,1,,,,,2,1,3,4,8,1,3,3,0,1,SAMPDORIA,2012-13,9,7,2,2,,,7,5,0,0,,
3,3,1,1,,,,,,,SAMPDORIA,away,,,1,11,,,1,0,0,0,13,18,7,1,2,1,2,,,,,1,2,4,3,1,8,3,3,1,0,SIENA,2012-13,7,9,2,2,,,5,7,0,0,,
3,2,0,1,0,2,1,0,1,0,CAGLIARI,home,0,0,0,1,1,1,0,0,0,0,25,15,6,3,3,1,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,PALERMO,2012-13,3,0,2,0,0,0,1,0,0,0,1,0
2,3,1,0,2,0,0,1,0,1,PALERMO,away,0,0,1,0,1,1,0,0,0,0,15,25,3,6,3,1,1,0,0,0,0,0,1,1,2,0,1,0,0,0,0,CAGLIARI,2012-13,0,3,0,2,0,0,0,1,0,0,0,1
2,4,0,3,2,2,7,4,7,3,ATALANTA,home,1,2,8,4,20,6,0,0,0,0,18,8,0,1,3,0,1,8,20,2,3,0,1,18,13,14,9,4,7,0,0,MILAN,2012-13,13,9,6,3,0,0,7,6,0,0,0,0
4,2,3,0,2,2,4,7,3,7,MILAN,away,2,1,4,8,6,20,0,0,0,0,8,18,1,0,3,1,0,20,8,3,2,1,0,13,18,9,14,7,4,0,0,ATALANTA,2012-13,9,13,3,6,0,0,6,7,0,0,0,0
3,2,0,0,3,3,3,3,2,3,LAZIO,home,1,1,13,1,7,4,0,0,0,0,17,11,2,1,3,1,3,7,6,1,1,0,0,10,10,3,9,5,1,1,0,CHIEVOVERONA,2012-13,9,12,7,4,0,1,2,8,0,0,1,0
2,3,0,0,3,3,3,3,3,2,CHIEVOVERONA,away,1,1,1,13,4,7,0,0,0,0,11,17,1,2,3,3,1,6,7,1,1,0,0,10,10,9,3,1,5,0,1,LAZIO,2012-13,12,9,4,7,1,0,8,2,0,0,0,1
3,2,5,2,15,11,18,9,13,9,CATANIA,home,2,3,5,3,8,1,0,0,0,0,14,14,5,1,3,2,0,12,7,2,0,0,0,12,23,24,14,5,5,0,0,FIORENTINA,2012-13,14,7,7,2,0,0,7,5,0,0,0,0
2,3,2,5,11,15,9,18,9,13,FIORENTINA,away,3,2,3,5,1,8,0,0,0,0,14,14,1,5,3,0,2,7,12,0,2,0,0,23,12,14,24,5,5,0,0,CATANIA,2012-13,7,14,2,7,0,0,5,7,0,0,0,0
2,3,0,5,2,4,2,11,5,4,JUVENTUS,home,2,2,1,9,14,34,0,0,0,0,15,14,0,2,3,1,3,28,8,7,5,1,1,13,12,11,14,2,4,0,1,GENOA,2012-13,12,15,6,9,0,1,6,6,0,0,2,1
3,2,5,0,4,2,11,2,4,5,GENOA,away,2,2,9,1,34,14,0,0,0,0,14,15,2,0,3,3,1,8,28,5,7,1,1,12,13,14,11,4,2,1,0,JUVENTUS,2012-13,15,12,9,6,1,0,6,6,0,0,1,2
1,4,8,1,4,6,4,7,7,4,PARMA,home,6,2,1,5,8,12,0,0,0,0,16,16,3,4,3,3,1,9,11,5,2,1,0,24,11,9,17,4,3,1,0,NAPOLI,2012-13,13,23,6,18,0,1,7,5,0,0,3,1
4,1,1,8,6,4,7,4,4,7,NAPOLI,away,2,6,5,1,12,8,0,0,0,0,16,16,4,3,3,1,3,11,9,2,5,0,1,11,24,17,9,3,4,0,1,PARMA,2012-13,23,13,18,6,1,0,5,7,0,0,1,3
4,2,4,4,25,10,13,8,10,2,SAMPDORIA,home,2,5,6,2,19,6,0,0,0,0,10,17,2,5,3,2,3,27,14,0,0,2,0,18,8,13,21,3,4,0,0,PESCARA,2012-13,13,9,5,3,0,0,8,6,0,0,0,1
2,4,4,4,10,25,8,13,2,10,PESCARA,away,5,2,2,6,6,19,0,0,0,0,17,10,5,2,3,3,2,14,27,0,0,0,2,8,18,21,13,4,3,0,0,SAMPDORIA,2012-13,9,13,3,5,0,0,6,8,0,0,1,0
2,2,2,5,0,5,0,0,2,1,UDINESE,home,0,0,3,1,6,3,0,1,0,0,13,16,1,4,3,2,2,5,5,0,0,1,0,15,12,5,4,5,5,1,0,SIENA,2012-13,14,10,6,3,1,1,8,7,0,0,3,0
2,2,5,2,5,0,0,0,1,2,SIENA,away,0,0,1,3,3,6,1,0,0,0,16,13,4,1,3,2,2,5,5,0,0,0,1,12,15,4,5,5,5,0,1,UDINESE,2012-13,10,14,3,6,1,1,7,8,0,0,0,3
5,3,2,1,4,6,9,3,10,8,BOLOGNA,home,2,5,3,8,2,2,0,0,0,0,20,15,4,7,3,2,3,7,9,6,1,1,0,13,7,7,11,3,5,0,0,ROMA,2012-13,11,12,3,6,0,0,8,6,0,0,0,0
3,5,1,2,6,4,3,9,8,10,ROMA,away,5,2,8,3,2,2,0,0,0,0,15,20,7,4,3,3,2,9,7,1,6,0,1,7,13,11,7,5,3,0,0,BOLOGNA,2012-13,12,11,6,3,0,0,6,8,0,0,0,0
4,4,0,1,6,4,3,3,6,9,INTER,home,5,2,6,1,12,8,0,0,0,0,8,14,6,4,3,0,2,13,14,1,0,0,0,24,21,10,12,2,5,0,0,TORINO,2012-13,13,7,8,3,0,0,5,4,0,0,0,1
4,4,1,0,4,6,3,3,9,6,TORINO,away,2,5,1,6,8,12,0,0,0,0,14,8,4,6,3,2,0,14,13,0,1,0,0,21,24,12,10,5,2,0,0,INTER,2012-13,7,13,3,8,0,0,4,5,0,0,1,0
3,3,1,2,2,3,4,2,5,7,FIORENTINA,home,1,0,2,4,10,5,1,0,0,0,9,24,0,1,4,1,1,4,2,1,2,1,1,25,16,23,20,3,3,2,1,PARMA,2012-13,8,11,4,6,0,1,4,5,0,0,2,1
3,3,2,1,3,2,2,4,7,5,PARMA,away,0,1,4,2,5,10,0,1,0,0,24,9,1,0,4,1,1,2,4,2,1,1,1,16,25,20,23,3,3,1,2,FIORENTINA,2012-13,11,8,6,4,1,0,5,4,0,0,1,2
0,2,3,0,3,2,5,1,12,4,CHIEVOVERONA,home,2,1,6,3,11,3,0,0,0,0,9,13,2,1,4,2,0,6,4,9,2,0,0,23,25,17,16,2,8,0,0,JUVENTUS,2012-13,21,5,11,3,0,0,10,2,0,0,0,0
2,0,0,3,2,3,1,5,4,12,JUVENTUS,away,1,2,3,6,3,11,0,0,0,0,13,9,1,2,4,0,2,4,6,2,9,0,0,25,23,16,17,8,2,0,0,CHIEVOVERONA,2012-13,5,21,3,11,0,0,2,10,0,0,0,0
4,4,0,1,0,4,10,2,1,3,TORINO,home,0,0,6,3,7,3,0,0,0,0,20,17,1,2,4,1,1,15,11,5,1,1,0,14,13,11,12,1,4,1,1,SAMPDORIA,2012-13,7,6,2,5,0,0,5,1,0,0,2,1
4,4,1,0,4,0,2,10,3,1,SAMPDORIA,away,0,0,3,6,3,7,0,0,0,0,17,20,2,1,4,1,1,11,15,1,5,0,1,13,14,12,11,4,1,1,1,TORINO,2012-13,6,7,5,2,0,0,1,5,0,0,1,2
4,3,1,0,2,1,5,2,7,7,PALERMO,home,5,1,7,6,7,9,0,0,0,0,18,13,2,0,4,1,0,12,10,4,0,0,0,17,20,15,16,3,2,0,0,ATALANTA,2012-13,10,7,7,4,0,0,3,3,0,0,0,1
3,4,0,1,1,2,2,5,7,7,ATALANTA,away,1,5,6,7,9,7,0,0,0,0,13,18,0,2,4,0,1,10,12,0,4,0,0,20,17,16,15,2,3,0,0,PALERMO,2012-13,7,10,4,7,0,0,3,3,0,0,1,0
1,3,3,2,16,15,7,12,11,5,PESCARA,home,4,5,14,4,20,11,0,0,0,1,6,21,0,0,4,1,1,16,9,1,3,0,0,9,7,15,11,7,8,1,0,BOLOGNA,2012-13,15,11,6,3,0,0,9,8,0,0,2,2
