Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
FIORENTINA,home,0,1,1,2,1,AVELLINO,1986-87
AVELLINO,away,1,0,1,1,2,FIORENTINA,1986-87
NAPOLI,home,0,0,1,0,1,BRESCIA,1986-87
BRESCIA,away,0,0,1,1,0,NAPOLI,1986-87
INTER,home,0,0,1,1,0,EMPOLI,1986-87
EMPOLI,away,0,0,1,0,1,INTER,1986-87
ASCOLI,home,0,0,1,0,1,MILAN,1986-87
MILAN,away,0,0,1,1,0,ASCOLI,1986-87
COMO,home,0,0,1,0,0,ROMA,1986-87
ROMA,away,0,0,1,0,0,COMO,1986-87
ATALANTA,home,0,0,1,1,0,SAMPDORIA,1986-87
SAMPDORIA,away,0,0,1,0,1,ATALANTA,1986-87
HELLAS VERONA,home,0,0,1,2,1,TORINO,1986-87
TORINO,away,0,0,1,1,2,HELLAS VERONA,1986-87
JUVENTUS,home,0,0,1,0,2,UDINESE,1986-87
UDINESE,away,0,0,1,2,0,JUVENTUS,1986-87
EMPOLI,home,,,2,0,1,ASCOLI,1986-87
ASCOLI,away,,,2,1,0,EMPOLI,1986-87
ROMA,home,,,2,0,1,ATALANTA,1986-87
ATALANTA,away,,,2,1,0,ROMA,1986-87
TORINO,home,,,2,1,1,COMO,1986-87
COMO,away,,,2,1,1,TORINO,1986-87
SAMPDORIA,home,,,2,2,0,FIORENTINA,1986-87
FIORENTINA,away,,,2,0,2,SAMPDORIA,1986-87
MILAN,home,,,2,1,0,HELLAS VERONA,1986-87
HELLAS VERONA,away,,,2,0,1,MILAN,1986-87
BRESCIA,home,,,2,4,0,INTER,1986-87
INTER,away,,,2,0,4,BRESCIA,1986-87
AVELLINO,home,,,2,3,0,JUVENTUS,1986-87
JUVENTUS,away,,,2,0,3,AVELLINO,1986-87
UDINESE,home,,,2,1,1,NAPOLI,1986-87
NAPOLI,away,,,2,1,1,UDINESE,1986-87
NAPOLI,home,0,0,3,0,0,AVELLINO,1986-87
AVELLINO,away,0,0,3,0,0,NAPOLI,1986-87
FIORENTINA,home,0,0,3,0,0,BRESCIA,1986-87
BRESCIA,away,0,0,3,0,0,FIORENTINA,1986-87
JUVENTUS,home,0,0,3,0,1,EMPOLI,1986-87
EMPOLI,away,0,0,3,1,0,JUVENTUS,1986-87
ATALANTA,home,0,0,3,2,1,MILAN,1986-87
MILAN,away,0,0,3,1,2,ATALANTA,1986-87
HELLAS VERONA,home,0,0,3,0,0,ROMA,1986-87
ROMA,away,0,0,3,0,0,HELLAS VERONA,1986-87
COMO,home,0,0,3,0,1,SAMPDORIA,1986-87
SAMPDORIA,away,0,0,3,1,0,COMO,1986-87
ASCOLI,home,0,0,3,0,2,TORINO,1986-87
TORINO,away,0,0,3,2,0,ASCOLI,1986-87
INTER,home,1,1,3,0,0,UDINESE,1986-87
UDINESE,away,1,1,3,0,0,INTER,1986-87
AVELLINO,home,0,0,4,0,1,ASCOLI,1986-87
ASCOLI,away,0,0,4,1,0,AVELLINO,1986-87
EMPOLI,home,0,0,4,1,0,ATALANTA,1986-87
ATALANTA,away,0,0,4,0,1,EMPOLI,1986-87
BRESCIA,home,0,0,4,1,0,COMO,1986-87
COMO,away,0,0,4,0,1,BRESCIA,1986-87
UDINESE,home,0,0,4,0,1,FIORENTINA,1986-87
FIORENTINA,away,0,0,4,1,0,UDINESE,1986-87
SAMPDORIA,home,0,0,4,1,1,HELLAS VERONA,1986-87
HELLAS VERONA,away,0,0,4,1,1,SAMPDORIA,1986-87
ROMA,home,0,1,4,4,1,INTER,1986-87
INTER,away,1,0,4,1,4,ROMA,1986-87
MILAN,home,0,0,4,0,0,JUVENTUS,1986-87
JUVENTUS,away,0,0,4,0,0,MILAN,1986-87
TORINO,home,1,0,4,3,1,NAPOLI,1986-87
NAPOLI,away,0,1,4,1,3,TORINO,1986-87
ASCOLI,home,0,0,5,0,0,ATALANTA,1986-87
ATALANTA,away,0,0,5,0,0,ASCOLI,1986-87
COMO,home,0,0,5,1,1,AVELLINO,1986-87
AVELLINO,away,0,0,5,1,1,COMO,1986-87
JUVENTUS,home,0,0,5,1,1,FIORENTINA,1986-87
FIORENTINA,away,0,0,5,1,1,JUVENTUS,1986-87
INTER,home,0,0,5,0,0,MILAN,1986-87
MILAN,away,0,0,5,0,0,INTER,1986-87
BRESCIA,home,1,0,5,2,1,ROMA,1986-87
ROMA,away,0,1,5,1,2,BRESCIA,1986-87
NAPOLI,home,0,0,5,1,2,SAMPDORIA,1986-87
SAMPDORIA,away,0,0,5,2,1,NAPOLI,1986-87
EMPOLI,home,0,0,5,1,0,TORINO,1986-87
TORINO,away,0,0,5,0,1,EMPOLI,1986-87
HELLAS VERONA,home,0,0,5,2,2,UDINESE,1986-87
UDINESE,away,0,0,5,2,2,HELLAS VERONA,1986-87
