Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
MILAN,home,0,0,1,0,1,ASCOLI,1991-92
ASCOLI,away,0,0,1,1,0,MILAN,1991-92
TORINO,home,0,0,1,1,1,BARI,1991-92
BARI,away,0,0,1,1,1,TORINO,1991-92
SAMPDORIA,home,0,0,1,3,2,CAGLIARI,1991-92
CAGLIARI,away,0,0,1,2,3,SAMPDORIA,1991-92
CREMONESE,home,0,0,1,2,0,GENOA,1991-92
GENOA,away,0,0,1,0,2,CREMONESE,1991-92
ROMA,home,0,0,1,0,1,HELLAS VERONA,1991-92
HELLAS VERONA,away,0,0,1,1,0,ROMA,1991-92
FOGGIA,home,0,0,1,1,1,INTER,1991-92
INTER,away,0,0,1,1,1,FOGGIA,1991-92
FIORENTINA,home,0,1,1,1,0,JUVENTUS,1991-92
JUVENTUS,away,1,0,1,0,1,FIORENTINA,1991-92
PARMA,home,0,0,1,1,1,LAZIO,1991-92
LAZIO,away,0,0,1,1,1,PARMA,1991-92
ATALANTA,home,0,0,1,1,0,NAPOLI,1991-92
NAPOLI,away,0,0,1,0,1,ATALANTA,1991-92
ASCOLI,home,0,0,2,1,1,ATALANTA,1991-92
ATALANTA,away,0,0,2,1,1,ASCOLI,1991-92
NAPOLI,home,0,0,2,0,0,CREMONESE,1991-92
CREMONESE,away,0,0,2,0,0,NAPOLI,1991-92
GENOA,home,0,0,2,3,1,FIORENTINA,1991-92
FIORENTINA,away,0,0,2,1,3,GENOA,1991-92
JUVENTUS,home,0,0,2,0,1,FOGGIA,1991-92
FOGGIA,away,0,0,2,1,0,JUVENTUS,1991-92
CAGLIARI,home,0,0,2,1,0,MILAN,1991-92
MILAN,away,0,0,2,0,1,CAGLIARI,1991-92
BARI,home,0,0,2,1,0,PARMA,1991-92
PARMA,away,0,0,2,0,1,BARI,1991-92
INTER,home,0,0,2,0,1,ROMA,1991-92
ROMA,away,0,0,2,1,0,INTER,1991-92
HELLAS VERONA,home,0,1,2,2,0,SAMPDORIA,1991-92
SAMPDORIA,away,1,0,2,0,2,HELLAS VERONA,1991-92
LAZIO,home,0,0,2,0,1,TORINO,1991-92
TORINO,away,0,0,2,1,0,LAZIO,1991-92
