Ammonizioni,Ammonizioni avversario,Avversaria,Campo,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
1,3,ATALANTA,home,0,0,,,1,1,0,BOLOGNA,2001-02
3,1,BOLOGNA,away,0,0,,,1,0,1,ATALANTA,2001-02
1,1,MILAN,home,0,0,,,1,2,2,BRESCIA,2001-02
1,1,BRESCIA,away,0,0,,,1,2,2,MILAN,2001-02
0,3,CHIEVOVERONA,home,0,0,,,1,0,2,FIORENTINA,2001-02
3,0,FIORENTINA,away,0,0,,,1,2,0,CHIEVOVERONA,2001-02
1,1,ROMA,home,0,0,,,1,1,1,HELLAS VERONA,2001-02
1,1,HELLAS VERONA,away,0,0,,,1,1,1,ROMA,2001-02
2,4,PERUGIA,home,0,1,,,1,4,1,INTER,2001-02
4,2,INTER,away,1,0,,,1,1,4,PERUGIA,2001-02
0,0,UNIONE VENEZIA,home,0,0,,,1,4,0,JUVENTUS,2001-02
0,0,JUVENTUS,away,0,0,,,1,0,4,UNIONE VENEZIA,2001-02
0,1,PIACENZA,home,0,0,,,1,1,1,LAZIO,2001-02
1,0,LAZIO,away,0,0,,,1,1,1,PIACENZA,2001-02
1,4,PARMA,home,0,0,,,1,1,1,LECCE,2001-02
4,1,LECCE,away,0,0,,,1,1,1,PARMA,2001-02
1,3,TORINO,home,0,0,,,1,2,2,UDINESE,2001-02
3,1,UDINESE,away,0,0,,,1,2,2,TORINO,2001-02
1,0,LAZIO,home,,,,,2,0,0,PERUGIA,2001-02
0,1,PERUGIA,away,,,,,2,0,0,LAZIO,2001-02
2,2,UDINESE,home,,,,,2,1,1,ROMA,2001-02
2,2,ROMA,away,,,,,2,1,1,UDINESE,2001-02
2,0,JUVENTUS,home,,,,,2,0,2,ATALANTA,2001-02
0,2,ATALANTA,away,,,,,2,2,0,JUVENTUS,2001-02
4,2,BOLOGNA,home,,,,,2,2,0,CHIEVOVERONA,2001-02
2,4,CHIEVOVERONA,away,,,,,2,0,2,BOLOGNA,2001-02
1,1,FIORENTINA,home,,,,,2,5,2,MILAN,2001-02
1,1,MILAN,away,,,,,2,2,5,FIORENTINA,2001-02
0,1,INTER,home,,,,,2,2,2,PARMA,2001-02
1,0,PARMA,away,,,,,2,2,2,INTER,2001-02
2,1,LECCE,home,,,,,2,1,2,PIACENZA,2001-02
1,2,PIACENZA,away,,,,,2,2,1,LECCE,2001-02
3,2,BRESCIA,home,,,,,2,1,3,TORINO,2001-02
2,3,TORINO,away,,,,,2,3,1,BRESCIA,2001-02
3,4,HELLAS VERONA,home,,,,,2,0,1,UNIONE VENEZIA,2001-02
4,3,UNIONE VENEZIA,away,,,,,2,1,0,HELLAS VERONA,2001-02
