Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Occasioni da gol,Occasioni da gol avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri fuori da punizione,Tiri fuori da punizione avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario,Tiri in porta da punizione,Tiri in porta da punizione avversario
3,3,1,1,0,0,0,0,0,0,REGGINA,away,0,0,3,9,0,0,0,0,0,0,21,19,5,8,2,1,2,0,0,0,0,0,1,7,11,5,10,4,3,1,0,CAGLIARI,2006-07,9,15,5,8,0,0,4,7,0,0,0,0
3,2,2,1,10,2,7,3,10,6,SAMPDORIA,home,2,3,7,3,26,8,0,0,0,0,12,17,3,6,2,1,1,6,9,0,0,0,0,15,18,14,9,0,5,0,1,INTER,2006-07,8,1,3,1,1,0,5,0,0,0,0,0
2,3,1,2,2,10,3,7,6,10,INTER,away,3,2,3,7,8,26,0,0,0,0,17,12,6,3,2,1,1,9,6,0,0,0,0,18,15,9,14,5,0,1,0,SAMPDORIA,2006-07,1,8,1,3,0,1,0,5,0,0,0,0
3,4,1,1,0,0,0,0,0,0,MESSINA,home,0,0,7,2,0,0,0,1,0,0,12,10,0,2,2,1,1,0,0,0,0,0,0,6,6,7,6,3,3,0,0,ASCOLI,2006-07,9,4,5,0,0,0,4,4,0,0,0,0
4,3,1,1,0,0,0,0,0,0,ASCOLI,away,0,0,2,7,0,0,1,0,0,0,10,12,2,0,2,1,1,0,0,0,0,0,0,6,6,6,7,3,3,0,0,MESSINA,2006-07,4,9,0,5,0,0,4,4,0,0,0,0
3,6,2,0,0,0,0,0,0,0,ATALANTA,home,0,0,8,1,0,0,0,0,0,0,24,27,0,2,2,0,0,0,0,0,0,0,0,19,11,8,11,3,4,0,0,CATANIA,2006-07,9,7,5,4,0,0,4,3,0,0,0,0
6,3,0,2,0,0,0,0,0,0,CATANIA,away,0,0,1,8,0,0,0,0,0,0,27,24,2,0,2,0,0,0,0,0,0,0,0,11,19,11,8,4,3,0,0,ATALANTA,2006-07,7,9,4,5,0,0,3,4,0,0,0,0
2,1,14,3,0,0,0,0,0,0,CHIEVOVERONA,home,0,0,5,4,0,0,0,1,0,0,17,13,2,2,2,1,1,0,0,0,0,0,0,7,9,7,8,0,3,0,0,EMPOLI,2006-07,11,3,7,2,0,0,4,1,0,0,0,0
1,2,3,14,0,0,0,0,0,0,EMPOLI,away,0,0,4,5,0,0,1,0,0,0,13,17,2,2,2,1,1,0,0,0,0,0,0,9,7,8,7,3,0,0,0,CHIEVOVERONA,2006-07,3,11,2,7,0,0,1,4,0,0,0,0
4,5,6,3,0,0,0,0,0,0,PALERMO,home,0,0,14,3,0,0,0,0,0,0,30,20,3,2,2,1,2,0,0,0,0,0,1,8,8,8,8,2,11,0,0,LAZIO,2006-07,15,8,3,3,0,0,12,5,0,0,0,0
5,4,3,6,0,0,0,0,0,0,LAZIO,away,0,0,3,14,0,0,0,0,0,0,20,30,2,3,2,2,1,0,0,0,0,1,0,8,8,8,8,11,2,0,0,PALERMO,2006-07,8,15,3,3,0,0,5,12,0,0,0,0
1,3,2,4,0,0,0,0,0,0,FIORENTINA,home,0,0,3,5,0,0,0,0,0,1,20,23,3,2,2,1,0,0,0,0,0,0,1,4,4,7,6,5,5,0,0,LIVORNO,2006-07,11,18,6,12,0,0,5,6,0,0,0,0
3,1,4,2,0,0,0,0,0,0,LIVORNO,away,0,0,5,3,0,0,0,0,1,0,23,20,2,3,2,0,1,0,0,0,0,1,0,4,4,6,7,5,5,0,0,FIORENTINA,2006-07,18,11,12,6,0,0,6,5,0,0,0,0
