Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
CAGLIARI,home,0,0,1,5,2,ATALANTA,1993-94
ATALANTA,away,0,0,1,2,5,CAGLIARI,1993-94
ROMA,home,0,0,1,2,0,GENOA,1993-94
GENOA,away,0,0,1,0,2,ROMA,1993-94
REGGIANA,home,0,0,1,2,1,INTER,1993-94
INTER,away,0,0,1,1,2,REGGIANA,1993-94
CREMONESE,home,0,0,1,1,0,JUVENTUS,1993-94
JUVENTUS,away,0,0,1,0,1,CREMONESE,1993-94
FOGGIA,home,0,0,1,0,0,LAZIO,1993-94
LAZIO,away,0,0,1,0,0,FOGGIA,1993-94
MILAN,home,0,0,1,0,1,LECCE,1993-94
LECCE,away,0,0,1,1,0,MILAN,1993-94
SAMPDORIA,home,0,0,1,1,2,NAPOLI,1993-94
NAPOLI,away,0,0,1,2,1,SAMPDORIA,1993-94
TORINO,home,0,0,1,0,3,PIACENZA,1993-94
PIACENZA,away,0,0,1,3,0,TORINO,1993-94
PARMA,home,0,1,1,0,1,UDINESE,1993-94
UDINESE,away,1,0,1,1,0,PARMA,1993-94
UDINESE,home,1,0,2,1,2,CAGLIARI,1993-94
CAGLIARI,away,0,1,2,2,1,UDINESE,1993-94
NAPOLI,home,0,0,2,2,0,CREMONESE,1993-94
CREMONESE,away,0,0,2,0,2,NAPOLI,1993-94
INTER,home,1,0,2,1,1,FOGGIA,1993-94
FOGGIA,away,0,1,2,1,1,INTER,1993-94
GENOA,home,0,1,2,1,0,MILAN,1993-94
MILAN,away,1,0,2,0,1,GENOA,1993-94
LECCE,home,0,0,2,1,0,PARMA,1993-94
PARMA,away,0,0,2,0,1,LECCE,1993-94
LAZIO,home,0,0,2,0,0,REGGIANA,1993-94
REGGIANA,away,0,0,2,0,0,LAZIO,1993-94
JUVENTUS,home,0,0,2,2,1,ROMA,1993-94
ROMA,away,0,0,2,1,2,JUVENTUS,1993-94
PIACENZA,home,0,0,2,2,1,SAMPDORIA,1993-94
SAMPDORIA,away,0,0,2,1,2,PIACENZA,1993-94
ATALANTA,home,0,0,2,2,1,TORINO,1993-94
TORINO,away,0,0,2,1,2,ATALANTA,1993-94
REGGIANA,home,0,0,3,2,1,ATALANTA,1993-94
ATALANTA,away,0,0,3,1,2,REGGIANA,1993-94
CAGLIARI,home,0,0,3,1,1,GENOA,1993-94
GENOA,away,0,0,3,1,1,CAGLIARI,1993-94
CREMONESE,home,1,0,3,2,1,INTER,1993-94
INTER,away,0,1,3,1,2,CREMONESE,1993-94
SAMPDORIA,home,0,0,3,3,1,JUVENTUS,1993-94
JUVENTUS,away,0,0,3,1,3,SAMPDORIA,1993-94
PARMA,home,0,0,3,2,1,LAZIO,1993-94
LAZIO,away,0,0,3,1,2,PARMA,1993-94
FOGGIA,home,1,0,3,0,2,LECCE,1993-94
LECCE,away,0,1,3,2,0,FOGGIA,1993-94
TORINO,home,0,1,3,0,0,NAPOLI,1993-94
NAPOLI,away,1,0,3,0,0,TORINO,1993-94
MILAN,home,0,0,3,0,0,PIACENZA,1993-94
PIACENZA,away,0,0,3,0,0,MILAN,1993-94
ROMA,home,0,0,3,0,0,UDINESE,1993-94
UDINESE,away,0,0,3,0,0,ROMA,1993-94
INTER,home,0,0,4,1,0,CAGLIARI,1993-94
CAGLIARI,away,0,0,4,0,1,INTER,1993-94
LAZIO,home,0,0,4,1,0,CREMONESE,1993-94
CREMONESE,away,0,0,4,0,1,LAZIO,1993-94
JUVENTUS,home,0,0,4,1,1,FOGGIA,1993-94
FOGGIA,away,0,0,4,1,1,JUVENTUS,1993-94
ATALANTA,home,0,0,4,2,0,MILAN,1993-94
MILAN,away,0,0,4,0,2,ATALANTA,1993-94
GENOA,home,0,1,4,2,1,PARMA,1993-94
PARMA,away,1,0,4,1,2,GENOA,1993-94
PIACENZA,home,0,1,4,1,1,REGGIANA,1993-94
REGGIANA,away,1,0,4,1,1,PIACENZA,1993-94
NAPOLI,home,2,0,4,2,3,ROMA,1993-94
ROMA,away,0,2,4,3,2,NAPOLI,1993-94
LECCE,home,0,0,4,2,1,SAMPDORIA,1993-94
SAMPDORIA,away,0,0,4,1,2,LECCE,1993-94
UDINESE,home,0,0,4,1,0,TORINO,1993-94
TORINO,away,0,0,4,0,1,UDINESE,1993-94
CREMONESE,home,0,0,5,0,0,ATALANTA,1993-94
ATALANTA,away,0,0,5,0,0,CREMONESE,1993-94
CAGLIARI,home,0,0,5,0,1,FOGGIA,1993-94
FOGGIA,away,0,0,5,1,0,CAGLIARI,1993-94
NAPOLI,home,0,0,5,0,0,GENOA,1993-94
GENOA,away,0,0,5,0,0,NAPOLI,1993-94
REGGIANA,home,0,0,5,4,0,JUVENTUS,1993-94
JUVENTUS,away,0,0,5,0,4,REGGIANA,1993-94
INTER,home,0,0,5,0,0,LAZIO,1993-94
LAZIO,away,0,0,5,0,0,INTER,1993-94
ROMA,home,0,1,5,2,0,MILAN,1993-94
MILAN,away,1,0,5,0,2,ROMA,1993-94
TORINO,home,0,0,5,3,0,PARMA,1993-94
PARMA,away,0,0,5,0,3,TORINO,1993-94
LECCE,home,0,0,5,2,1,PIACENZA,1993-94
