Ammonizioni,Ammonizioni avversario,Avversaria,Campo,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
3,2,BOLOGNA,home,0,0,0,0,1,4,2,ATALANTA,1997-98
2,3,ATALANTA,away,0,0,0,0,1,2,4,BOLOGNA,1997-98
2,1,PARMA,home,0,1,0,0,1,0,2,BARI,1997-98
1,2,BARI,away,1,0,0,0,1,2,0,PARMA,1997-98
2,2,ROMA,home,0,0,0,0,1,1,3,EMPOLI,1997-98
2,2,EMPOLI,away,0,0,0,0,1,3,1,ROMA,1997-98
3,2,BRESCIA,home,0,0,0,0,1,2,1,INTER,1997-98
2,3,INTER,away,0,0,0,0,1,1,2,BRESCIA,1997-98
1,1,LECCE,home,0,0,0,0,1,2,0,JUVENTUS,1997-98
1,1,JUVENTUS,away,0,0,0,0,1,0,2,LECCE,1997-98
1,2,NAPOLI,home,0,0,0,0,1,2,0,LAZIO,1997-98
2,1,LAZIO,away,0,0,0,0,1,0,2,NAPOLI,1997-98
1,2,MILAN,home,0,0,0,0,1,1,1,PIACENZA,1997-98
2,1,PIACENZA,away,0,0,0,0,1,1,1,MILAN,1997-98
3,4,VICENZA,home,0,0,0,0,1,2,1,SAMPDORIA,1997-98
4,3,SAMPDORIA,away,0,0,0,0,1,1,2,VICENZA,1997-98
2,4,FIORENTINA,home,0,0,1,0,1,2,3,UDINESE,1997-98
4,2,UDINESE,away,0,0,0,1,1,3,2,FIORENTINA,1997-98
5,2,SAMPDORIA,home,0,0,0,0,2,3,3,BRESCIA,1997-98
2,5,BRESCIA,away,0,0,0,0,2,3,3,SAMPDORIA,1997-98
3,2,UDINESE,home,0,0,1,0,2,1,2,LECCE,1997-98
2,3,LECCE,away,0,0,0,1,2,2,1,UDINESE,1997-98
2,2,LAZIO,home,0,0,0,0,2,1,1,MILAN,1997-98
2,2,MILAN,away,0,0,0,0,2,1,1,LAZIO,1997-98
2,4,INTER,home,0,0,0,0,2,2,4,BOLOGNA,1997-98
4,2,BOLOGNA,away,0,0,0,0,2,4,2,INTER,1997-98
