Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
NAPOLI,home,0,1,6,2,0,UDINESE,1992-93
UDINESE,away,1,0,6,0,2,NAPOLI,1992-93
FOGGIA,home,0,0,7,3,0,ANCONA,1992-93
ANCONA,away,0,0,7,0,3,FOGGIA,1992-93
CAGLIARI,home,0,0,7,0,2,BRESCIA,1992-93
BRESCIA,away,0,0,7,2,0,CAGLIARI,1992-93
SAMPDORIA,home,0,0,7,4,0,FIORENTINA,1992-93
FIORENTINA,away,0,0,7,0,4,SAMPDORIA,1992-93
PESCARA,home,0,0,7,4,3,GENOA,1992-93
GENOA,away,0,0,7,3,4,PESCARA,1992-93
JUVENTUS,home,0,0,7,3,1,INTER,1992-93
INTER,away,0,0,7,1,3,JUVENTUS,1992-93
ATALANTA,home,1,1,7,3,0,LAZIO,1992-93
LAZIO,away,1,1,7,0,3,ATALANTA,1992-93
ROMA,home,0,1,7,2,1,NAPOLI,1992-93
NAPOLI,away,1,0,7,1,2,ROMA,1992-93
MILAN,home,0,0,7,0,2,PARMA,1992-93
PARMA,away,0,0,7,2,0,MILAN,1992-93
UDINESE,home,0,0,7,1,0,TORINO,1992-93
TORINO,away,0,0,7,0,1,UDINESE,1992-93
NAPOLI,home,0,0,8,3,2,ATALANTA,1992-93
ATALANTA,away,0,0,8,2,3,NAPOLI,1992-93
FIORENTINA,home,0,1,8,2,1,CAGLIARI,1992-93
CAGLIARI,away,1,0,8,1,2,FIORENTINA,1992-93
PARMA,home,1,0,8,1,0,FOGGIA,1992-93
FOGGIA,away,0,1,8,0,1,PARMA,1992-93
ANCONA,home,0,2,8,5,1,JUVENTUS,1992-93
JUVENTUS,away,2,0,8,1,5,ANCONA,1992-93
TORINO,home,0,1,8,0,0,MILAN,1992-93
MILAN,away,1,0,8,0,0,TORINO,1992-93
INTER,home,0,0,8,1,4,PESCARA,1992-93
PESCARA,away,0,0,8,4,1,INTER,1992-93
BRESCIA,home,1,0,8,2,3,ROMA,1992-93
ROMA,away,0,1,8,3,2,BRESCIA,1992-93
GENOA,home,0,1,8,4,1,SAMPDORIA,1992-93
SAMPDORIA,away,1,0,8,1,4,GENOA,1992-93
LAZIO,home,0,0,8,0,0,UDINESE,1992-93
UDINESE,away,0,0,8,0,0,LAZIO,1992-93
BRESCIA,home,0,1,9,5,1,ANCONA,1992-93
ANCONA,away,1,0,9,1,5,BRESCIA,1992-93
FOGGIA,home,0,0,9,2,1,ATALANTA,1992-93
ATALANTA,away,0,0,9,1,2,FOGGIA,1992-93
ROMA,home,0,1,9,2,1,FIORENTINA,1992-93
FIORENTINA,away,1,0,9,1,2,ROMA,1992-93
CAGLIARI,home,1,0,9,2,3,GENOA,1992-93
GENOA,away,0,1,9,3,2,CAGLIARI,1992-93
SAMPDORIA,home,0,0,9,0,0,INTER,1992-93
INTER,away,0,0,9,0,0,SAMPDORIA,1992-93
UDINESE,home,1,0,9,5,1,JUVENTUS,1992-93
JUVENTUS,away,0,1,9,1,5,UDINESE,1992-93
TORINO,home,1,0,9,1,2,LAZIO,1992-93
LAZIO,away,0,1,9,2,1,TORINO,1992-93
MILAN,home,0,0,9,1,5,NAPOLI,1992-93
NAPOLI,away,0,0,9,5,1,MILAN,1992-93
PESCARA,home,0,1,9,1,0,PARMA,1992-93
PARMA,away,1,0,9,0,1,PESCARA,1992-93
FIORENTINA,home,0,0,10,1,1,BRESCIA,1992-93
BRESCIA,away,0,0,10,1,1,FIORENTINA,1992-93
PARMA,home,0,0,10,0,1,CAGLIARI,1992-93
CAGLIARI,away,0,0,10,1,0,PARMA,1992-93
LAZIO,home,1,0,10,2,1,FOGGIA,1992-93
FOGGIA,away,0,1,10,1,2,LAZIO,1992-93
INTER,home,0,0,10,1,1,MILAN,1992-93
MILAN,away,0,0,10,1,1,INTER,1992-93
ATALANTA,home,0,0,10,2,0,PESCARA,1992-93
PESCARA,away,0,0,10,0,2,ATALANTA,1992-93
ANCONA,home,0,0,10,2,1,ROMA,1992-93
ROMA,away,0,0,10,1,2,ANCONA,1992-93
NAPOLI,home,0,0,10,3,1,SAMPDORIA,1992-93
SAMPDORIA,away,0,0,10,1,3,NAPOLI,1992-93
JUVENTUS,home,0,0,10,1,2,TORINO,1992-93
TORINO,away,0,0,10,2,1,JUVENTUS,1992-93
GENOA,home,0,2,10,3,0,UDINESE,1992-93
UDINESE,away,2,0,10,0,3,GENOA,1992-93
CAGLIARI,home,0,0,11,0,1,ANCONA,1992-93
ANCONA,away,0,0,11,1,0,CAGLIARI,1992-93
UDINESE,home,0,0,11,2,0,ATALANTA,1992-93
ATALANTA,away,0,0,11,0,2,UDINESE,1992-93
