Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
1,3,2,1,0,0,0,0,0,0,SAMPDORIA,home,0,0,3,11,0,0,0,0,0,0,22,23,3,3,1,2,2,0,0,0,0,14,12,10,11,0,0,0,0,REGGINA,2003-04,7,13,2,6,5,7,0,0
3,1,1,2,0,0,0,0,0,0,REGGINA,away,0,0,11,3,0,0,0,0,0,0,23,22,3,3,1,2,2,0,0,0,0,12,14,11,10,0,0,0,0,SAMPDORIA,2003-04,13,7,6,2,7,5,0,0
2,1,0,0,0,0,0,0,0,0,CHIEVOVERONA,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,BRESCIA,2003-04,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,BRESCIA,away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,CHIEVOVERONA,2003-04,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,MODENA,home,0,0,8,1,0,0,0,0,0,0,15,17,4,1,1,2,0,0,0,0,0,11,9,12,10,0,0,0,0,INTER,2003-04,18,6,11,6,7,0,0,0
3,1,0,0,0,0,0,0,0,0,INTER,away,0,0,1,8,0,0,0,0,0,0,17,15,1,4,1,0,2,0,0,0,0,9,11,10,12,0,0,0,0,MODENA,2003-04,6,18,6,11,0,7,0,0
0,0,4,2,0,0,0,0,0,0,EMPOLI,home,0,0,8,3,0,0,0,0,0,0,12,9,2,4,1,5,1,0,0,0,0,6,7,6,4,0,0,1,0,JUVENTUS,2003-04,17,10,5,4,12,6,0,0
0,0,2,4,0,0,0,0,0,0,JUVENTUS,away,0,0,3,8,0,0,0,0,0,0,9,12,4,2,1,1,5,0,0,0,0,7,6,4,6,0,0,0,1,EMPOLI,2003-04,10,17,4,5,6,12,0,0
1,1,2,2,0,0,0,0,0,0,LECCE,home,0,0,7,5,0,0,0,0,0,0,8,14,3,0,1,4,1,0,0,0,0,10,8,12,11,0,0,0,0,LAZIO,2003-04,11,15,5,5,6,10,0,0
1,1,2,2,0,0,0,0,0,0,LAZIO,away,0,0,5,7,0,0,0,0,0,0,14,8,0,3,1,1,4,0,0,0,0,8,10,11,12,0,0,0,0,LECCE,2003-04,15,11,5,5,10,6,0,0
1,2,0,0,0,0,0,0,0,0,SIENA,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,PERUGIA,2003-04,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,PERUGIA,away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,SIENA,2003-04,0,0,0,0,0,0,0,0
1,3,2,4,0,0,0,0,0,0,ROMA,home,0,0,7,5,0,0,0,1,1,0,20,15,1,3,1,1,2,0,0,0,0,11,10,9,9,0,0,0,0,UDINESE,2003-04,9,12,5,5,4,7,0,0
3,1,4,2,0,0,0,0,0,0,UDINESE,away,0,0,5,7,0,0,1,0,0,1,15,20,3,1,1,2,1,0,0,0,0,10,11,9,9,0,0,0,0,ROMA,2003-04,12,9,5,5,7,4,0,0
