Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
NAPOLI,home,0,0,1,0,1,ASCOLI,1989-90
ASCOLI,away,0,0,1,1,0,NAPOLI,1989-90
HELLAS VERONA,home,0,0,1,1,0,ATALANTA,1989-90
ATALANTA,away,0,0,1,0,1,HELLAS VERONA,1989-90
FIORENTINA,home,0,0,1,1,1,BARI,1989-90
BARI,away,0,0,1,1,1,FIORENTINA,1989-90
MILAN,home,0,0,1,0,3,CESENA,1989-90
CESENA,away,0,0,1,3,0,MILAN,1989-90
LECCE,home,0,0,1,1,0,GENOA,1989-90
GENOA,away,0,0,1,0,1,LECCE,1989-90
CREMONESE,home,0,2,1,2,1,INTER,1989-90
INTER,away,2,0,1,1,2,CREMONESE,1989-90
BOLOGNA,home,0,1,1,1,1,JUVENTUS,1989-90
JUVENTUS,away,1,0,1,1,1,BOLOGNA,1989-90
SAMPDORIA,home,0,0,1,0,2,LAZIO,1989-90
LAZIO,away,0,0,1,2,0,SAMPDORIA,1989-90
ROMA,home,0,0,1,1,1,UDINESE,1989-90
UDINESE,away,0,0,1,1,1,ROMA,1989-90
INTER,home,0,0,2,2,2,BOLOGNA,1989-90
BOLOGNA,away,0,0,2,2,2,INTER,1989-90
CESENA,home,0,0,2,1,2,CREMONESE,1989-90
CREMONESE,away,0,0,2,2,1,CESENA,1989-90
GENOA,home,0,2,2,0,0,FIORENTINA,1989-90
FIORENTINA,away,2,0,2,0,0,GENOA,1989-90
JUVENTUS,home,1,0,2,1,4,HELLAS VERONA,1989-90
HELLAS VERONA,away,0,1,2,4,1,JUVENTUS,1989-90
ATALANTA,home,0,0,2,2,1,LECCE,1989-90
LECCE,away,0,0,2,1,2,ATALANTA,1989-90
LAZIO,home,0,0,2,0,1,MILAN,1989-90
MILAN,away,0,0,2,1,0,LAZIO,1989-90
UDINESE,home,0,0,2,1,0,NAPOLI,1989-90
NAPOLI,away,0,0,2,0,1,UDINESE,1989-90
ASCOLI,home,0,0,2,0,0,ROMA,1989-90
ROMA,away,0,0,2,0,0,ASCOLI,1989-90
BARI,home,0,0,2,0,0,SAMPDORIA,1989-90
SAMPDORIA,away,0,0,2,0,0,BARI,1989-90
SAMPDORIA,home,0,0,3,2,1,ASCOLI,1989-90
ASCOLI,away,0,0,3,1,2,SAMPDORIA,1989-90
MILAN,home,0,0,3,0,1,ATALANTA,1989-90
ATALANTA,away,0,0,3,1,0,MILAN,1989-90
HELLAS VERONA,home,0,1,3,2,1,BARI,1989-90
BARI,away,1,0,3,1,2,HELLAS VERONA,1989-90
NAPOLI,home,1,1,3,0,0,CESENA,1989-90
CESENA,away,1,1,3,0,0,NAPOLI,1989-90
ROMA,home,0,1,3,0,2,GENOA,1989-90
GENOA,away,1,0,3,2,0,ROMA,1989-90
LECCE,home,0,0,3,2,1,INTER,1989-90
INTER,away,0,0,3,1,2,LECCE,1989-90
FIORENTINA,home,0,0,3,3,1,JUVENTUS,1989-90
JUVENTUS,away,0,0,3,1,3,FIORENTINA,1989-90
CREMONESE,home,0,1,3,1,1,LAZIO,1989-90
LAZIO,away,1,0,3,1,1,CREMONESE,1989-90
BOLOGNA,home,0,0,3,1,1,UDINESE,1989-90
UDINESE,away,0,0,3,1,1,BOLOGNA,1989-90
BARI,home,0,0,4,3,1,BOLOGNA,1989-90
BOLOGNA,away,0,0,4,1,3,BARI,1989-90
GENOA,home,1,2,4,0,1,CREMONESE,1989-90
CREMONESE,away,2,1,4,1,0,GENOA,1989-90
LAZIO,home,0,1,4,1,0,FIORENTINA,1989-90
FIORENTINA,away,1,0,4,0,1,LAZIO,1989-90
NAPOLI,home,0,0,4,1,2,HELLAS VERONA,1989-90
HELLAS VERONA,away,0,0,4,2,1,NAPOLI,1989-90
ASCOLI,home,0,0,4,3,1,JUVENTUS,1989-90
JUVENTUS,away,0,0,4,1,3,ASCOLI,1989-90
CESENA,home,0,0,4,2,1,LECCE,1989-90
LECCE,away,0,0,4,1,2,CESENA,1989-90
UDINESE,home,0,0,4,3,1,MILAN,1989-90
MILAN,away,0,0,4,1,3,UDINESE,1989-90
ATALANTA,home,0,0,4,4,1,ROMA,1989-90
ROMA,away,0,0,4,1,4,ATALANTA,1989-90
INTER,home,0,0,4,2,0,SAMPDORIA,1989-90
SAMPDORIA,away,0,0,4,0,2,INTER,1989-90
HELLAS VERONA,home,0,0,5,1,1,ASCOLI,1989-90
ASCOLI,away,0,0,5,1,1,HELLAS VERONA,1989-90
CREMONESE,home,0,0,5,2,0,ATALANTA,1989-90
ATALANTA,away,0,0,5,0,2,CREMONESE,1989-90
ROMA,home,1,0,5,1,2,BARI,1989-90
BARI,away,0,1,5,2,1,ROMA,1989-90
BOLOGNA,home,0,0,5,0,0,CESENA,1989-90
CESENA,away,0,0,5,0,0,BOLOGNA,1989-90
MILAN,home,0,0,5,1,1,GENOA,1989-90
GENOA,away,0,0,5,1,1,MILAN,1989-90
JUVENTUS,home,0,0,5,2,1,INTER,1989-90
INTER,away,0,0,5,1,2,JUVENTUS,1989-90
LECCE,home,0,0,5,3,0,LAZIO,1989-90
LAZIO,away,0,0,5,0,3,LECCE,1989-90
FIORENTINA,home,0,0,5,3,2,NAPOLI,1989-90
NAPOLI,away,0,0,5,2,3,FIORENTINA,1989-90
SAMPDORIA,home,0,0,5,3,3,UDINESE,1989-90
UDINESE,away,0,0,5,3,3,SAMPDORIA,1989-90
