Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
LAZIO,home,1,1,1,0,1,BARI,1994-95
BARI,away,1,1,1,1,0,LAZIO,1994-95
JUVENTUS,home,1,0,1,1,1,BRESCIA,1994-95
BRESCIA,away,0,1,1,1,1,JUVENTUS,1994-95
CAGLIARI,home,0,0,1,2,1,FIORENTINA,1994-95
FIORENTINA,away,0,0,1,1,2,CAGLIARI,1994-95
GENOA,home,0,1,1,1,0,MILAN,1994-95
MILAN,away,1,0,1,0,1,GENOA,1994-95
REGGIANA,home,0,0,1,1,0,NAPOLI,1994-95
NAPOLI,away,0,0,1,0,1,REGGIANA,1994-95
CREMONESE,home,0,0,1,2,0,PARMA,1994-95
PARMA,away,0,0,1,0,2,CREMONESE,1994-95
FOGGIA,home,0,0,1,1,1,ROMA,1994-95
ROMA,away,0,0,1,1,1,FOGGIA,1994-95
PADOVA,home,0,0,1,5,0,SAMPDORIA,1994-95
SAMPDORIA,away,0,0,1,0,5,PADOVA,1994-95
INTER,home,0,0,1,0,2,TORINO,1994-95
TORINO,away,0,0,1,2,0,INTER,1994-95
MILAN,home,0,0,2,1,1,CAGLIARI,1994-95
CAGLIARI,away,0,0,2,1,1,MILAN,1994-95
NAPOLI,home,0,1,2,2,0,CREMONESE,1994-95
CREMONESE,away,1,0,2,0,2,NAPOLI,1994-95
BRESCIA,home,0,0,2,3,1,FOGGIA,1994-95
FOGGIA,away,0,0,2,1,3,BRESCIA,1994-95
FIORENTINA,home,0,0,2,1,1,GENOA,1994-95
GENOA,away,0,0,2,1,1,FIORENTINA,1994-95
ROMA,home,0,0,2,0,1,INTER,1994-95
INTER,away,0,0,2,1,0,ROMA,1994-95
BARI,home,0,0,2,2,0,JUVENTUS,1994-95
JUVENTUS,away,0,0,2,0,2,BARI,1994-95
TORINO,home,0,0,2,3,0,LAZIO,1994-95
LAZIO,away,0,0,2,0,3,TORINO,1994-95
PARMA,home,0,0,2,0,3,PADOVA,1994-95
PADOVA,away,0,0,2,3,0,PARMA,1994-95
SAMPDORIA,home,0,0,2,0,2,REGGIANA,1994-95
REGGIANA,away,0,0,2,2,0,SAMPDORIA,1994-95
REGGIANA,home,0,0,3,1,0,BARI,1994-95
BARI,away,0,0,3,0,1,REGGIANA,1994-95
INTER,home,0,1,3,0,0,BRESCIA,1994-95
BRESCIA,away,1,0,3,0,0,INTER,1994-95
CREMONESE,home,0,0,3,3,1,FIORENTINA,1994-95
FIORENTINA,away,0,0,3,1,3,CREMONESE,1994-95
LAZIO,home,0,0,3,2,1,MILAN,1994-95
MILAN,away,0,0,3,1,2,LAZIO,1994-95
JUVENTUS,home,0,0,3,0,2,NAPOLI,1994-95
NAPOLI,away,0,0,3,2,0,JUVENTUS,1994-95
CAGLIARI,home,0,1,3,2,1,PARMA,1994-95
PARMA,away,1,0,3,1,2,CAGLIARI,1994-95
GENOA,home,0,0,3,3,0,ROMA,1994-95
ROMA,away,0,0,3,0,3,GENOA,1994-95
FOGGIA,home,0,2,3,1,1,SAMPDORIA,1994-95
SAMPDORIA,away,2,0,3,1,1,FOGGIA,1994-95
PADOVA,home,0,0,3,2,0,TORINO,1994-95
TORINO,away,0,0,3,0,2,PADOVA,1994-95
BRESCIA,home,0,0,4,2,0,CAGLIARI,1994-95
CAGLIARI,away,0,0,4,0,2,BRESCIA,1994-95
MILAN,home,0,1,4,1,0,CREMONESE,1994-95
CREMONESE,away,1,0,4,0,1,MILAN,1994-95
TORINO,home,0,1,4,0,2,FOGGIA,1994-95
FOGGIA,away,1,0,4,2,0,TORINO,1994-95
NAPOLI,home,0,0,4,3,3,GENOA,1994-95
GENOA,away,0,0,4,3,3,NAPOLI,1994-95
FIORENTINA,home,0,0,4,3,1,INTER,1994-95
INTER,away,0,0,4,1,3,FIORENTINA,1994-95
SAMPDORIA,home,0,0,4,1,0,JUVENTUS,1994-95
JUVENTUS,away,0,0,4,0,1,SAMPDORIA,1994-95
PARMA,home,0,0,4,2,2,LAZIO,1994-95
LAZIO,away,0,0,4,2,2,PARMA,1994-95
BARI,home,0,0,4,0,2,PADOVA,1994-95
PADOVA,away,0,0,4,2,0,BARI,1994-95
ROMA,home,0,0,4,1,4,REGGIANA,1994-95
REGGIANA,away,0,0,4,4,1,ROMA,1994-95
CAGLIARI,home,0,0,5,0,0,BARI,1994-95
BARI,away,0,0,5,0,0,CAGLIARI,1994-95
FOGGIA,home,0,0,5,1,3,CREMONESE,1994-95
CREMONESE,away,0,0,5,3,1,FOGGIA,1994-95
LAZIO,home,0,1,5,1,1,FIORENTINA,1994-95
FIORENTINA,away,1,0,5,1,1,LAZIO,1994-95
REGGIANA,home,0,0,5,3,1,GENOA,1994-95
GENOA,away,0,0,5,1,3,REGGIANA,1994-95
INTER,home,0,0,5,0,0,JUVENTUS,1994-95
JUVENTUS,away,0,0,5,0,0,INTER,1994-95
BRESCIA,home,0,0,5,1,0,MILAN,1994-95
MILAN,away,0,0,5,0,1,BRESCIA,1994-95
PADOVA,home,1,2,5,3,3,NAPOLI,1994-95
NAPOLI,away,2,1,5,3,3,PADOVA,1994-95
TORINO,home,0,0,5,2,0,PARMA,1994-95
PARMA,away,0,0,5,0,2,TORINO,1994-95
SAMPDORIA,home,0,0,5,1,0,ROMA,1994-95
ROMA,away,0,0,5,0,1,SAMPDORIA,1994-95
GENOA,home,1,0,6,1,2,BRESCIA,1994-95
BRESCIA,away,0,1,6,2,1,GENOA,1994-95
CREMONESE,home,0,1,6,1,0,CAGLIARI,1994-95
CAGLIARI,away,1,0,6,0,1,CREMONESE,1994-95
JUVENTUS,home,0,0,6,2,0,FOGGIA,1994-95
FOGGIA,away,0,0,6,0,2,JUVENTUS,1994-95
BARI,home,0,0,6,1,2,INTER,1994-95
INTER,away,0,0,6,2,1,BARI,1994-95
NAPOLI,home,0,0,6,5,1,LAZIO,1994-95
LAZIO,away,0,0,6,1,5,NAPOLI,1994-95
MILAN,home,0,1,6,2,0,PADOVA,1994-95
PADOVA,away,1,0,6,0,2,MILAN,1994-95
FIORENTINA,home,1,0,6,1,1,REGGIANA,1994-95
REGGIANA,away,0,1,6,1,1,FIORENTINA,1994-95
PARMA,home,0,1,6,3,1,SAMPDORIA,1994-95
SAMPDORIA,away,1,0,6,1,3,PARMA,1994-95
ROMA,home,0,0,6,2,2,TORINO,1994-95
TORINO,away,0,0,6,2,2,ROMA,1994-95
JUVENTUS,home,0,0,7,1,2,CREMONESE,1994-95
CREMONESE,away,0,0,7,2,1,JUVENTUS,1994-95
PADOVA,home,0,0,7,4,1,FIORENTINA,1994-95
FIORENTINA,away,0,0,7,1,4,PADOVA,1994-95
INTER,home,0,0,7,0,0,FOGGIA,1994-95
FOGGIA,away,0,0,7,0,0,INTER,1994-95
LAZIO,home,0,0,7,1,2,GENOA,1994-95
GENOA,away,0,0,7,2,1,LAZIO,1994-95
SAMPDORIA,home,0,0,7,0,0,MILAN,1994-95
MILAN,away,0,0,7,0,0,SAMPDORIA,1994-95
BARI,home,0,0,7,3,0,NAPOLI,1994-95
NAPOLI,away,0,0,7,0,3,BARI,1994-95
REGGIANA,home,0,0,7,2,1,PARMA,1994-95
PARMA,away,0,0,7,1,2,REGGIANA,1994-95
CAGLIARI,home,0,1,7,1,1,ROMA,1994-95
ROMA,away,1,0,7,1,1,CAGLIARI,1994-95
BRESCIA,home,0,1,7,2,0,TORINO,1994-95
TORINO,away,1,0,7,0,2,BRESCIA,1994-95
GENOA,home,0,0,8,4,1,BARI,1994-95
BARI,away,0,0,8,1,4,GENOA,1994-95
FIORENTINA,home,0,0,8,2,4,BRESCIA,1994-95
BRESCIA,away,0,0,8,4,2,FIORENTINA,1994-95
TORINO,home,0,0,8,1,0,CAGLIARI,1994-95
CAGLIARI,away,0,0,8,0,1,TORINO,1994-95
REGGIANA,home,0,0,8,1,0,INTER,1994-95
INTER,away,0,0,8,0,1,REGGIANA,1994-95
MILAN,home,0,0,8,1,0,JUVENTUS,1994-95
JUVENTUS,away,0,0,8,0,1,MILAN,1994-95
CREMONESE,home,0,0,8,1,0,LAZIO,1994-95
LAZIO,away,0,0,8,0,1,CREMONESE,1994-95
FOGGIA,home,1,2,8,0,0,PADOVA,1994-95
PADOVA,away,2,1,8,0,0,FOGGIA,1994-95
ROMA,home,0,0,8,1,0,PARMA,1994-95
PARMA,away,0,0,8,0,1,ROMA,1994-95
NAPOLI,home,0,0,8,0,0,SAMPDORIA,1994-95
SAMPDORIA,away,0,0,8,0,0,NAPOLI,1994-95
SAMPDORIA,home,0,1,9,2,0,CREMONESE,1994-95
CREMONESE,away,1,0,9,0,2,SAMPDORIA,1994-95
BARI,home,0,0,9,2,0,FIORENTINA,1994-95
FIORENTINA,away,0,0,9,0,2,BARI,1994-95
CAGLIARI,home,0,0,9,2,0,FOGGIA,1994-95
FOGGIA,away,0,0,9,0,2,CAGLIARI,1994-95
INTER,home,0,0,9,2,1,GENOA,1994-95
GENOA,away,0,0,9,1,2,INTER,1994-95
PARMA,home,0,0,9,1,1,MILAN,1994-95
MILAN,away,0,0,9,1,1,PARMA,1994-95
BRESCIA,home,0,0,9,2,0,PADOVA,1994-95
PADOVA,away,0,0,9,0,2,BRESCIA,1994-95
LAZIO,home,0,1,9,0,0,REGGIANA,1994-95
REGGIANA,away,1,0,9,0,0,LAZIO,1994-95
NAPOLI,home,0,0,9,1,1,ROMA,1994-95
ROMA,away,0,0,9,1,1,NAPOLI,1994-95
JUVENTUS,home,0,0,9,3,2,TORINO,1994-95
TORINO,away,0,0,9,2,3,JUVENTUS,1994-95
CREMONESE,home,0,0,10,2,0,BARI,1994-95
BARI,away,0,0,10,0,2,CREMONESE,1994-95
ROMA,home,0,1,10,0,0,BRESCIA,1994-95
BRESCIA,away,1,0,10,0,0,ROMA,1994-95
GENOA,home,0,0,10,1,0,CAGLIARI,1994-95
CAGLIARI,away,0,0,10,0,1,GENOA,1994-95
REGGIANA,home,0,0,10,3,1,JUVENTUS,1994-95
JUVENTUS,away,0,0,10,1,3,REGGIANA,1994-95
PADOVA,home,0,0,10,5,1,LAZIO,1994-95
LAZIO,away,0,0,10,1,5,PADOVA,1994-95
INTER,home,0,0,10,1,1,MILAN,1994-95
