Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
ROMA,home,0,1,1,1,1,ASCOLI,1987-88
ASCOLI,away,1,0,1,1,1,ROMA,1987-88
TORINO,home,0,0,1,2,1,AVELLINO,1987-88
AVELLINO,away,0,0,1,1,2,TORINO,1987-88
NAPOLI,home,0,0,1,0,1,CESENA,1987-88
CESENA,away,0,0,1,1,0,NAPOLI,1987-88
HELLAS VERONA,home,0,0,1,0,0,FIORENTINA,1987-88
FIORENTINA,away,0,0,1,0,0,HELLAS VERONA,1987-88
PESCARA,home,0,0,1,0,2,INTER,1987-88
INTER,away,0,0,1,2,0,PESCARA,1987-88
COMO,home,0,0,1,1,0,JUVENTUS,1987-88
JUVENTUS,away,0,0,1,0,1,COMO,1987-88
MILAN,home,0,0,1,1,3,PISA,1987-88
PISA,away,0,0,1,3,1,MILAN,1987-88
EMPOLI,home,0,0,1,2,0,SAMPDORIA,1987-88
SAMPDORIA,away,0,0,1,0,2,EMPOLI,1987-88
INTER,home,0,0,2,1,2,COMO,1987-88
COMO,away,0,0,2,2,1,INTER,1987-88
JUVENTUS,home,0,0,2,1,0,EMPOLI,1987-88
EMPOLI,away,0,0,2,0,1,JUVENTUS,1987-88
AVELLINO,home,1,0,2,4,1,HELLAS VERONA,1987-88
HELLAS VERONA,away,0,1,2,1,4,AVELLINO,1987-88
FIORENTINA,home,0,0,2,0,2,MILAN,1987-88
MILAN,away,0,0,2,2,0,FIORENTINA,1987-88
ASCOLI,home,0,0,2,2,1,NAPOLI,1987-88
NAPOLI,away,0,0,2,1,2,ASCOLI,1987-88
PISA,home,0,0,2,2,1,PESCARA,1987-88
PESCARA,away,0,0,2,1,2,PISA,1987-88
CESENA,home,0,1,2,2,0,ROMA,1987-88
ROMA,away,1,0,2,0,2,CESENA,1987-88
SAMPDORIA,home,0,0,2,4,1,TORINO,1987-88
TORINO,away,0,0,2,1,4,SAMPDORIA,1987-88
TORINO,home,0,0,3,3,0,ASCOLI,1987-88
ASCOLI,away,0,0,3,0,3,TORINO,1987-88
ROMA,home,0,0,3,2,3,AVELLINO,1987-88
AVELLINO,away,0,0,3,3,2,ROMA,1987-88
MILAN,home,0,0,3,0,0,CESENA,1987-88
CESENA,away,0,0,3,0,0,MILAN,1987-88
COMO,home,0,0,3,1,1,FIORENTINA,1987-88
FIORENTINA,away,0,0,3,1,1,COMO,1987-88
EMPOLI,home,0,0,3,2,0,INTER,1987-88
INTER,away,0,0,3,0,2,EMPOLI,1987-88
PESCARA,home,0,0,3,3,1,JUVENTUS,1987-88
JUVENTUS,away,0,0,3,1,3,PESCARA,1987-88
NAPOLI,home,1,0,3,0,2,PISA,1987-88
PISA,away,0,1,3,2,0,NAPOLI,1987-88
HELLAS VERONA,home,0,1,3,3,1,SAMPDORIA,1987-88
SAMPDORIA,away,1,0,3,1,3,HELLAS VERONA,1987-88
NAPOLI,home,0,0,4,0,1,AVELLINO,1987-88
AVELLINO,away,0,0,4,1,0,NAPOLI,1987-88
SAMPDORIA,home,0,0,4,0,1,COMO,1987-88
COMO,away,0,0,4,1,0,SAMPDORIA,1987-88
FIORENTINA,home,0,0,4,0,0,EMPOLI,1987-88
EMPOLI,away,0,0,4,0,0,FIORENTINA,1987-88
JUVENTUS,home,0,0,4,2,1,HELLAS VERONA,1987-88
HELLAS VERONA,away,0,0,4,1,2,JUVENTUS,1987-88
ASCOLI,home,0,0,4,2,0,MILAN,1987-88
MILAN,away,0,0,4,0,2,ASCOLI,1987-88
CESENA,home,1,0,4,1,0,PESCARA,1987-88
PESCARA,away,0,1,4,0,1,CESENA,1987-88
PISA,home,1,0,4,1,0,ROMA,1987-88
ROMA,away,0,1,4,0,1,PISA,1987-88
INTER,home,0,0,4,1,1,TORINO,1987-88
TORINO,away,0,0,4,1,1,INTER,1987-88
EMPOLI,home,0,0,5,2,0,ASCOLI,1987-88
ASCOLI,away,0,0,5,0,2,EMPOLI,1987-88
TORINO,home,0,0,5,0,0,CESENA,1987-88
CESENA,away,0,0,5,0,0,TORINO,1987-88
AVELLINO,home,0,0,5,2,1,FIORENTINA,1987-88
FIORENTINA,away,0,0,5,1,2,AVELLINO,1987-88
HELLAS VERONA,home,0,0,5,1,1,INTER,1987-88
INTER,away,0,0,5,1,1,HELLAS VERONA,1987-88
ROMA,home,0,0,5,1,0,JUVENTUS,1987-88
JUVENTUS,away,0,0,5,0,1,ROMA,1987-88
PESCARA,home,0,1,5,6,0,NAPOLI,1987-88
NAPOLI,away,1,0,5,0,6,PESCARA,1987-88
COMO,home,0,0,5,1,1,PISA,1987-88
PISA,away,0,0,5,1,1,COMO,1987-88
MILAN,home,0,0,5,1,1,SAMPDORIA,1987-88
SAMPDORIA,away,0,0,5,1,1,MILAN,1987-88
CESENA,home,0,0,6,1,1,AVELLINO,1987-88
AVELLINO,away,0,0,6,1,1,CESENA,1987-88
ASCOLI,home,0,0,6,3,1,COMO,1987-88
COMO,away,0,0,6,1,3,ASCOLI,1987-88
PISA,home,0,0,6,0,1,EMPOLI,1987-88
EMPOLI,away,0,0,6,1,0,PISA,1987-88
MILAN,home,0,1,6,0,1,HELLAS VERONA,1987-88
