Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
PARMA,home,0,0,1,1,1,ATALANTA,1995-96
ATALANTA,away,0,0,1,1,1,PARMA,1995-96
NAPOLI,home,0,0,1,1,1,BARI,1995-96
BARI,away,0,0,1,1,1,NAPOLI,1995-96
TORINO,home,0,0,1,2,0,FIORENTINA,1995-96
FIORENTINA,away,0,0,1,0,2,TORINO,1995-96
VICENZA,home,0,0,1,1,0,INTER,1995-96
INTER,away,0,0,1,0,1,VICENZA,1995-96
CREMONESE,home,0,0,1,4,1,JUVENTUS,1995-96
JUVENTUS,away,0,0,1,1,4,CREMONESE,1995-96
PIACENZA,home,0,1,1,4,1,LAZIO,1995-96
LAZIO,away,1,0,1,1,4,PIACENZA,1995-96
MILAN,home,0,0,1,1,2,PADOVA,1995-96
PADOVA,away,0,0,1,2,1,MILAN,1995-96
ROMA,home,0,0,1,1,1,SAMPDORIA,1995-96
SAMPDORIA,away,0,0,1,1,1,ROMA,1995-96
CAGLIARI,home,0,0,1,1,0,UDINESE,1995-96
UDINESE,away,0,0,1,0,1,CAGLIARI,1995-96
LAZIO,home,,,2,0,1,CAGLIARI,1995-96
CAGLIARI,away,,,2,1,0,LAZIO,1995-96
SAMPDORIA,home,,,2,0,0,CREMONESE,1995-96
CREMONESE,away,,,2,0,0,SAMPDORIA,1995-96
UDINESE,home,,,2,2,1,MILAN,1995-96
MILAN,away,,,2,1,2,UDINESE,1995-96
PADOVA,home,,,2,2,0,NAPOLI,1995-96
NAPOLI,away,,,2,0,2,PADOVA,1995-96
INTER,home,,,2,2,1,PARMA,1995-96
PARMA,away,,,2,1,2,INTER,1995-96
JUVENTUS,home,,,2,0,4,PIACENZA,1995-96
PIACENZA,away,,,2,4,0,JUVENTUS,1995-96
ATALANTA,home,,,2,0,1,ROMA,1995-96
ROMA,away,,,2,1,0,ATALANTA,1995-96
BARI,home,,,2,3,1,TORINO,1995-96
TORINO,away,,,2,1,3,BARI,1995-96
FIORENTINA,home,,,2,1,0,VICENZA,1995-96
VICENZA,away,,,2,0,1,FIORENTINA,1995-96
NAPOLI,home,0,0,3,1,3,ATALANTA,1995-96
ATALANTA,away,0,0,3,3,1,NAPOLI,1995-96
LAZIO,home,0,1,3,3,3,BARI,1995-96
BARI,away,1,0,3,3,3,LAZIO,1995-96
CAGLIARI,home,1,0,3,3,1,FIORENTINA,1995-96
FIORENTINA,away,0,1,3,1,3,CAGLIARI,1995-96
PIACENZA,home,0,0,3,0,0,INTER,1995-96
INTER,away,0,0,3,0,0,PIACENZA,1995-96
VICENZA,home,0,0,3,1,0,JUVENTUS,1995-96
JUVENTUS,away,0,0,3,0,1,VICENZA,1995-96
TORINO,home,0,0,3,1,1,PADOVA,1995-96
PADOVA,away,0,0,3,1,1,TORINO,1995-96
MILAN,home,0,0,3,1,2,ROMA,1995-96
ROMA,away,0,0,3,2,1,MILAN,1995-96
PARMA,home,0,0,3,3,0,SAMPDORIA,1995-96
SAMPDORIA,away,0,0,3,0,3,PARMA,1995-96
CREMONESE,home,0,0,3,3,2,UDINESE,1995-96
UDINESE,away,0,0,3,2,3,CREMONESE,1995-96
JUVENTUS,home,0,0,4,0,0,CAGLIARI,1995-96
CAGLIARI,away,0,0,4,0,0,JUVENTUS,1995-96
ROMA,home,2,1,4,0,1,CREMONESE,1995-96
CREMONESE,away,1,2,4,1,0,ROMA,1995-96
UDINESE,home,1,0,4,2,2,LAZIO,1995-96
LAZIO,away,0,1,4,2,2,UDINESE,1995-96
ATALANTA,home,0,0,4,3,0,MILAN,1995-96
MILAN,away,0,0,4,0,3,ATALANTA,1995-96
INTER,home,0,0,4,2,1,NAPOLI,1995-96
NAPOLI,away,0,0,4,1,2,INTER,1995-96
FIORENTINA,home,0,0,4,3,0,PARMA,1995-96
PARMA,away,0,0,4,0,3,FIORENTINA,1995-96
BARI,home,0,1,4,3,2,PIACENZA,1995-96
PIACENZA,away,1,0,4,2,3,BARI,1995-96
SAMPDORIA,home,0,0,4,1,1,TORINO,1995-96
TORINO,away,0,0,4,1,1,SAMPDORIA,1995-96
PADOVA,home,0,0,4,2,1,VICENZA,1995-96
VICENZA,away,0,0,4,1,2,PADOVA,1995-96
PIACENZA,home,2,2,5,2,0,ATALANTA,1995-96
ATALANTA,away,2,2,5,0,2,PIACENZA,1995-96
MILAN,home,0,0,5,1,0,BARI,1995-96
BARI,away,0,0,5,0,1,MILAN,1995-96
CREMONESE,home,0,1,5,3,2,FIORENTINA,1995-96
FIORENTINA,away,1,0,5,2,3,CREMONESE,1995-96
TORINO,home,0,1,5,4,0,INTER,1995-96
INTER,away,1,0,5,0,4,TORINO,1995-96
NAPOLI,home,0,1,5,1,1,JUVENTUS,1995-96
JUVENTUS,away,1,0,5,1,1,NAPOLI,1995-96
PARMA,home,0,0,5,1,3,PADOVA,1995-96
PADOVA,away,0,0,5,3,1,PARMA,1995-96
LAZIO,home,0,0,5,0,0,ROMA,1995-96
ROMA,away,0,0,5,0,0,LAZIO,1995-96
CAGLIARI,home,0,0,5,1,2,SAMPDORIA,1995-96
SAMPDORIA,away,0,0,5,2,1,CAGLIARI,1995-96
VICENZA,home,0,1,5,1,1,UDINESE,1995-96
UDINESE,away,1,0,5,1,1,VICENZA,1995-96
INTER,home,0,1,6,1,1,ATALANTA,1995-96
ATALANTA,away,1,0,6,1,1,INTER,1995-96
CREMONESE,home,0,0,6,1,0,CAGLIARI,1995-96
CAGLIARI,away,0,0,6,0,1,CREMONESE,1995-96
PADOVA,home,0,0,6,2,0,LAZIO,1995-96
LAZIO,away,0,0,6,0,2,PADOVA,1995-96
JUVENTUS,home,0,0,6,2,1,MILAN,1995-96
MILAN,away,0,0,6,1,2,JUVENTUS,1995-96
FIORENTINA,home,0,0,6,0,2,NAPOLI,1995-96
NAPOLI,away,0,0,6,2,0,FIORENTINA,1995-96
UDINESE,home,0,0,6,1,0,PARMA,1995-96
PARMA,away,0,0,6,0,1,UDINESE,1995-96
SAMPDORIA,home,0,0,6,3,2,PIACENZA,1995-96
PIACENZA,away,0,0,6,2,3,SAMPDORIA,1995-96
ROMA,home,0,0,6,2,2,TORINO,1995-96
TORINO,away,0,0,6,2,2,ROMA,1995-96
BARI,home,0,1,6,2,0,VICENZA,1995-96
VICENZA,away,1,0,6,0,2,BARI,1995-96
CAGLIARI,home,0,0,7,3,0,BARI,1995-96
BARI,away,0,0,7,0,3,CAGLIARI,1995-96
ATALANTA,home,0,0,7,1,1,CREMONESE,1995-96
CREMONESE,away,0,0,7,1,1,ATALANTA,1995-96
LAZIO,home,0,0,7,0,0,INTER,1995-96
INTER,away,0,0,7,0,0,LAZIO,1995-96
PADOVA,home,0,0,7,3,1,JUVENTUS,1995-96
JUVENTUS,away,0,0,7,1,3,PADOVA,1995-96
NAPOLI,home,1,0,7,0,1,PIACENZA,1995-96
PIACENZA,away,0,1,7,1,0,NAPOLI,1995-96
PARMA,home,0,0,7,1,1,ROMA,1995-96
ROMA,away,0,0,7,1,1,PARMA,1995-96
FIORENTINA,home,0,1,7,2,1,SAMPDORIA,1995-96
SAMPDORIA,away,1,0,7,1,2,FIORENTINA,1995-96
TORINO,home,0,0,7,1,0,UDINESE,1995-96
UDINESE,away,0,0,7,0,1,TORINO,1995-96
MILAN,home,0,0,7,1,1,VICENZA,1995-96
VICENZA,away,0,0,7,1,1,MILAN,1995-96
UDINESE,home,0,0,8,0,0,ATALANTA,1995-96
ATALANTA,away,0,0,8,0,0,UDINESE,1995-96
