Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Occasioni da gol,Occasioni da gol avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri fuori da punizione,Tiri fuori da punizione avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario,Tiri in porta da punizione,Tiri in porta da punizione avversario
2,4,0,1,0,0,0,0,0,0,PALERMO,home,0,0,10,4,0,0,0,0,0,0,17,19,2,1,1,3,1,0,0,0,0,0,0,11,14,17,10,3,4,0,0,UDINESE,2008-09,21,11,14,7,,,7,4,0,0,,
4,2,1,0,0,0,0,0,0,0,UDINESE,away,0,0,4,10,0,0,0,0,0,0,19,17,1,2,1,1,3,0,0,0,0,0,0,14,11,10,17,4,3,0,0,PALERMO,2008-09,11,21,7,14,,,4,7,0,0,,
2,2,0,2,6,4,4,5,4,8,INTER,home,1,2,9,8,15,11,0,0,0,0,21,19,1,1,1,1,1,6,6,0,0,0,0,20,23,20,13,1,1,0,0,SAMPDORIA,2008-09,3,6,1,4,,,2,2,0,0,,
2,2,2,0,4,6,5,4,8,4,SAMPDORIA,away,2,1,8,9,11,15,0,0,0,0,19,21,1,1,1,1,1,6,6,0,0,0,0,23,20,13,20,1,1,0,0,INTER,2008-09,6,3,4,1,,,2,2,0,0,,
1,1,1,1,0,0,0,0,0,0,SIENA,home,0,0,3,6,0,0,0,1,0,0,21,20,0,4,1,1,0,0,0,0,0,0,0,10,4,15,11,1,1,0,0,ATALANTA,2008-09,5,4,3,3,,,2,1,0,0,,
1,1,1,1,0,0,0,0,0,0,ATALANTA,away,0,0,6,3,0,0,1,0,0,0,20,21,4,0,1,0,1,0,0,0,0,0,0,4,10,11,15,1,1,0,0,SIENA,2008-09,4,5,3,3,,,1,2,0,0,,
4,1,2,2,0,0,0,0,0,0,LAZIO,home,0,0,8,3,0,0,0,0,1,0,15,11,1,2,1,1,4,0,0,0,0,1,0,10,11,6,5,4,3,0,1,CAGLIARI,2008-09,15,12,10,4,,,5,8,0,0,,
1,4,2,2,0,0,0,0,0,0,CAGLIARI,away,0,0,3,8,0,0,0,0,0,1,11,15,2,1,1,4,1,0,0,0,0,0,1,11,10,5,6,3,4,1,0,LAZIO,2008-09,12,15,4,10,,,8,5,0,0,,
5,3,0,0,0,0,0,0,0,0,GENOA,home,0,0,3,8,0,0,0,0,0,0,29,23,4,0,1,1,0,0,0,0,0,0,0,16,30,20,10,3,5,0,0,CATANIA,2008-09,7,7,1,4,,,6,3,0,0,,
3,5,0,0,0,0,0,0,0,0,CATANIA,away,0,0,8,3,0,0,0,0,0,0,23,29,0,4,1,0,1,0,0,0,0,0,0,30,16,10,20,5,3,0,0,GENOA,2008-09,7,7,4,1,,,3,6,0,0,,
