Ammonizioni,Ammonizioni avversario,Avversaria,Campo,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
3,4,HELLAS VERONA,home,,,0,0,1,1,1,BARI,2000-01
4,3,BARI,away,,,0,0,1,1,1,HELLAS VERONA,2000-01
2,3,JUVENTUS,home,,,0,0,1,1,2,NAPOLI,2000-01
3,2,NAPOLI,away,,,0,0,1,2,1,JUVENTUS,2000-01
2,2,LAZIO,home,,,0,0,1,2,2,ATALANTA,2000-01
2,2,ATALANTA,away,,,0,0,1,2,2,LAZIO,2000-01
2,4,VICENZA,home,,,0,0,1,2,0,MILAN,2000-01
4,2,MILAN,away,,,0,0,1,0,2,VICENZA,2000-01
0,3,FIORENTINA,home,,,0,1,1,2,2,PARMA,2000-01
3,0,PARMA,away,,,1,0,1,2,2,FIORENTINA,2000-01
1,3,LECCE,home,,,0,1,1,1,1,PERUGIA,2000-01
3,1,PERUGIA,away,,,1,0,1,1,1,LECCE,2000-01
2,3,INTER,home,,,0,0,1,2,1,REGGINA,2000-01
3,2,REGGINA,away,,,0,0,1,1,2,INTER,2000-01
3,2,BOLOGNA,home,,,0,0,1,2,0,ROMA,2000-01
2,3,ROMA,away,,,0,0,1,0,2,BOLOGNA,2000-01
1,1,BRESCIA,home,,,0,0,1,4,2,UDINESE,2000-01
1,1,UDINESE,away,,,0,0,1,2,4,BRESCIA,2000-01
3,1,MILAN,home,0,1,0,0,2,2,1,BOLOGNA,2000-01
1,3,BOLOGNA,away,1,0,0,0,2,1,2,MILAN,2000-01
2,1,PARMA,home,0,0,0,0,2,0,0,BRESCIA,2000-01
1,2,BRESCIA,away,0,0,0,0,2,0,0,PARMA,2000-01
1,3,REGGINA,home,0,0,0,0,2,2,1,FIORENTINA,2000-01
3,1,FIORENTINA,away,0,0,0,0,2,1,2,REGGINA,2000-01
1,1,UDINESE,home,0,0,0,0,2,1,1,HELLAS VERONA,2000-01
1,1,HELLAS VERONA,away,0,0,0,0,2,1,1,UDINESE,2000-01
0,2,NAPOLI,home,0,0,0,0,2,3,1,INTER,2000-01
2,0,INTER,away,0,0,0,0,2,1,3,NAPOLI,2000-01
4,3,BARI,home,0,0,0,0,2,2,0,JUVENTUS,2000-01
3,4,JUVENTUS,away,0,0,0,0,2,0,2,BARI,2000-01
0,2,PERUGIA,home,0,0,0,0,2,3,0,LAZIO,2000-01
2,0,LAZIO,away,0,0,0,0,2,0,3,PERUGIA,2000-01
