"day","time","technology","user","lot_runid","elapsed"
"Tue","10:00","Dynamic Cubes","User 2",2,3.2
"Tue","11:00","Dynamic Cubes","User 3",2,10.1
"Fri","09:00","Dynamic Cubes","User 3",2,6.1
"Tue","16:00","Query Rewrite","User 3",3,10.5
"Thu","13:00","Dynamic Cubes","User 2",1,5.2
"Wed","16:00","Dynamic Cubes","User 3",1,3.3
"Thu","16:00","Query Rewrite","User 3",2,12.9
"Thu","12:00","Dynamic Cubes","User 1",1,23.9
"Thu","16:00","Dynamic Cubes","User 3",1,4.2
"Thu","14:00","Dynamic Cubes","User 2",2,6.9
"Thu","15:00","Query Rewrite","User 1",2,12.8
"Tue","09:00","Dynamic Cubes","User 1",2,4.8
"Wed","16:00","Query Rewrite","User 2",2,12.6
"Thu","10:00","Query Rewrite","User 1",3,9.4
"Wed","11:00","Dynamic Cubes","User 1",1,26.4
"Wed","11:00","Dynamic Cubes","User 3",2,5.4
"Mon","13:00","Query Rewrite","User 1",3,11.3
"Wed","14:00","Dynamic Cubes","User 3",1,21
"Tue","11:00","Dynamic Cubes","User 2",3,5
"Thu","13:00","Query Rewrite","User 2",1,14.8
"Wed","12:00","Query Rewrite","User 1",3,11.8
"Wed","12:00","Dynamic Cubes","User 3",3,5.4
"Fri","09:00","Dynamic Cubes","User 1",3,29.9
"Tue","12:00","Query Rewrite","User 2",1,14.3
"Thu","12:00","Dynamic Cubes","User 3",2,5.6
"Tue","12:00","Dynamic Cubes","User 3",1,5.8
"Tue","09:00","Dynamic Cubes","User 3",3,9.2
"Wed","13:00","Query Rewrite","User 3",1,16.8
"Fri","12:00","Dynamic Cubes","User 2",2,29.1
"Wed","10:00","Dynamic Cubes","User 2",2,6.6
"Thu","15:00","Dynamic Cubes","User 3",3,4.7
"Wed","16:00","Dynamic Cubes","User 2",2,5.6
"Tue","14:00","Dynamic Cubes","User 1",2,6.3
"Mon","11:00","Query Rewrite","User 3",2,10.8
"Tue","11:00","Query Rewrite","User 3",1,13.9
"Fri","13:00","Query Rewrite","User 2",2,10.6
"Mon","15:00","Dynamic Cubes","User 1",2,6.4
"Wed","13:00","Query Rewrite","User 3",2,10.9
"Wed","11:00","Query Rewrite","User 3",3,11.2
"Wed","14:00","Dynamic Cubes","User 1",2,6.8
"Tue","15:00","Dynamic Cubes","User 1",2,34.9
"Tue","10:00","Dynamic Cubes","User 2",3,5.4
"Mon","14:00","Dynamic Cubes","User 3",2,4.4
"Tue","13:00","Dynamic Cubes","User 3",3,6.8
"Wed","13:00","Dynamic Cubes","User 3",2,3
"Mon","13:00","Dynamic Cubes","User 1",2,23.1
"Thu","09:00","Query Rewrite","User 1",1,14.6
"Fri","09:00","Query Rewrite","User 1",1,17
"Mon","12:00","Dynamic Cubes","User 1",3,7.6
"Thu","13:00","Dynamic Cubes","User 1",2,5.1
"Tue","16:00","Dynamic Cubes","User 2",1,5.2
"Wed","13:00","Query Rewrite","User 2",3,15.3
"Fri","12:00","Dynamic Cubes","User 3",3,42.2
"Mon","11:00","Query Rewrite","User 1",3,12.1
"Mon","11:00","Dynamic Cubes","User 1",3,9.2
"Tue","14:00","Query Rewrite","User 3",1,17.5
"Tue","15:00","Query Rewrite","User 3",1,16.1
"Thu","12:00","Dynamic Cubes","User 3",3,22.5
"Tue","15:00","Query Rewrite","User 2",2,14.2
"Thu","12:00","Query Rewrite","User 3",1,13.8
